                           T= 100.0(K)                T= 150.0(K)                T= 200.0(K)                T= 250.0(K)                T= 300.0(K)                T= 350.0(K)                T= 400.0(K)
Interval(per cm)     CIA(inv amagat^2-cm-1)     CIA(inv amagat^2-cm-1)     CIA(inv amagat^2-cm-1)     CIA(inv amagat^2-cm-1)     CIA(inv amagat^2-cm-1)     CIA(inv amagat^2-cm-1)     CIA(inv amagat^2-cm-1)
   0.0-  40.0       4.16405521659081378E-05    4.16405521659081378E-05    4.16405521659081378E-05    2.27550100203220946E-05    1.45687698640415166E-05    1.03043434078852462E-05    7.79354326034751117E-06
  40.0- 100.0       9.93457366762667598E-05    9.93457366762667598E-05    9.93457366762667598E-05    6.69965616111208425E-05    5.08880336819882064E-05    4.19021100886993392E-05    3.64515183435953685E-05
 100.0- 160.0       2.18012450412705016E-05    2.18012450412705016E-05    2.18012450412705016E-05    2.07348373164795777E-05    1.93831851491836236E-05    1.84451208064919331E-05    1.79734579649843035E-05
 160.0- 220.0       3.22773602089045888E-06    3.22773602089045888E-06    3.22773602089045888E-06    4.44561042298910679E-06    5.08678289321778640E-06    5.46799441026423938E-06    5.76755049433448467E-06
 220.0- 280.0       4.26208504611636432E-07    4.26208504611636432E-07    4.26208504611636432E-07    8.57386378427859179E-07    1.19965899405050925E-06    1.44735681661456322E-06    1.63503324930686101E-06
 280.0- 330.0       6.36096668932929945E-08    6.36096668932929945E-08    6.36096668932929945E-08    1.81691368883879509E-07    3.05671464423995815E-07    4.09082564539283475E-07    4.90295038862996437E-07
 330.0- 380.0       1.10265527338072205E-08    1.10265527338072205E-08    1.10265527338072205E-08    4.33853438266570680E-08    8.63053155866563911E-08    1.26812629584469743E-07    1.60133489532892378E-07
 380.0- 440.0       1.57738684675528530E-09    1.57738684675528530E-09    1.57738684675528530E-09    8.83683799737072995E-09    2.11380798643875298E-08    3.44025125252497929E-08    4.59644968726546283E-08
 440.0- 495.0       2.03900276835462364E-10    2.03900276835462364E-10    2.03900276835462364E-10    1.65398415618445327E-09    4.79775546181662162E-09    8.68624735296729150E-09    1.23027777587589118E-08
1108.0-1200.0       3.26895297018596061E-07    3.14152086779728755E-07    2.94647368021228965E-07    2.87086442859812791E-07    2.92528510232937324E-07    2.81462891122642310E-07    2.69892469860578168E-07
1200.0-1275.0       9.28956783238898226E-06    7.91128193837141832E-06    6.48119583701283078E-06    5.97446620191425754E-06    5.79561822976869849E-06    4.56425887927707727E-06    3.29699205917330171E-06
1275.0-1350.0       5.86743287908208507E-05    4.73245298111594925E-05    3.55372120034381359E-05    2.55717374005942669E-05    2.07539859418380929E-05    1.45308554871017906E-05    8.30403223221724495E-06
1350.0-1450.0       5.80729290820444823E-05    4.67735423809481385E-05    3.52109136569643655E-05    2.58472000853006584E-05    2.07773312691230891E-05    1.43773704946859693E-05    7.97354475502621716E-06
1450.0-1550.0       2.11552824506889785E-06    1.86549675369707757E-06    1.61557370624306707E-06    1.56289277123732448E-06    1.56516598126342323E-06    1.31851742451895957E-06    1.05318698319198598E-06
1550.0-1650.0       6.04096395310320170E-08    6.04096395310320170E-08    6.04096395310320170E-08    6.04096395310320170E-08    6.04096395310325200E-08    6.04096395310385683E-08    6.04096395310615441E-08
1650.0-1750.0       2.30154769810915722E-09    2.30154769810915722E-09    2.30154769810915722E-09    2.30154769810915722E-09    2.30154769810919485E-09    2.30154769810972218E-09    2.30154769811185920E-09
1750.0-1850.0       8.66032996106867681E-11    8.66032996106867681E-11    8.66032996106867681E-11    8.66032996106867681E-11    8.66032996106881769E-11    8.66032996107324569E-11    8.66032996109311741E-11
