L	Fluxes	        WL1	WL2
1	5.13E+01	2376	2750
2	1.99E+00	2750	2850
3	3.13E+01	2850	3071
4	1.84E+01	3071	3200
5	1.45E+01	3200	3292
6	1.19E+02	3292	3412
7	6.93E+02	3412	3900
8	3.78E+03	3900	4500
9	1.79E+04	4500	5400
10	3.21E+03	5400	5495
11	5.45E+03	5495	5666
12	1.35E+04	5666	6050
13	6.94E+03	6050	6250
14	2.16E+04	6250	6667
15	1.09E+04	6667	6910
16	5.11E+04	6910	7520
17	2.99E+04	7520	7840
18	6.84E+04	7840	8420
19	5.62E+04	8420	8910
20	7.87E+04	8910	9620
21	8.84E+04	9620	10360
22	4.12E+04	10360	10700
23	7.30E+04	10700	11300
24	7.90E+04	11300	12030
25	1.02E+05	12030	13070
26	8.97E+04	13070	14310
27	8.93E+04	14310	15650
28	7.67E+04	15650	16880
29	7.93E+04	16880	18620
30	5.18E+04	18620	20200
31	5.01E+04	20200	22030
32	5.72E+04	22030	24810
33	2.01E+04	24810	26600
34	2.21E+04	26600	29200
35	2.32E+04	29200	32390
36	2.18E+04	32390	35770
37	2.04E+04	35770	40100
38	5.61E+03	40100	41720

% Fluxes are scaled for the sun and add up to 1.36e6ergs/cm^2/sec
