      INFRARED BPS WATER CONTINUUM COEFFICIENTS AT 296K and 1 bar(in cm^2/molecule)
      Wavenumbers are at interval midpoints

 Interval  Wavenumber   Self            Foreign         Self_Base      Foreign_Base   Temperature Dependence
           (inv cm)
    1       20       2.00000E-21      8.14000E-23      9.06514E-23      2.05883E-23      1.76000E-02
    2       70       2.09000E-20      1.16000E-21      1.35975E-21      2.93189E-22      1.64000E-02
    3      130       4.30000E-20      1.99000E-21      2.80015E-21      5.28455E-22      1.49000E-02
    4      190       4.19000E-20      1.21000E-21      3.16272E-21      4.96557E-22      1.36000E-02
    5      250       3.25000E-20      5.90000E-22      1.64450E-21      2.63743E-22      1.17000E-02
    6      305       2.20000E-20      1.93000E-22      9.77396E-22      1.47811E-22      1.04000E-02
    7      355       1.49000E-20      6.46000E-23      3.11351E-22      4.51533E-23      1.04000E-02
    8      410       9.04000E-21      4.27000E-23      9.85267E-23      1.52606E-23      1.22000E-02
    9      468       5.29000E-21      2.59000E-23      2.67881E-23      4.97748E-24      1.44000E-02
   10      520       3.25000E-21      1.58000E-23      1.11532E-23      2.10014E-24      1.60000E-02
   11      581       1.85000E-21      7.30000E-24      5.29498E-24      8.32442E-25      1.77000E-02
   12      642       1.10000E-21      3.24000E-24      1.75207E-24      2.57579E-25      1.92000E-02
   13      694       7.51000E-22      1.69000E-24      6.63145E-25      1.37647E-25      2.01000E-02
   14      760       5.00000E-22      7.61000E-25      1.75591E-25      3.44335E-26      2.10000E-02
   15      838       3.30000E-22      3.02000E-25      3.63861E-26      7.19537E-27      1.28000E-02
   16      908       2.59000E-22      1.30000E-25      1.47906E-26      2.96160E-27      1.38000E-02
   17      970       2.01000E-22      6.26000E-26      8.38827E-27      1.56359E-27      1.49000E-02
   18     1033       1.54000E-22      3.23000E-26      1.13235E-26      2.15644E-27      1.45000E-02
   19     1087       1.33000E-22      2.23000E-26      4.63917E-26      8.57870E-27      1.41000E-02
   20     1154       1.18000E-22      3.87000E-26      1.74024E-25      3.43615E-26      1.35000E-02
   21     1238       1.36000E-22      3.18000E-25      6.87142E-25      1.41265E-25      9.93000E-03
   22     1313       2.22000E-22      2.84000E-24      4.82165E-24      9.35790E-25      9.98000E-03
   23     1400       1.57000E-21      4.79000E-23      8.28798E-23      1.52841E-23      8.77000E-03
   24     1500       6.96000E-21      3.22000E-22      3.26316E-22      6.44466E-23      1.12000E-02
   25     1600       6.81000E-21      2.74000E-22      1.56104E-22      3.34304E-23      1.35000E-02
   26     1700       7.58000E-21      3.89000E-22      4.36790E-22      8.08409E-23      1.29000E-02
   27     1800       3.10000E-21      1.23000E-22      5.91075E-23      1.14305E-23      1.11000E-02
   28     1900       5.01000E-22      1.12000E-23      1.84740E-23      3.72148E-24      1.04000E-02
   29     2000       1.59000E-22      1.44000E-24      3.85633E-24      6.80846E-25      8.61000E-03
   30     2125       6.26000E-23      2.03000E-25      1.64421E-25      3.05009E-26      1.63000E-02
   31     2299       4.51000E-23      1.62000E-26      9.75589E-27      1.33510E-27      2.86000E-02
   32     2446       3.97000E-23      2.25000E-27      2.17039E-28      0.00000E+00      3.40000E-02
   33     2645       4.33000E-23      3.12000E-26      3.01864E-26      5.60375E-27      3.52000E-02
   34     2942       5.53000E-23      1.01000E-25      1.48969E-25      2.60802E-26      2.48000E-02
   35     3256       1.78000E-22      2.51000E-24      2.77631E-24      5.51703E-25      1.71000E-02
   36     3593       4.87000E-21      7.55000E-23      1.09785E-22      1.97208E-23      8.80000E-03
   37     3895       1.60000E-21      1.74000E-22      1.91703E-22      3.22417E-23      1.07000E-02
   38     4285       3.59000E-23      4.83000E-26      1.64194E-26      2.61327E-27      1.78000E-02
   39     4745       9.55000E-24      7.85000E-27      8.85975E-27      1.66574E-27      1.94000E-02
   40     5160       1.15000E-22      3.68000E-24      6.67484E-24      1.05451E-24      7.98000E-03
   41     5648       1.31000E-23      2.31000E-25      1.43965E-25      2.85731E-26      1.09000E-02
   42     6158       4.59000E-24      3.79000E-28      1.35536E-28      0.00000E+00      2.16000E-02
   43     6690       9.01000E-24      1.45000E-25      2.04456E-25      3.38632E-26      9.68000E-03
   44     7320       3.57000E-22      3.73000E-23      3.47845E-23      6.56604E-24      1.36000E-02
   45     7983       2.61000E-25      2.95000E-28      9.07714E-29      0.00000E+00      2.13000E-02
   46     8583       2.22000E-24      3.71000E-26      7.02264E-26      1.23872E-26      7.47000E-03
   47     9100       1.52000E-24      3.61000E-26      2.81810E-26      5.44438E-27      1.14000E-02
   48     9500       2.22000E-26      4.15000E-29      2.37172E-30      0.00000E+00      1.95000E-02
   49    10025       6.25000E-26      7.30000E-28      8.97206E-28      5.33854E-29      1.42000E-02
   50    10810       2.81000E-24      6.05000E-26      3.73776E-26      6.33599E-27      1.01000E-02
   51    11545       1.02000E-26      1.75000E-29      2.74399E-30      0.00000E+00      1.85000E-02
   52    12330       2.32000E-25      7.59000E-27      8.15928E-27      1.16832E-27      8.91000E-03
   53    13045       7.10000E-28      1.13000E-30      0.00000E+00      0.00000E+00      2.00000E-02
   54    13885       6.75000E-25      7.32000E-26      8.15324E-26      1.40259E-26      1.37000E-02
   55    14735       2.26000E-27      1.11000E-29      1.61606E-29      0.00000E+00      1.56000E-02
