 #http://www3.geosc.psu.edu/~jkf4/Climate%20model%20wavelength%20wavelength%20intervals/IR_wavelength_grid.tab
 # H2O HITRAN IR K-COEFFICIENTS
 #Interval    (1= 0-40 cm-1, 2 = 40-100 cm-1, ......, 55 = 14470 - 150000 cm-1)
 #Temperature (100,150,200,250,300,350,400,600)
 #P(bar)    K1,K2....K8(cm^2 molecule)
    
Quadrature weights w(quad)        Quadrature abscissas (g)
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!--------------------------------------------------------------------------------------------------------------------------

          1
          100.0
  0.00001   1.01895E-26 2.36248E-25 1.91746E-24 4.44487E-21 1.91499E-18 1.91800E-17 2.43613E-16 1.76492E-15
  0.00010   1.01067E-25 2.28663E-24 1.49647E-23 3.32278E-21 1.46771E-19 4.79338E-18 4.64553E-17 1.00359E-16
  0.00100   1.00541E-24 1.44280E-23 1.29399E-22 4.84167E-21 3.30171E-20 6.42130E-19 3.64050E-18 8.71897E-18
  0.01000   9.80215E-24 1.32910E-22 8.98032E-22 1.50216E-20 1.77839E-19 3.12153E-19 7.93041E-19 6.12391E-18
  0.10000   9.77929E-23 1.08930E-21 6.76941E-21 1.10054E-19 4.98172E-19 6.40928E-19 1.02633E-18 1.47822E-18
  1.00000   9.71799E-22 7.25709E-21 4.71254E-20 1.65607E-19 2.87446E-19 3.09466E-19 3.40418E-19 3.52917E-19
 10.00000   6.65125E-21 2.32414E-20 4.85868E-20 1.12958E-19 1.23943E-19 1.25835E-19 1.29511E-19 1.31388E-19
100.00000   2.23962E-21 5.05140E-21 8.11664E-21 2.62798E-20 2.64607E-20 2.64877E-20 2.68670E-20 2.72965E-20

          1
          150.0
  0.00001   4.38176E-27 1.08634E-25 1.61068E-24 9.73524E-21 2.04159E-18 1.30439E-17 9.43185E-17 4.75379E-16
  0.00010   3.45537E-26 1.05213E-24 8.39969E-24 4.12612E-21 2.76406E-19 3.63925E-18 3.45875E-17 7.13415E-17
  0.00100   3.39315E-25 7.27226E-24 6.03060E-23 3.42212E-21 2.77134E-20 4.59111E-19 2.68297E-18 6.20080E-18
  0.01000   3.32483E-24 5.86154E-23 4.11014E-22 7.45147E-21 8.34985E-20 1.61875E-19 4.68426E-19 3.48407E-18
  0.10000   3.28483E-23 4.52744E-22 2.93071E-21 4.86295E-20 2.90316E-19 3.69182E-19 6.75435E-19 1.23376E-18
  1.00000   3.27058E-22 2.84703E-21 2.02970E-20 9.65461E-20 2.15237E-19 2.25142E-19 2.42862E-19 2.57001E-19
 10.00000   2.59105E-21 1.12173E-20 2.99729E-20 7.46290E-20 8.35915E-20 8.46618E-20 8.66852E-20 8.74186E-20
100.00000   1.39750E-21 3.65754E-21 7.03410E-21 2.02479E-20 2.07602E-20 2.08168E-20 2.12735E-20 2.17441E-20

          1
          200.0
  0.00001   2.36310E-27 7.95164E-26 1.98250E-24 1.74982E-21 3.52859E-19 2.67288E-18 5.40125E-17 2.32590E-16
  0.00010   1.85113E-26 5.62336E-25 6.69887E-24 2.43312E-21 2.69615E-19 3.14492E-18 3.21334E-17 7.27581E-17
  0.00100   1.53196E-25 5.00304E-24 3.09423E-23 1.51366E-21 2.99084E-20 3.21723E-19 1.87463E-18 5.43925E-18
  0.01000   1.50076E-24 2.80461E-23 2.00212E-22 4.55013E-21 4.80374E-20 1.00605E-19 2.95326E-19 2.12740E-18
  0.10000   1.46030E-23 2.37612E-22 1.55869E-21 2.60751E-20 1.65303E-19 2.34659E-19 4.37335E-19 1.07783E-18
  1.00000   1.45493E-22 1.56211E-21 1.02916E-20 6.26523E-20 1.57760E-19 1.72521E-19 1.87797E-19 1.93026E-19
 10.00000   1.23156E-21 6.13173E-21 1.92047E-20 5.38465E-20 6.23000E-20 6.30023E-20 6.40883E-20 6.42132E-20
100.00000   9.45400E-22 2.45120E-21 6.10043E-21 1.59977E-20 1.68817E-20 1.69631E-20 1.74143E-20 1.78357E-20

          1
          250.0
