 #http://ww3.geosc.psu.edu/~jkf4/Climate%20model%20wavelength%20wavelength%20intervals/IR_wavelength_grid.tab
 # CO2 HITRAN IR K-COEFFICIENTS
 #Interval    (1= 0-40 cm-1, 2 = 40-100 cm-1, ......, 55 = 14470 - 150000 cm-1)
 #Temperature (100,150,200,250,300,350,400,600)
 #P(bar)    K1  K2 ....K8 (cm^2/molecule)
 
  Quadrature weights w(quad)        Quadrature abscissas (g) 
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!--------------------------------------------------------------------------------------------------------------------------

          1
          100.0
  0.00001   2.36897E-49 7.32190E-49 8.37172E-47 1.66376E-45 2.62233E-45 2.65992E-45 2.70939E-45 3.10970E-45
  0.00010   2.36897E-48 7.32190E-48 8.37172E-46 1.66376E-44 2.62233E-44 2.65992E-44 2.70939E-44 3.10970E-44
  0.00100   2.36897E-47 7.32190E-47 8.37172E-45 1.66376E-43 2.62233E-43 2.65992E-43 2.70939E-43 3.10970E-43
  0.01000   2.36897E-46 7.32190E-46 8.37172E-44 1.66376E-42 2.62233E-42 2.65992E-42 2.70939E-42 3.10970E-42
  0.10000   2.36897E-45 7.32190E-45 8.37172E-43 1.66376E-41 2.62233E-41 2.65992E-41 2.70939E-41 3.10970E-41
  1.00000   2.36897E-44 7.32190E-44 8.37172E-42 1.66376E-40 2.62232E-40 2.65992E-40 2.70939E-40 3.10970E-40
 10.00000   2.36891E-43 7.32179E-43 8.37161E-41 1.66372E-39 2.62226E-39 2.65985E-39 2.70933E-39 3.10962E-39
100.00000   2.36314E-42 7.30586E-42 8.35689E-40 1.66043E-38 2.61683E-38 2.65434E-38 2.70368E-38 3.10297E-38

          1
          150.0
  0.00001   3.05461E-45 8.85786E-45 1.38163E-43 1.01818E-42 1.39903E-42 1.41905E-42 1.44545E-42 1.58468E-42
  0.00010   3.05461E-44 8.85786E-44 1.38163E-42 1.01818E-41 1.39903E-41 1.41905E-41 1.44545E-41 1.58468E-41
  0.00100   3.05461E-43 8.85786E-43 1.38163E-41 1.01818E-40 1.39903E-40 1.41905E-40 1.44545E-40 1.58468E-40
  0.01000   3.05461E-42 8.85786E-42 1.38163E-40 1.01818E-39 1.39903E-39 1.41905E-39 1.44545E-39 1.58468E-39
  0.10000   3.05461E-41 8.85786E-41 1.38163E-39 1.01818E-38 1.39903E-38 1.41905E-38 1.44545E-38 1.58468E-38
  1.00000   3.05461E-40 8.85786E-40 1.38163E-38 1.01818E-37 1.39903E-37 1.41905E-37 1.44545E-37 1.58468E-37
 10.00000   3.05459E-39 8.85786E-39 1.38162E-37 1.01817E-36 1.39902E-36 1.41904E-36 1.44543E-36 1.58464E-36
100.00000   3.05080E-38 8.84780E-38 1.38031E-36 1.01707E-35 1.39745E-35 1.41743E-35 1.44380E-35 1.58284E-35

          1
          200.0
  0.00001   3.12620E-43 8.64498E-43 5.47766E-42 2.32693E-41 2.97539E-41 3.01803E-41 3.07429E-41 3.29205E-41
  0.00010   3.12620E-42 8.64498E-42 5.47766E-41 2.32693E-40 2.97539E-40 3.01803E-40 3.07429E-40 3.29205E-40
  0.00100   3.12620E-41 8.64498E-41 5.47766E-40 2.32693E-39 2.97539E-39 3.01803E-39 3.07429E-39 3.29205E-39
  0.01000   3.12620E-40 8.64498E-40 5.47766E-39 2.32693E-38 2.97539E-38 3.01803E-38 3.07429E-38 3.29206E-38
  0.10000   3.12621E-39 8.64498E-39 5.47766E-38 2.32694E-37 2.97540E-37 3.01803E-37 3.07429E-37 3.29206E-37
  1.00000   3.12621E-38 8.64491E-38 5.47768E-37 2.32694E-36 2.97541E-36 3.01804E-36 3.07431E-36 3.29206E-36
 10.00000   3.12629E-37 8.64505E-37 5.47766E-36 2.32693E-35 2.97539E-35 3.01802E-35 3.07429E-35 3.29204E-35
100.00000   3.12468E-36 8.64015E-36 5.47442E-35 2.32534E-34 2.97325E-34 3.01584E-34 3.07206E-34 3.28962E-34

          1
          250.0
