# 
# HITRAN 2016, longwave, created with HELIOS-K by Eric T. Wolf
# Interval    (1= 0-40 cm-1, 2 = 40-100 cm-1, ......, 55 = 14470 - 150000 cm-1)
# Temperature (100,150,200,250,300,350,400,600)
# P(bar)    K1  K2 ....K8 (cm^2/molecule)
 
Quadrature weights w(quad)        Quadrature abscissas (g) 
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!-------------------------------------------------------------------------------------------------------------------------- 
 
          1
          100.0
  0.00001   4.40612E-39 4.68363E-38 7.50005E-37 6.30718E-36 3.23062E-35 6.52485E-35 3.24299E-34 3.10369E-31
  0.00010   4.40571E-38 4.68191E-37 7.49997E-36 6.29154E-35 3.19442E-34 6.41488E-34 3.11933E-33 2.70326E-30
  0.00100   4.40384E-37 4.67685E-36 7.49111E-35 6.23819E-34 3.16185E-33 6.28913E-33 2.89117E-32 4.54458E-30
  0.01000   4.40122E-36 4.63820E-35 7.42917E-34 5.98497E-33 2.86936E-32 5.41644E-32 1.99460E-31 1.82828E-30
  0.10000   4.34752E-35 4.27545E-34 6.62113E-33 3.39353E-32 1.07669E-31 1.61320E-31 3.09609E-31 5.76554E-31
  1.00000   4.13275E-34 2.01874E-33 2.29528E-32 5.74217E-32 7.58566E-32 8.03734E-32 8.70339E-32 9.30568E-32
 10.00000   3.40175E-33 7.61133E-33 2.57178E-32 4.97504E-32 5.53708E-32 5.57114E-32 5.59985E-32 5.61002E-32
100.00000   3.48891E-33 1.39901E-32 2.38300E-32 2.59838E-32 2.62101E-32 2.62231E-32 2.62333E-32 2.62374E-32
 
          1
          150.0
  0.00001   4.38472E-39 7.39585E-38 5.77100E-37 5.14057E-36 2.78925E-35 5.42261E-35 2.60720E-34 3.21276E-31
  0.00010   4.38472E-38 7.39583E-37 5.76696E-36 5.10572E-35 2.75613E-34 5.35239E-34 2.52578E-33 1.90017E-30
  0.00100   4.38469E-37 7.38659E-36 5.75541E-35 5.02736E-34 2.67962E-33 5.19795E-33 2.33403E-32 3.99615E-30
  0.01000   4.37937E-36 7.33222E-35 5.70370E-34 4.73136E-33 2.33429E-32 4.33102E-32 1.65044E-31 1.80772E-30
  0.10000   4.22804E-35 6.91028E-34 5.22386E-33 2.87560E-32 9.63897E-32 1.48260E-31 2.99800E-31 5.88953E-31
  1.00000   3.10071E-34 3.46768E-33 2.22497E-32 4.77862E-32 6.90913E-32 7.40524E-32 8.15719E-32 8.81828E-32
 10.00000   1.72143E-33 6.29899E-33 2.42914E-32 4.31098E-32 4.70053E-32 4.72347E-32 4.74273E-32 4.74929E-32
100.00000   2.85450E-33 1.19991E-32 1.71680E-32 1.94011E-32 1.97684E-32 1.97889E-32 1.98062E-32 1.98122E-32
 
          1
          200.0
  0.00001   6.82129E-39 8.26798E-38 4.44772E-37 4.51540E-36 2.56264E-35 5.36548E-35 2.48587E-34 2.53032E-31
  0.00010   6.82129E-38 8.26797E-37 4.44771E-36 4.51478E-35 2.56199E-34 5.28733E-34 2.26698E-33 1.68828E-30
  0.00100   6.82126E-37 8.26739E-36 4.44670E-35 4.44604E-34 2.42431E-33 4.87095E-33 2.02746E-32 3.47429E-30
  0.01000   6.81843E-36 8.23514E-35 4.40801E-34 4.05649E-33 2.04681E-32 3.72930E-32 1.38861E-31 1.72714E-30
  0.10000   6.66148E-35 7.82322E-34 4.07391E-33 2.46788E-32 8.57662E-32 1.35330E-31 2.84587E-31 5.86893E-31
  1.00000   4.71286E-34 4.47962E-33 1.95241E-32 4.22719E-32 6.47544E-32 7.02373E-32 7.85420E-32 8.57021E-32
 10.00000   1.31775E-33 6.52143E-33 2.27646E-32 3.72370E-32 4.02513E-32 4.04122E-32 4.05394E-32 4.05860E-32
100.00000   2.17375E-33 9.30206E-33 1.47664E-32 1.77806E-32 1.82834E-32 1.83114E-32 1.83358E-32 1.83432E-32
 
          1
          250.0
  0.00001   8.26726E-39 8.01132E-38 3.52577E-37 4.10954E-36 2.38696E-35 5.18343E-35 2.25119E-34 2.89224E-31
