# 
# HITRAN 2016, longwave, created with HELIOS-K by Eric T. Wolf
# Interval    (1= 0-40 cm-1, 2 = 40-100 cm-1, ......, 55 = 14470 - 150000 cm-1)
# Temperature (100,150,200,250,300,350,400,600)
# P(bar)    K1  K2 ....K8 (cm^2/molecule)
 
Quadrature weights w(quad)        Quadrature abscissas (g) 
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!-------------------------------------------------------------------------------------------------------------------------- 
 
          1
          100.0
  0.00001   1.50002E-27 2.59359E-26 2.00013E-25 3.28318E-24 1.78964E-23 3.40269E-23 1.54636E-22 4.14663E-20
  0.00010   1.50002E-26 2.59356E-25 2.00012E-24 3.27666E-23 1.78239E-22 3.38989E-22 1.54631E-21 4.10150E-19
  0.00100   1.49963E-25 2.59343E-24 1.99822E-23 3.27089E-22 1.78238E-21 3.38929E-21 1.54105E-20 2.45534E-18
  0.01000   1.49900E-24 2.59153E-23 1.99346E-22 3.24584E-21 1.77112E-20 3.30008E-20 1.47043E-19 6.48842E-18
  0.10000   1.49285E-23 2.57865E-22 1.94315E-21 3.01794E-20 1.61591E-19 2.95216E-19 1.01489E-18 4.42020E-18
  1.00000   1.47998E-22 2.32537E-21 1.71287E-20 1.58623E-19 4.41542E-19 5.83812E-19 7.52660E-19 9.61979E-19
 10.00000   1.26872E-21 1.64017E-20 5.05713E-20 1.35918E-19 2.18630E-19 2.26592E-19 2.33970E-19 2.36702E-19
100.00000   1.89705E-21 5.71797E-21 1.50118E-20 2.65360E-20 3.44086E-20 3.55040E-20 3.69216E-20 3.80179E-20
 
          1
          150.0
  0.00001   5.19341E-28 1.07364E-26 8.37558E-26 1.49821E-24 8.35268E-24 1.56920E-23 7.09816E-23 2.17935E-20
  0.00010   5.19339E-27 1.07350E-25 8.37528E-25 1.49761E-23 8.32051E-23 1.56024E-22 7.07258E-22 2.15965E-19
  0.00100   5.19247E-26 1.07335E-24 8.36541E-24 1.49254E-22 8.28990E-22 1.55850E-21 7.06927E-21 1.37668E-18
  0.01000   5.19058E-25 1.07253E-23 8.34303E-23 1.47271E-21 8.11948E-21 1.53718E-20 6.78603E-20 3.52098E-18
  0.10000   5.16606E-24 1.06794E-22 8.15560E-22 1.34571E-20 7.36502E-20 1.33347E-19 5.09927E-19 2.99157E-18
  1.00000   5.10348E-23 9.80980E-22 6.83888E-21 8.32912E-20 2.77440E-19 3.74361E-19 5.23740E-19 7.41058E-19
 10.00000   4.35259E-22 6.83994E-21 2.55588E-20 9.19190E-20 1.70339E-19 1.74923E-19 1.79313E-19 1.81301E-19
100.00000   1.15633E-21 4.20575E-21 1.34608E-20 2.55881E-20 3.23840E-20 3.33131E-20 3.45132E-20 3.54428E-20
 
          1
          200.0
  0.00001   2.37057E-28 5.46882E-27 4.35852E-26 7.93440E-25 4.58223E-24 8.70861E-24 3.87368E-23 1.31038E-20
  0.00010   2.37039E-27 5.46841E-26 4.35400E-25 7.92568E-24 4.58207E-23 8.66000E-23 3.84212E-22 1.25831E-19
  0.00100   2.36992E-26 5.46774E-25 4.34680E-24 7.89749E-23 4.53387E-22 8.64571E-22 3.82873E-21 8.49030E-19
  0.01000   2.36825E-25 5.46427E-24 4.32942E-23 7.78971E-22 4.47951E-21 8.42224E-21 3.69178E-20 2.11743E-18
  0.10000   2.36322E-24 5.43306E-23 4.21738E-22 7.21205E-21 3.89623E-20 7.06413E-20 2.76832E-19 2.10367E-18
  1.00000   2.31614E-23 5.03457E-22 3.47013E-21 4.74094E-20 1.76558E-19 2.34520E-19 3.62845E-19 6.45363E-19
 10.00000   1.98666E-22 3.43434E-21 1.47319E-20 6.44430E-20 1.31627E-19 1.32571E-19 1.33870E-19 1.35003E-19
100.00000   7.10308E-22 2.97766E-21 1.08298E-20 2.24377E-20 2.82132E-20 2.89475E-20 2.98758E-20 3.05793E-20
 
          1
          250.0
  0.00001   1.27915E-28 3.19613E-27 2.58830E-26 4.78246E-25 2.76807E-24 5.39362E-24 2.40346E-23 9.95995E-21
