    SIZE INTERVAL   1
    WAVl        QEXT      W0      gf
 500.0000   0.000000  0.0000000  -.000034
 142.8571   0.000001  0.0000000  -.000020
  76.9231   0.000002  0.0000000  -.000006
  52.6316   0.000003  0.0000000  0.000000
  40.0000   0.000004  0.0000000  0.000000
  32.7869   0.000004  0.0000000  -.000001
  28.1690   0.000005  0.0000000  -.000001
  24.3902   0.000007  0.0000000  0.000000
  21.6216   0.000009  0.0000000  0.000000
  19.2308   0.000011  0.0000000  0.000000
  17.2117   0.000012  0.0000000  0.000000
  15.5763   0.000013  0.0000000  0.000000
  14.4196   0.000013  0.0000000  0.000000
  13.1579   0.000012  0.0000000  0.000000
  11.9403   0.000010  0.0000000  0.000000
  11.0193   0.000008  0.0000000  0.000000
  10.3093   0.000008  0.0000000  0.000000
   9.6852   0.000009  0.0000000  0.000000
   9.2039   0.000010  0.0000000  0.000000
   8.6655   0.000011  0.0000000  0.000000
   8.0808   0.000015  0.0000000  0.000000
   7.6190   0.000018  0.0000000  0.000000
   7.1429   0.000025  0.0000000  0.000000
   6.6667   0.000036  0.0000000  0.000000
   6.2500   0.000048  0.0000000  0.000000
   5.8824   0.000021  0.0000000  0.000000
   5.5556   0.000004  0.0000000  0.000000
   5.2632   0.000002  0.0000000  0.000000
   5.0000   0.000002  0.0000000  0.000000
   4.7059   0.000005  0.0000000  0.000000
   4.3507   0.000003  0.0000000  0.000000
   4.0891   0.000003  0.0000000  0.000000
   3.7807   0.000005  0.0000000  0.000000
   3.3996   0.000013  0.0000000  0.000000
   3.0713   0.000026  0.0000000  0.000000
   2.7836   0.000008  0.0000000  0.000000
   2.5674   0.000002  0.0000000  0.000000
   2.3337   0.000000  0.0000000  0.000000
   2.1075   0.000000  0.0000000  0.000000
   1.9380   0.000000  0.0000000  0.000000
   1.7707   0.000000  0.0000000  0.000000
   1.6240   0.000000  0.0000000  0.000000
   1.4948   0.000000  0.0000000  0.000000
   1.3661   0.000000  0.0000000  0.000000
   1.2527   0.000000  0.0000001  0.000000
   1.1652   0.000001  0.0000001  0.000000
   1.0989   0.000001  0.0000001  0.000000
   1.0526   0.000001  0.0000000  0.000000
   0.9975   0.000001  0.0000000  0.000000
   0.9251   0.000002  0.0000000  0.000000
   0.8662   0.000003  0.0000000  0.000000
   0.8110   0.000007  0.0000000  0.000000
   0.7678   0.000009  0.0000000  0.000000
   0.7202   0.000012  0.0000000  0.000000
   0.6787   0.000016  0.0000000  0.000000
    SIZE INTERVAL   2
    WAVl        QEXT      W0      gf
 500.0000   0.000000  0.0000000  0.000024
 142.8571   0.000002  0.0000000  0.000012
  76.9231   0.000005  0.0000000  0.000002
  52.6316   0.000006  0.0000000  0.000000
  40.0000   0.000008  0.0000000  0.000000
  32.7869   0.000009  0.0000000  0.000000
  28.1690   0.000011  0.0000000  0.000000
  24.3902   0.000014  0.0000000  0.000000
  21.6216   0.000017  0.0000000  0.000000
  19.2308   0.000021  0.0000000  0.000000
  17.2117   0.000025  0.0000000  0.000000
  15.5763   0.000026  0.0000000  0.000000
  14.4196   0.000026  0.0000000  0.000000
  13.1579   0.000024  0.0000000  0.000000
  11.9403   0.000020  0.0000000  0.000000
  11.0193   0.000016  0.0000000  0.000000
  10.3093   0.000017  0.0000000  0.000000
   9.6852   0.000019  0.0000000  0.000000
   9.2039   0.000020  0.0000000  0.000000
   8.6655   0.000023  0.0000000  0.000000
   8.0808   0.000030  0.0000000  0.000000
   7.6190   0.000037  0.0000000  0.000000
   7.1429   0.000049  0.0000000  0.000000
   6.6667   0.000071  0.0000000  0.000000
   6.2500   0.000096  0.0000000  0.000000
   5.8824   0.000042  0.0000000  0.000000
   5.5556   0.000008  0.0000000  0.000000
   5.2632   0.000004  0.0000000  0.000000
   5.0000   0.000004  0.0000000  0.000000
   4.7059   0.000010  0.0000000  0.000000
   4.3507   0.000006  0.0000000  0.000000
   4.0891   0.000006  0.0000000  0.000000
   3.7807   0.000011  0.0000000  0.000000
   3.3996   0.000027  0.0000000  0.000000
   3.0713   0.000052  0.0000000  0.000000
   2.7836   0.000015  0.0000000  0.000000
   2.5674   0.000003  0.0000000  0.000000
   2.3337   0.000001  0.0000000  0.000000
   2.1075   0.000001  0.0000001  0.000000
   1.9380   0.000001  0.0000001  0.000000
   1.7707   0.000000  0.0000002  0.000000
   1.6240   0.000000  0.0000003  0.000000
   1.4948   0.000001  0.0000003  0.000000
   1.3661   0.000001  0.0000004  0.000000
   1.2527   0.000001  0.0000005  0.000000
   1.1652   0.000001  0.0000004  0.000000
   1.0989   0.000001  0.0000004  0.000000
   1.0526   0.000002  0.0000004  0.000000
   0.9975   0.000003  0.0000004  0.000000
   0.9251   0.000005  0.0000003  0.000000
   0.8662   0.000007  0.0000003  0.000000
   0.8110   0.000013  0.0000003  0.000000
   0.7678   0.000019  0.0000002  0.000001
   0.7202   0.000024  0.0000002  0.000001
   0.6787   0.000033  0.0000002  0.000001
    SIZE INTERVAL   3
    WAVl        QEXT      W0      gf
 500.0000   0.000001  0.0000000  -.000008
 142.8571   0.000003  0.0000000  0.000002
  76.9231   0.000007  0.0000000  0.000001
  52.6316   0.000010  0.0000000  0.000000
  40.0000   0.000011  0.0000000  0.000000
  32.7869   0.000013  0.0000000  0.000000
  28.1690   0.000017  0.0000000  0.000000
  24.3902   0.000021  0.0000000  0.000000
  21.6216   0.000025  0.0000000  0.000000
  19.2308   0.000032  0.0000000  0.000000
  17.2117   0.000037  0.0000000  0.000000
  15.5763   0.000038  0.0000000  0.000000
  14.4196   0.000039  0.0000000  0.000000
  13.1579   0.000036  0.0000000  0.000000
  11.9403   0.000030  0.0000000  0.000000
  11.0193   0.000024  0.0000000  0.000000
  10.3093   0.000024  0.0000000  0.000000
   9.6852   0.000028  0.0000000  0.000000
   9.2039   0.000031  0.0000000  0.000000
   8.6655   0.000035  0.0000000  0.000000
   8.0808   0.000046  0.0000000  0.000000
   7.6190   0.000055  0.0000000  0.000000
   7.1429   0.000074  0.0000000  0.000000
   6.6667   0.000107  0.0000000  0.000000
   6.2500   0.000144  0.0000000  0.000000
   5.8824   0.000063  0.0000000  0.000000
   5.5556   0.000012  0.0000000  0.000000
   5.2632   0.000006  0.0000000  0.000000
   5.0000   0.000006  0.0000000  0.000000
   4.7059   0.000016  0.0000000  0.000000
   4.3507   0.000009  0.0000000  0.000000
   4.0891   0.000009  0.0000000  0.000000
   3.7807   0.000016  0.0000000  0.000000
   3.3996   0.000041  0.0000000  0.000000
   3.0713   0.000079  0.0000000  0.000000
   2.7836   0.000023  0.0000000  0.000000
   2.5674   0.000004  0.0000000  0.000000
   2.3337   0.000001  0.0000001  0.000000
   2.1075   0.000001  0.0000002  0.000000
   1.9380   0.000001  0.0000003  0.000000
   1.7707   0.000001  0.0000006  0.000000
   1.6240   0.000001  0.0000009  0.000000
   1.4948   0.000001  0.0000010  0.000000
   1.3661   0.000001  0.0000012  0.000000
   1.2527   0.000001  0.0000014  0.000001
   1.1652   0.000002  0.0000014  0.000001
   1.0989   0.000002  0.0000014  0.000001
   1.0526   0.000003  0.0000013  0.000001
   0.9975   0.000004  0.0000012  0.000001
   0.9251   0.000007  0.0000010  0.000001
   0.8662   0.000010  0.0000009  0.000001
   0.8110   0.000020  0.0000008  0.000001
   0.7678   0.000028  0.0000007  0.000002
   0.7202   0.000036  0.0000006  0.000002
   0.6787   0.000049  0.0000005  0.000002
    SIZE INTERVAL   4
    WAVl        QEXT      W0      gf
 500.0000   0.000001  0.0000000  0.000010
 142.8571   0.000004  0.0000000  0.000001
  76.9231   0.000010  0.0000000  0.000001
  52.6316   0.000014  0.0000000  0.000000
  40.0000   0.000015  0.0000000  0.000000
  32.7869   0.000017  0.0000000  0.000000
  28.1690   0.000022  0.0000000  0.000000
  24.3902   0.000028  0.0000000  0.000000
  21.6216   0.000034  0.0000000  0.000000
  19.2308   0.000043  0.0000000  0.000000
  17.2117   0.000049  0.0000000  0.000000
  15.5763   0.000051  0.0000000  0.000000
  14.4196   0.000052  0.0000000  0.000000
  13.1579   0.000049  0.0000000  0.000000
  11.9403   0.000039  0.0000000  0.000000
  11.0193   0.000032  0.0000000  0.000000
  10.3093   0.000033  0.0000000  0.000000
   9.6852   0.000037  0.0000000  0.000000
   9.2039   0.000041  0.0000000  0.000000
   8.6655   0.000047  0.0000000  0.000000
   8.0808   0.000061  0.0000000  0.000000
   7.6190   0.000074  0.0000000  0.000000
   7.1429   0.000099  0.0000000  0.000000
   6.6667   0.000142  0.0000000  0.000000
   6.2500   0.000192  0.0000000  0.000000
   5.8824   0.000084  0.0000000  0.000000
   5.5556   0.000016  0.0000000  0.000000
   5.2632   0.000008  0.0000000  0.000000
   5.0000   0.000008  0.0000000  0.000000
   4.7059   0.000021  0.0000000  0.000000
   4.3507   0.000011  0.0000000  0.000000
   4.0891   0.000013  0.0000000  0.000000
   3.7807   0.000022  0.0000000  0.000000
   3.3996   0.000054  0.0000000  0.000000
   3.0713   0.000105  0.0000000  0.000000
   2.7836   0.000030  0.0000000  0.000000
   2.5674   0.000005  0.0000001  0.000000
   2.3337   0.000002  0.0000003  0.000000
   2.1075   0.000002  0.0000004  0.000000
   1.9380   0.000001  0.0000007  0.000000
   1.7707   0.000001  0.0000014  0.000000
   1.6240   0.000001  0.0000019  0.000000
   1.4948   0.000001  0.0000024  0.000001
   1.3661   0.000001  0.0000029  0.000001
   1.2527   0.000002  0.0000033  0.000001
   1.1652   0.000002  0.0000034  0.000001
   1.0989   0.000003  0.0000032  0.000001
   1.0526   0.000003  0.0000031  0.000001
   0.9975   0.000005  0.0000029  0.000001
   0.9251   0.000009  0.0000024  0.000002
   0.8662   0.000014  0.0000021  0.000002
   0.8110   0.000027  0.0000018  0.000002
   0.7678   0.000037  0.0000016  0.000003
   0.7202   0.000049  0.0000014  0.000003
   0.6787   0.000066  0.0000012  0.000003
    SIZE INTERVAL   5
    WAVl        QEXT      W0      gf
 500.0000   0.000001  0.0000000  -.000015
 142.8571   0.000005  0.0000000  0.000000
  76.9231   0.000012  0.0000000  0.000000
  52.6316   0.000017  0.0000000  0.000000
  40.0000   0.000019  0.0000000  0.000000
  32.7869   0.000021  0.0000000  0.000000
  28.1690   0.000028  0.0000000  0.000000
