    SIZE INTERVAL   1
   WAVl        QEXT      W0      gf
     500.0000      9.5173311e-08      2.8593494e-17    -2.6241098e-05
     142.8571      7.2861213e-07      4.8411244e-16    -8.6360159e-06
      76.9231      1.9523348e-06      1.9925407e-15    -2.4171385e-06
      52.6316      2.6920320e-06      6.1442378e-15    -2.1131854e-07
      40.0000      3.1511182e-06      1.5118576e-14    -9.2081552e-09
      32.7869      3.5072535e-06      2.8223176e-14    -1.8708581e-07
      28.1690      4.3748296e-06      4.2954280e-14    -1.9208537e-07
      24.3902      5.6408089e-06      5.9101610e-14    -4.6472854e-08
      21.6216      6.9062392e-06      7.4841684e-14     4.1325218e-08
      19.2308      8.7396025e-06      9.2565722e-14     4.6346178e-08
      17.2117      1.0213427e-05      1.1579190e-13    -1.9050298e-08
      15.5763      1.0532980e-05      1.5860949e-13     1.7397158e-08
      14.4196      1.0764697e-05      1.9815568e-13     4.3206943e-08
      13.1579      1.0046925e-05      3.0434753e-13     1.6879893e-07
      11.9403      8.1817055e-06      5.2125186e-13    -1.6578659e-08
      11.0193      6.5875242e-06      9.0858477e-13     3.8741727e-08
      10.3093      6.7960964e-06      1.1841585e-12    -2.4171797e-08
       9.6852      7.6888422e-06      1.3922160e-12     2.3014300e-09
       9.2039      8.4566402e-06      1.5773164e-12     2.2717331e-08
       8.6655      9.5530416e-06      1.7924190e-12     4.0390584e-08
       8.0808      1.2308167e-05      1.8774402e-12     1.9088409e-08
       7.6190      1.5131564e-05      1.9334013e-12     1.3814478e-09
       7.1429      2.0337386e-05      1.8144204e-12    -2.8319810e-08
       6.6667      2.9495196e-05      1.6734110e-12    -1.4148005e-08
       6.2500      4.0085345e-05      1.2594978e-12     5.4216082e-09
       5.8824      1.7017537e-05      2.6429656e-12     4.5342436e-08
       5.5556      3.0328930e-06      2.2704876e-11    -8.3659933e-10
       5.2632      1.6704613e-06      5.8049576e-11    -2.0284651e-09
       5.0000      1.7484694e-06      7.0944020e-11     5.2159034e-09
