    SIZE INTERVAL   1
   WAVl        QEXT      W0      gf
     500.0000      1.8169085e-07      1.3283585e-17    -2.7834381e-05
     142.8571      1.3779341e-06      2.3058936e-16    -9.0328413e-06
      76.9231      3.6565739e-06      9.7974809e-16    -2.4760294e-06
      52.6316      5.0329406e-06      2.9741873e-15    -2.1770919e-07
      40.0000      5.8900945e-06      7.1800047e-15    -8.7295366e-09
      32.7869      6.5585906e-06      1.3266993e-14    -1.9763260e-07
      28.1690      8.1751647e-06      2.0345879e-14    -2.0312135e-07
      24.3902      1.0527608e-05      2.8369948e-14    -4.9752325e-08
      21.6216      1.2871828e-05      3.6363463e-14     4.2555157e-08
      19.2308      1.6243248e-05      4.5850368e-14     4.7071406e-08
      17.2117      1.8932802e-05      5.7627562e-14    -1.9093006e-08
      15.5763      1.9507955e-05      7.7485772e-14     1.8161857e-08
      14.4196      1.9924698e-05      9.5542707e-14     4.4544957e-08
      13.1579      1.8620150e-05      1.4303019e-13     1.7783893e-07
      11.9403      1.5161191e-05      2.3634554e-13    -1.9176201e-08
      11.0193      1.2231631e-05      4.0482739e-13     4.2216072e-08
      10.3093      1.2625841e-05      5.2825017e-13    -2.6604028e-08
       9.6852      1.4295195e-05      6.2427784e-13     2.1626695e-09
       9.2039      1.5731865e-05      7.1009876e-13     2.4347274e-08
       8.6655      1.7781024e-05      8.1142922e-13     4.3555218e-08
       8.0808      2.2901570e-05      8.6246117e-13     2.0439633e-08
       7.6190      2.8139439e-05      8.9967257e-13     5.7573033e-09
       7.1429      3.7655602e-05      8.7011973e-13     3.6989011e-08
       6.6667      5.4485345e-05      8.5334834e-13    -1.4057519e-08
       6.2500      7.3662570e-05      6.9970191e-13     1.1487704e-08
       5.8824      3.1026241e-05      1.1649276e-12     4.9009685e-08
       5.5556      5.5666091e-06      9.5886761e-12    -1.3106688e-09
       5.2632      3.0928969e-06      2.4753845e-11    -2.7826072e-09
       5.0000      3.2207705e-06      3.0570619e-11    -1.5708929e-08
       4.7059      7.4893782e-06      1.7582309e-11    -1.5906947e-08
       4.3507      4.3428135e-06      4.1439498e-11    -6.4337945e-09
       4.0891      4.8588861e-06      4.9414818e-11     4.4802473e-09
       3.7807      7.9697335e-06      4.2302423e-11     1.1599831e-08
       3.3996      2.0446282e-05      2.5607076e-11     5.4209513e-09
       3.0713      4.0150568e-05      1.8694642e-11     2.5310776e-09
       2.7836      1.1032904e-05      9.0245071e-11     6.0819606e-09
       2.5674      1.6067483e-06      9.1046855e-10     7.0267740e-09
       2.3337      6.1509785e-07      3.5860713e-09     1.4815105e-08
       2.1075      6.5995729e-07      5.1095748e-09     1.4550920e-08
       1.9380      5.5268333e-07      8.5203210e-09     1.7714376e-08
       1.7707      4.1102903e-07      1.6908990e-08     1.8203264e-08
       1.6240      4.5096254e-07      2.2331688e-08     2.4565998e-08
       1.4948      4.8933338e-07      2.8530845e-08     3.0169714e-08
       1.3661      5.3158039e-07      3.6576901e-08     3.5937251e-08
       1.2527      6.7714260e-07      4.1485923e-08     4.2878180e-08
       1.1652      8.9784965e-07      4.1826934e-08     5.0196526e-08
       1.0989      1.2125849e-06      3.9392940e-08     5.6920722e-08
       1.0526      1.4744570e-06      3.8452725e-08     6.1098185e-08
       0.9975      1.9584319e-06      3.5955180e-08     6.7465427e-08
       0.9251      3.2481944e-06      2.9790473e-08     7.9460224e-08
       0.8662      4.9466198e-06      2.5506690e-08     9.0155083e-08
       0.8110      7.8177814e-06      2.1707644e-08     1.0679358e-07
       0.7678      1.1185272e-05      1.9133643e-08     1.1981502e-07
       0.7202      1.6597932e-05      1.6649440e-08     1.3416271e-07
       0.6787      2.3615081e-05      1.4827415e-08     1.4964206e-07
    SIZE INTERVAL   2
   WAVl        QEXT      W0      gf
     500.0000      3.6338170e-07      1.0627076e-16    -1.8029104e-05
     142.8571      2.7558682e-06      1.8447683e-15     5.4689497e-06
      76.9231      7.3131479e-06      7.8380353e-15     7.2966249e-07
      52.6316      1.0065881e-05      2.3793522e-14     2.9721360e-07
      40.0000      1.1780190e-05      5.7440047e-14     1.0404903e-07
      32.7869      1.3117182e-05      1.0613597e-13    -5.9950153e-08
      28.1690      1.6350329e-05      1.6276708e-13    -6.3812631e-08
      24.3902      2.1055217e-05      2.2695961e-13     2.3729855e-09
      21.6216      2.5743656e-05      2.9090770e-13     4.2774750e-08
      19.2308      3.2486496e-05      3.6680294e-13     4.7338397e-08
      17.2117      3.7865604e-05      4.6102050e-13    -1.8795297e-08
      15.5763      3.9015909e-05      6.1988617e-13     1.8485636e-08
      14.4196      3.9849397e-05      7.6434166e-13     4.4835050e-08
      13.1579      3.7240300e-05      1.1442412e-12     1.3776457e-08
      11.9403      3.0322381e-05      1.8907643e-12    -2.6438121e-09
      11.0193      2.4463264e-05      3.2386186e-12    -1.0476417e-08
      10.3093      2.5251681e-05      4.2260016e-12    -7.7958154e-09
       9.6852      2.8590389e-05      4.9942229e-12    -7.4853148e-09
       9.2039      3.1463729e-05      5.6807902e-12    -7.2458597e-09
       8.6655      3.5562048e-05      6.4914337e-12    -6.2871453e-09
       8.0808      4.5803141e-05      6.8996894e-12     1.7078994e-10
       7.6190      5.6278878e-05      7.1973805e-12     4.6527968e-09
       7.1429      7.5311210e-05      6.9609567e-12     1.2502148e-09
       6.6667      1.0897069e-04      6.8267872e-12     6.6084128e-09
       6.2500      1.4732515e-04      5.5976147e-12     1.1408949e-08
       5.8824      6.2052485e-05      9.3194196e-12     4.9984904e-09
       5.5556      1.1133219e-05      7.6709406e-11     1.0772639e-08
       5.2632      6.1857942e-06      1.9803074e-10     1.4399843e-08
       5.0000      6.4415411e-06      2.4456497e-10     9.6270123e-09
       4.7059      1.4978757e-05      1.4065848e-10     1.1744866e-08
       4.3507      8.6856275e-06      3.3151597e-10     1.6250883e-08
       4.0891      9.7177726e-06      3.9531853e-10     1.9293278e-08
       3.7807      1.5939468e-05      3.3841935e-10     1.9101456e-08
       3.3996      4.0892567e-05      2.0485661e-10     2.4318977e-08
       3.0713      8.0301141e-05      1.4955713e-10     2.8067735e-08
       2.7836      2.2065809e-05      7.2196052e-10     3.1596593e-08
       2.5674      3.2134971e-06      7.2837475e-09     3.9830326e-08
       2.3337      1.2301960e-06      2.8688564e-08     4.9681374e-08
       2.1075      1.3199149e-06      4.0876590e-08     6.0297022e-08
       1.9380      1.1053670e-06      6.8162553e-08     7.1157807e-08
       1.7707      8.2205842e-07      1.3527188e-07     8.5483795e-08
       1.6240      9.0192560e-07      1.7865343e-07     1.0564654e-07
       1.4948      9.7866740e-07      2.2824664e-07     1.2340406e-07
       1.3661      1.0631616e-06      2.9261504e-07     1.4212355e-07
       1.2527      1.3542864e-06      3.3188718e-07     1.7187898e-07
       1.1652      1.7957010e-06      3.3461525e-07     1.9686085e-07
       1.0989      2.4251723e-06      3.1514329e-07     2.2321040e-07
       1.0526      2.9489173e-06      3.0762155e-07     2.4275633e-07
       0.9975      3.9168687e-06      2.8764119e-07     2.7042379e-07
       0.9251      6.4963976e-06      2.3832355e-07     3.1823308e-07
       0.8662      9.8932543e-06      2.0405331e-07     3.6088633e-07
       0.8110      1.5635589e-05      1.7366094e-07     4.2740715e-07
       0.7678      2.2370587e-05      1.5306894e-07     4.7946691e-07
       0.7202      3.3195933e-05      1.3319533e-07     5.3682907e-07
       0.6787      4.7230270e-05      1.1861913e-07     5.9855480e-07
    SIZE INTERVAL   3
   WAVl        QEXT      W0      gf
     500.0000      5.4507256e-07      3.5868316e-16     8.9500484e-06
     142.8571      4.1338022e-06      6.2260332e-15     6.3508066e-07
      76.9231      1.0969722e-05      2.6453297e-14    -6.4545455e-07
      52.6316      1.5098822e-05      8.0303054e-14    -2.4094224e-07
      40.0000      1.7670285e-05      1.9386009e-13    -1.1121983e-07
      32.7869      1.9675772e-05      3.5820895e-13     6.3435654e-09
      28.1690      2.4525494e-05      5.4933899e-13     3.0178559e-08
      24.3902      3.1582826e-05      7.6598867e-13     9.2601148e-09
      21.6216      3.8615485e-05      9.8181339e-13    -2.4138851e-10
      19.2308      4.8729744e-05      1.2379599e-12     1.3386816e-08
      17.2117      5.6798408e-05      1.5559441e-12     1.0315043e-10
      15.5763      5.8523867e-05      2.0921157e-12     1.8485385e-09
      14.4196      5.9774099e-05      2.5796529e-12     3.0805265e-09
      13.1579      5.5860454e-05      3.8618133e-12    -3.4735881e-09
      11.9403      4.5483574e-05      6.3813290e-12     1.5687491e-09
      11.0193      3.6694894e-05      1.0930338e-11     9.7433714e-09
      10.3093      3.7877524e-05      1.4262755e-11     2.9176429e-09
       9.6852      4.2885585e-05      1.6855502e-11     5.1917714e-09
       9.2039      4.7195594e-05      1.9172667e-11     6.9455578e-09
       8.6655      5.3343071e-05      2.1908589e-11     8.5781090e-09
       8.0808      6.8704711e-05      2.3286453e-11     7.7691074e-09
       7.6190      8.4418318e-05      2.4291160e-11     7.5010366e-09
       7.1429      1.1296682e-04      2.3493230e-11     1.2035784e-08
       6.6667      1.6345604e-04      2.3040407e-11     1.1757197e-08
       6.2500      2.2098773e-04      1.8891950e-11     1.1778211e-08
       5.8824      9.3078730e-05      3.1453039e-11     1.7798362e-08
       5.5556      1.6699828e-05      2.5889424e-10     1.6683513e-08
       5.2632      9.2786920e-06      6.6835372e-10     1.8228247e-08
       5.0000      9.6623123e-06      8.2540668e-10     2.3419702e-08
       4.7059      2.2468137e-05      4.7472232e-10     2.8950237e-08
       4.3507      1.3028442e-05      1.1188664e-09     2.9245449e-08
       4.0891      1.4576660e-05      1.3341999e-09     3.5380510e-08
       3.7807      2.3909205e-05      1.1421652e-09     4.1891484e-08
       3.3996      6.1338859e-05      6.9139097e-10     5.1661990e-08
       3.0713      1.2045173e-04      5.0475529e-10     6.2660677e-08
       2.7836      3.3098720e-05      2.4366164e-09     7.3819674e-08
       2.5674      4.8202471e-06      2.4582642e-08     8.9005469e-08
       2.3337      1.8452946e-06      9.6823887e-08     1.0889181e-07
       2.1075      1.9798733e-06      1.3795844e-07     1.3418796e-07
       1.9380      1.6580515e-06      2.3004851e-07     1.5809957e-07
       1.7707      1.2330887e-06      4.5654223e-07     1.9308044e-07
       1.6240      1.3528899e-06      6.0295474e-07     2.3795135e-07
       1.4948      1.4680031e-06      7.7033151e-07     2.7746957e-07
       1.3661      1.5947449e-06      9.8757437e-07     3.1923347e-07
       1.2527      2.0314334e-06      1.1201175e-06     3.8603030e-07
       1.1652      2.6935570e-06      1.1293246e-06     4.4247928e-07
       1.0989      3.6377663e-06      1.0636067e-06     5.0225472e-07
       1.0526      4.4233860e-06      1.0382209e-06     5.4648892e-07
