    SIZE INTERVAL   1
   WAVl        QEXT      W0      gf
     500.0000      1.6543420e-06      2.7210537e-18    -1.9229390e-05
     142.8571      5.1110813e-06      2.2593689e-16    -4.6064790e-06
      76.9231      6.3973936e-06      2.3873590e-15    -1.2192802e-06
      52.6316      1.2031685e-05      5.9092837e-15    -1.0094342e-07
      40.0000      2.0533220e-05      1.0235734e-14    -5.3726507e-09
      32.7869      2.8145316e-05      1.5311933e-14    -8.4858624e-08
      28.1690      3.0131199e-05      2.7603797e-14    -8.7161097e-08
      24.3902      2.9638415e-05      5.1574244e-14    -2.1227787e-08
      21.6216      2.8869332e-05      8.4410560e-14     1.8471719e-08
      19.2308      2.6757435e-05      1.4711464e-13     2.0489533e-08
      17.2117      2.9493742e-05      2.0912003e-13    -9.0773533e-09
      15.5763      4.0959388e-05      2.2949754e-13     6.1500038e-09
      14.4196      5.1670543e-05      2.4509051e-13     1.6932025e-08
      13.1579      7.3428049e-05      2.3866843e-13     6.6153308e-08
      11.9403      1.0481866e-04      1.9034753e-13    -6.8276528e-09
      11.0193      1.1264231e-04      1.6935113e-13     1.7298708e-08
      10.3093      1.1746297e-04      2.0447154e-13    -1.1351638e-08
       9.6852      1.2657697e-04      2.7072102e-13     6.6758836e-10
       9.2039      1.3408577e-04      3.3614117e-13     9.9367017e-09
       8.6655      1.4179396e-04      4.3879134e-13     1.7944361e-08
       8.0808      1.4087563e-04      7.0947892e-13     8.1277894e-09
       7.6190      1.3800000e-04      1.0502932e-12     1.7731137e-09
       7.1429      1.1050155e-04      1.8577665e-12     1.3363281e-08
       6.6667      6.3437252e-05      4.2702584e-12    -9.2145345e-09
       6.2500      4.7111603e-05      7.3467785e-12    -1.6394289e-09
       5.8824      2.1943065e-04      1.2616451e-12     1.3787791e-08
       5.5556      6.1419686e-05      7.9595185e-13    -5.6260864e-09
       5.2632      3.4279135e-05      1.5207754e-12    -3.9225030e-09
       5.0000      3.5937980e-05      1.8843879e-12    -1.9317199e-08
       4.7059      8.3165214e-05      1.5027819e-12    -1.4447228e-08
       4.3507      4.8577295e-05      2.6424223e-12    -8.2593376e-09
       4.0891      5.4419326e-05      3.2100778e-12     3.9025271e-09
       3.7807      8.8949264e-05      3.1743571e-12     1.1131425e-08
       3.3996      2.2150277e-04      3.7666366e-12     3.9127379e-09
       3.0713      3.9035051e-04      6.8303278e-12     2.7257447e-09
       2.7836      1.2246496e-04      7.0380094e-12     4.6051574e-09
       2.5674      3.2204861e-05      2.8720285e-11     1.0067066e-08
       2.3337      2.6801120e-05      5.0077203e-11     3.1708426e-09
       2.1075      2.4452312e-05      7.4864785e-11     1.9775510e-08
       1.9380      2.6191516e-05      9.1451529e-11     1.6363412e-08
       1.7707      2.6296270e-05      1.3057568e-10     2.2331890e-08
       1.6240      2.7632890e-05      1.7244215e-10     2.1192348e-08
       1.4948      2.5021367e-05      2.6958406e-10     2.5763977e-08
       1.3661      2.4657610e-05      3.9628754e-10     3.1142081e-08
       1.2527      2.4125260e-05      5.6502517e-10     3.4726068e-08
       1.1652      2.5900452e-05      7.0483041e-10     4.0385791e-08
       1.0989      2.8636484e-05      8.0545691e-10     4.5668005e-08
       1.0526      2.7882168e-05      9.8245805e-10     4.9960461e-08
       0.9975      2.9305963e-05      1.1587781e-09     5.6060600e-08
       0.9251      3.2973529e-05      1.3924767e-09     6.4541200e-08
       0.8662      3.6682992e-05      1.6287998e-09     7.3811459e-08
