    SIZE INTERVAL   1
    WAVl        QEXT      W0      gf
   0.2563   0.000805  0.0000000  0.000001
   0.2795   0.000652  0.0000000  0.000001
   0.2965   0.000557  0.0000000  0.000001
   0.3186   0.000476  0.0000000  0.000001
   0.3355   0.000416  0.0000000  0.000001
   0.3650   0.000322  0.0000000  0.000001
   0.4200   0.000186  0.0000000  0.000001
   0.4950   0.000100  0.0000000  0.000000
   0.5448   0.000059  0.0000000  0.000000
   0.5581   0.000048  0.0000000  0.000000
   0.5858   0.000039  0.0000000  0.000000
   0.6150   0.000032  0.0000000  0.000000
   0.6459   0.000024  0.0000000  0.000000
   0.6790   0.000016  0.0000000  0.000000
   0.7210   0.000012  0.0000000  0.000000
   0.7680   0.000009  0.0000000  0.000000
   0.8130   0.000007  0.0000000  0.000000
   0.8670   0.000003  0.0000000  0.000000
   0.9260   0.000002  0.0000000  0.000000
   1.0000   0.000001  0.0000000  0.000000
   1.0500   0.000001  0.0000000  0.000000
   1.1000   0.000001  0.0000001  0.000000
   1.1700   0.000001  0.0000001  0.000000
   1.2500   0.000000  0.0000001  0.000000
   1.3700   0.000000  0.0000000  0.000000
   1.5000   0.000000  0.0000000  0.000000
   1.6300   0.000000  0.0000000  0.000000
   1.7700   0.000000  0.0000000  0.000000
   1.9400   0.000000  0.0000000  0.000000
   2.1100   0.000000  0.0000000  0.000000
   2.3400   0.000000  0.0000000  0.000000
   2.5700   0.000002  0.0000000  0.000000
   2.7900   0.000008  0.0000000  0.000000
   3.0800   0.000026  0.0000000  0.000000
   3.4100   0.000013  0.0000000  0.000000
   3.7900   0.000005  0.0000000  0.000000
   4.0900   0.000003  0.0000000  0.000000
   4.3600   0.000003  0.0000000  0.000000
    SIZE INTERVAL   2
    WAVl        QEXT      W0      gf
   0.2563   0.001610  0.0000001  0.000005
   0.2795   0.001303  0.0000001  0.000004
   0.2965   0.001113  0.0000001  0.000004
   0.3186   0.000951  0.0000001  0.000003
   0.3355   0.000832  0.0000001  0.000003
   0.3650   0.000643  0.0000001  0.000003
   0.4200   0.000372  0.0000001  0.000002
   0.4950   0.000200  0.0000001  0.000002
   0.5448   0.000119  0.0000001  0.000001
   0.5581   0.000097  0.0000001  0.000001
   0.5858   0.000077  0.0000001  0.000001
   0.6150   0.000063  0.0000001  0.000001
   0.6459   0.000049  0.0000002  0.000001
   0.6790   0.000033  0.0000002  0.000001
   0.7210   0.000024  0.0000002  0.000001
   0.7680   0.000019  0.0000002  0.000001
   0.8130   0.000013  0.0000003  0.000000
   0.8670   0.000007  0.0000003  0.000000
   0.9260   0.000005  0.0000003  0.000000
   1.0000   0.000002  0.0000004  0.000000
   1.0500   0.000002  0.0000004  0.000000
   1.1000   0.000001  0.0000004  0.000000
   1.1700   0.000001  0.0000004  0.000000
   1.2500   0.000001  0.0000005  0.000000
   1.3700   0.000001  0.0000004  0.000000
   1.5000   0.000001  0.0000003  0.000000
   1.6300   0.000000  0.0000003  0.000000
   1.7700   0.000000  0.0000002  0.000000
   1.9400   0.000001  0.0000001  0.000000
   2.1100   0.000001  0.0000001  0.000000
   2.3400   0.000001  0.0000000  0.000000
   2.5700   0.000003  0.0000000  0.000000
   2.7900   0.000016  0.0000000  0.000000
   3.0800   0.000051  0.0000000  0.000000
   3.4100   0.000027  0.0000000  0.000000
   3.7900   0.000010  0.0000000  0.000000
   4.0900   0.000006  0.0000000  0.000000
   4.3600   0.000006  0.0000000  0.000000
    SIZE INTERVAL   3
    WAVl        QEXT      W0      gf
   0.2563   0.002415  0.0000005  0.000012
   0.2795   0.001955  0.0000004  0.000010
   0.2965   0.001671  0.0000004  0.000009
   0.3186   0.001428  0.0000003  0.000007
   0.3355   0.001248  0.0000003  0.000007
   0.3650   0.000966  0.0000003  0.000006
   0.4200   0.000558  0.0000003  0.000005
   0.4950   0.000300  0.0000003  0.000003
   0.5448   0.000177  0.0000004  0.000002
   0.5581   0.000144  0.0000004  0.000002
   0.5858   0.000115  0.0000004  0.000002
   0.6150   0.000094  0.0000004  0.000002
   0.6459   0.000072  0.0000005  0.000002
   0.6790   0.000049  0.0000005  0.000002
   0.7210   0.000036  0.0000006  0.000002
   0.7680   0.000028  0.0000007  0.000002
   0.8130   0.000020  0.0000008  0.000001
   0.8670   0.000010  0.0000009  0.000001
   0.9260   0.000007  0.0000010  0.000001
   1.0000   0.000004  0.0000013  0.000001
   1.0500   0.000003  0.0000013  0.000001
   1.1000   0.000002  0.0000014  0.000001
   1.1700   0.000002  0.0000014  0.000001
   1.2500   0.000001  0.0000014  0.000001
   1.3700   0.000001  0.0000012  0.000000
   1.5000   0.000001  0.0000010  0.000000
   1.6300   0.000001  0.0000008  0.000000
   1.7700   0.000001  0.0000006  0.000000
   1.9400   0.000001  0.0000003  0.000000
   2.1100   0.000001  0.0000002  0.000000
   2.3400   0.000001  0.0000001  0.000000
   2.5700   0.000004  0.0000000  0.000000
   2.7900   0.000024  0.0000000  0.000000
   3.0800   0.000078  0.0000000  0.000000
   3.4100   0.000040  0.0000000  0.000000
   3.7900   0.000016  0.0000000  0.000000
   4.0900   0.000009  0.0000000  0.000000
   4.3600   0.000009  0.0000000  0.000000
    SIZE INTERVAL   4
    WAVl        QEXT      W0      gf
   0.2563   0.003221  0.0000012  0.000021
   0.2795   0.002606  0.0000010  0.000018
   0.2965   0.002227  0.0000009  0.000016
   0.3186   0.001903  0.0000007  0.000014
   0.3355   0.001664  0.0000007  0.000012
   0.3650   0.001287  0.0000006  0.000010
   0.4200   0.000744  0.0000007  0.000008
   0.4950   0.000400  0.0000008  0.000006
   0.5448   0.000237  0.0000009  0.000004
   0.5581   0.000193  0.0000009  0.000004
   0.5858   0.000154  0.0000010  0.000004
   0.6150   0.000126  0.0000010  0.000004
   0.6459   0.000097  0.0000011  0.000003
   0.6790   0.000065  0.0000012  0.000003
   0.7210   0.000048  0.0000014  0.000003
   0.7680   0.000037  0.0000016  0.000003
   0.8130   0.000026  0.0000018  0.000002
   0.8670   0.000013  0.0000021  0.000002
   0.9260   0.000009  0.0000024  0.000002
   1.0000   0.000005  0.0000029  0.000001
   1.0500   0.000003  0.0000031  0.000001
   1.1000   0.000003  0.0000032  0.000001
   1.1700   0.000002  0.0000034  0.000001
   1.2500   0.000002  0.0000034  0.000001
   1.3700   0.000001  0.0000028  0.000001
   1.5000   0.000001  0.0000024  0.000001
   1.6300   0.000001  0.0000019  0.000000
   1.7700   0.000001  0.0000014  0.000000
   1.9400   0.000001  0.0000007  0.000000
   2.1100   0.000002  0.0000004  0.000000
   2.3400   0.000002  0.0000003  0.000000
   2.5700   0.000005  0.0000001  0.000000
   2.7900   0.000032  0.0000000  0.000000
   3.0800   0.000104  0.0000000  0.000000
   3.4100   0.000053  0.0000000  0.000000
   3.7900   0.000021  0.0000000  0.000000
   4.0900   0.000013  0.0000000  0.000000
   4.3600   0.000011  0.0000000  0.000000
    SIZE INTERVAL   5
    WAVl        QEXT      W0      gf
   0.2563   0.004025  0.0000023  0.000033
   0.2795   0.003258  0.0000019  0.000027
   0.2965   0.002784  0.0000017  0.000024
   0.3186   0.002379  0.0000015  0.000021
   0.3355   0.002080  0.0000013  0.000019
   0.3650   0.001609  0.0000012  0.000015
   0.4200   0.000930  0.0000013  0.000013
   0.4950   0.000500  0.0000016  0.000009
   0.5448   0.000296  0.0000018  0.000008
   0.5581   0.000241  0.0000018  0.000007
   0.5858   0.000192  0.0000019  0.000006
   0.6150   0.000158  0.0000020  0.000006
   0.6459   0.000121  0.0000022  0.000005
