    SIZE INTERVAL   1
   WAVl        QEXT      W0      gf
     0.2563     0.000794   0.0000000   0.000001
     0.2795     0.000643   0.0000000   0.000001
     0.2965     0.000556   0.0000000   0.000001
     0.3186     0.000473   0.0000000   0.000001
     0.3355     0.000416   0.0000000   0.000001
     0.3650     0.000319   0.0000000   0.000000
     0.4200     0.000185   0.0000000   0.000000
     0.4950     0.000081   0.0000000   0.000000
     0.5448     0.000051   0.0000000   0.000000
     0.5581     0.000046   0.0000000   0.000000
     0.5858     0.000036   0.0000000   0.000000
     0.6150     0.000028   0.0000000   0.000000
     0.6459     0.000021   0.0000000   0.000000
     0.6790     0.000015   0.0000000   0.000000
     0.7210     0.000010   0.0000000   0.000000
     0.7680     0.000007   0.0000000   0.000000
     0.8130     0.000005   0.0000000   0.000000
     0.8670     0.000003   0.0000000   0.000000
     0.9260     0.000002   0.0000000   0.000000
     1.0000     0.000001   0.0000000   0.000000
     1.0500     0.000001   0.0000000   0.000000
     1.1000     0.000001   0.0000000   0.000000
     1.1700     0.000001   0.0000001   0.000000
     1.2500     0.000000   0.0000001   0.000000
     1.3700     0.000000   0.0000000   0.000000
     1.5000     0.000000   0.0000000   0.000000
     1.6300     0.000000   0.0000000   0.000000
     1.7700     0.000000   0.0000000   0.000000
     1.9400     0.000000   0.0000000   0.000000
     2.1100     0.000000   0.0000000   0.000000
     2.3400     0.000000   0.0000000   0.000000
     2.5700     0.000000   0.0000000   0.000000
     2.7900     0.000008   0.0000000   0.000000
     3.0800     0.000028   0.0000000   0.000000
     3.4100     0.000013   0.0000000   0.000000
     3.7900     0.000005   0.0000000  -0.000000
     4.0900     0.000002   0.0000000   0.000000
     4.3600     0.000014   0.0000000  -0.000000
    SIZE INTERVAL   2
   WAVl        QEXT      W0      gf
     0.2563     0.001588   0.0000001   0.000005
     0.2795     0.001285   0.0000001   0.000004
     0.2965     0.001112   0.0000001   0.000004
     0.3186     0.000947   0.0000001   0.000003
     0.3355     0.000831   0.0000001   0.000003
     0.3650     0.000638   0.0000001   0.000002
     0.4200     0.000369   0.0000001   0.000001
     0.4950     0.000163   0.0000001   0.000001
     0.5448     0.000103   0.0000001   0.000001
     0.5581     0.000092   0.0000001   0.000001
     0.5858     0.000072   0.0000001   0.000001
     0.6150     0.000056   0.0000001   0.000001
     0.6459     0.000042   0.0000001   0.000001
     0.6790     0.000031   0.0000001   0.000001
     0.7210     0.000020   0.0000002   0.000000
     0.7680     0.000013   0.0000002   0.000000
     0.8130     0.000009   0.0000002   0.000000
     0.8670     0.000006   0.0000003   0.000000
     0.9260     0.000004   0.0000003   0.000000
     1.0000     0.000002   0.0000004   0.000000
     1.0500     0.000002   0.0000004   0.000000
     1.1000     0.000001   0.0000004   0.000000
     1.1700     0.000001   0.0000004   0.000000
     1.2500     0.000001   0.0000004   0.000000
     1.3700     0.000001   0.0000004   0.000000
     1.5000     0.000001   0.0000003   0.000000
     1.6300     0.000000   0.0000003   0.000000
     1.7700     0.000000   0.0000002   0.000000
     1.9400     0.000001   0.0000001   0.000000
     2.1100     0.000001   0.0000000   0.000000
     2.3400     0.000001   0.0000000   0.000000
     2.5700     0.000000   0.0000000   0.000000
     2.7900     0.000016   0.0000000   0.000000
     3.0800     0.000057   0.0000000   0.000000
     3.4100     0.000026   0.0000000   0.000000
     3.7900     0.000010   0.0000000   0.000000
     4.0900     0.000004   0.0000000   0.000000
