    SIZE INTERVAL   0
   WAVl        QEXT      W0      gf
     0.2563     0.003286   0.0000000   0.000001
     0.2795     0.001502   0.0000000   0.000001
     0.2965     0.000721   0.0000000   0.000001
     0.3186     0.000377   0.0000000   0.000001
     0.3355     0.000304   0.0000000   0.000001
     0.3650     0.000216   0.0000000   0.000001
     0.4200     0.000146   0.0000000   0.000000
     0.4950     0.000071   0.0000000   0.000000
     0.5448     0.000044   0.0000000   0.000000
     0.5581     0.000039   0.0000000   0.000000
     0.5858     0.000030   0.0000000   0.000000
     0.6150     0.000023   0.0000000   0.000000
     0.6459     0.000017   0.0000000   0.000000
     0.6790     0.000013   0.0000000   0.000000
     0.7210     0.000009   0.0000000   0.000000
     0.7680     0.000006   0.0000000   0.000000
     0.8130     0.000004   0.0000000   0.000000
     0.8670     0.000003   0.0000001   0.000000
     0.9260     0.000002   0.0000001   0.000000
     1.0000     0.000001   0.0000001   0.000000
     1.0500     0.000001   0.0000001   0.000000
     1.1000     0.000001   0.0000001   0.000000
     1.1700     0.000000   0.0000001   0.000000
     1.2500     0.000000   0.0000001   0.000000
     1.3700     0.000000   0.0000001   0.000000
     1.5000     0.000000   0.0000001   0.000000
     1.6300     0.000000   0.0000001  -0.000000
     1.7700     0.000000   0.0000000   0.000000
     1.9400     0.000000   0.0000000   0.000000
     2.1100     0.000000   0.0000000   0.000000
     2.3400     0.000000   0.0000000   0.000000
     2.5700     0.000000   0.0000000   0.000000
     2.7900     0.000007   0.0000000   0.000000
     3.0800     0.000024   0.0000000   0.000000
     3.4100     0.000011   0.0000000   0.000000
     3.7900     0.000004   0.0000000   0.000000
     4.0900     0.000002   0.0000000   0.000000
     4.3600     0.000012   0.0000000  -0.000000
    SIZE INTERVAL   1
   WAVl        QEXT      W0      gf
     0.2563     0.006571   0.0000001   0.000005
     0.2795     0.003004   0.0000002   0.000005
     0.2965     0.001441   0.0000002   0.000005
     0.3186     0.000753   0.0000003   0.000004
     0.3355     0.000608   0.0000003   0.000004
     0.3650     0.000432   0.0000002   0.000003
     0.4200     0.000292   0.0000002   0.000002
     0.4950     0.000142   0.0000002   0.000001
     0.5448     0.000088   0.0000002   0.000001
     0.5581     0.000078   0.0000002   0.000001
     0.5858     0.000060   0.0000002   0.000001
     0.6150     0.000046   0.0000002   0.000001
     0.6459     0.000034   0.0000002   0.000001
     0.6790     0.000025   0.0000003   0.000001
     0.7210     0.000017   0.0000003   0.000001
     0.7680     0.000012   0.0000003   0.000000
     0.8130     0.000008   0.0000004   0.000000
     0.8670     0.000005   0.0000005   0.000000
     0.9260     0.000003   0.0000006   0.000000
     1.0000     0.000002   0.0000007   0.000000
     1.0500     0.000002   0.0000007   0.000000
     1.1000     0.000001   0.0000007   0.000000
     1.1700     0.000001   0.0000008   0.000000
     1.2500     0.000001   0.0000008   0.000000
     1.3700     0.000001   0.0000007   0.000000
     1.5000     0.000000   0.0000006   0.000000
     1.6300     0.000000   0.0000005   0.000000
     1.7700     0.000000   0.0000004   0.000000
     1.9400     0.000001   0.0000002   0.000000
     2.1100     0.000001   0.0000001   0.000000
     2.3400     0.000001   0.0000001   0.000000
     2.5700     0.000000   0.0000000   0.000000
     2.7900     0.000013   0.0000000   0.000000
     3.0800     0.000048   0.0000000   0.000000
     3.4100     0.000021   0.0000000   0.000000
     3.7900     0.000008   0.0000000   0.000000
     4.0900     0.000003   0.0000000   0.000000
     4.3600     0.000024   0.0000000   0.000000
    SIZE INTERVAL   2
   WAVl        QEXT      W0      gf
     0.2563     0.009857   0.0000005   0.000012
     0.2795     0.004507   0.0000006   0.000012
     0.2965     0.002162   0.0000007   0.000011
     0.3186     0.001130   0.0000008   0.000010
     0.3355     0.000913   0.0000009   0.000009
     0.3650     0.000647   0.0000008   0.000007
     0.4200     0.000438   0.0000006   0.000005
     0.4950     0.000213   0.0000006   0.000003
     0.5448     0.000133   0.0000006   0.000002
     0.5581     0.000117   0.0000006   0.000002
     0.5858     0.000090   0.0000007   0.000002
     0.6150     0.000068   0.0000008   0.000002
     0.6459     0.000051   0.0000008   0.000002
     0.6790     0.000038   0.0000009   0.000001
     0.7210     0.000026   0.0000010   0.000001
     0.7680     0.000017   0.0000012   0.000001
     0.8130     0.000012   0.0000013   0.000001
     0.8670     0.000008   0.0000016   0.000001
     0.9260     0.000005   0.0000019   0.000001
     1.0000     0.000003   0.0000023   0.000001
     1.0500     0.000002   0.0000024   0.000001
     1.1000     0.000002   0.0000024   0.000001
     1.1700     0.000001   0.0000027   0.000000
     1.2500     0.000001   0.0000028   0.000000
     1.3700     0.000001   0.0000023   0.000000
     1.5000     0.000001   0.0000020   0.000000
     1.6300     0.000001   0.0000017   0.000000
     1.7700     0.000001   0.0000012   0.000000
     1.9400     0.000001   0.0000005   0.000000
     2.1100     0.000001   0.0000003   0.000000
     2.3400     0.000001   0.0000002   0.000000
     2.5700     0.000000   0.0000000   0.000000
     2.7900     0.000020   0.0000000   0.000000
     3.0800     0.000071   0.0000000   0.000000
     3.4100     0.000032   0.0000000   0.000000
     3.7900     0.000013   0.0000000   0.000000
     4.0900     0.000005   0.0000000   0.000000
     4.3600     0.000036   0.0000000   0.000000
    SIZE INTERVAL   3
   WAVl        QEXT      W0      gf
     0.2563     0.013144   0.0000012   0.000021
     0.2795     0.006009   0.0000013   0.000021
     0.2965     0.002882   0.0000016   0.000020
     0.3186     0.001507   0.0000020   0.000017
     0.3355     0.001217   0.0000022   0.000015
     0.3650     0.000863   0.0000019   0.000013
     0.4200     0.000584   0.0000014   0.000009
     0.4950     0.000285   0.0000014   0.000006
     0.5448     0.000177   0.0000015   0.000005
     0.5581     0.000156   0.0000015   0.000005
     0.5858     0.000120   0.0000016   0.000004
     0.6150     0.000091   0.0000018   0.000004
     0.6459     0.000068   0.0000020   0.000004
     0.6790     0.000051   0.0000022   0.000003
     0.7210     0.000035   0.0000024   0.000003
     0.7680     0.000023   0.0000028   0.000002
     0.8130     0.000016   0.0000031   0.000002
     0.8670     0.000011   0.0000037   0.000002
     0.9260     0.000007   0.0000046   0.000001
     1.0000     0.000004   0.0000055   0.000001
