    SIZE INTERVAL   1
   WAVl        QEXT      W0      gf
     0.2563      1.2306166e-03      1.6284580e-08     1.0235628e-06
     0.2795      9.9559188e-04      1.3534907e-08     8.6164907e-07
     0.2965      8.5960113e-04      1.1814442e-08     7.5515682e-07
     0.3186      7.3280088e-04      9.9651197e-09     6.5177704e-07
     0.3355      6.4065443e-04      8.9882136e-09     5.8423867e-07
     0.3650      4.9443338e-04      8.1861238e-09     4.9590163e-07
     0.4200      2.8504253e-04      8.7980331e-09     3.9099357e-07
     0.4950      1.3236135e-04      1.0232316e-08     2.9715203e-07
     0.5448      8.1238968e-05      1.0967018e-08     2.3978628e-07
     0.5581      7.1309399e-05      1.1172008e-08     2.2446571e-07
     0.5858      5.5169700e-05      1.1873034e-08     2.0496536e-07
     0.6150      4.2254356e-05      1.2731936e-08     1.8757634e-07
     0.6459      3.1863896e-05      1.3708599e-08     1.6917494e-07
     0.6790      2.3550461e-05      1.4838059e-08     1.4946340e-07
     0.7210      1.6488198e-05      1.6688401e-08     1.3392158e-07
     0.7680      1.1166739e-05      1.9144827e-08     1.1975474e-07
     0.8130      7.6892066e-06      2.1834860e-08     1.0619074e-07
     0.8670      4.9139160e-06      2.5566377e-08     8.9913945e-08
     0.9260      3.2278290e-06      2.9860206e-08     7.9311118e-08
     1.0000      1.9245137e-06      3.6189456e-08     6.7051242e-08
     1.0500      1.4907363e-06      3.8400597e-08     6.1332773e-08
     1.1000      1.2069648e-06      3.9415555e-08     5.6821474e-08
     1.1700      8.7481134e-07      4.2229651e-08     4.9556311e-08
     1.2500      6.8128120e-07      4.1599912e-08     4.3044709e-08
     1.3700      5.3006814e-07      3.6265625e-08     3.5719543e-08
     1.5000      4.8772777e-07      2.8250917e-08     2.9944178e-08
     1.6300      4.4925562e-07      2.2079066e-08     2.4305763e-08
     1.7700      4.1121092e-07      1.6931448e-08     1.8233625e-08
     1.9400      5.5429543e-07      8.4606710e-09     1.7635720e-08
     2.1100      6.6106615e-07      5.0769429e-09     1.4551545e-08
     2.3400      6.1052084e-07      3.5707922e-09     1.4827608e-08
     2.5700      1.6244213e-06      8.9651415e-10     7.0506613e-09
     2.7900      1.1774608e-05      8.3633323e-11     6.5552092e-09
     3.0800      3.9562635e-05      1.8812451e-11     3.0228934e-09
     3.4100      1.9928788e-05      2.5935972e-11     4.9479395e-09
     3.7900      7.8267313e-06      4.2624029e-11     1.1606868e-08
     4.0900      4.8536473e-06      4.9420857e-11     4.4340280e-09
     4.3600      4.3552220e-06      4.0885809e-11    -6.7360803e-09
    SIZE INTERVAL   2
   WAVl        QEXT      W0      gf
     0.2563      2.4612731e-03      1.3027523e-07     5.4285386e-06
     0.2795      1.9912105e-03      1.0827828e-07     4.5735855e-06
     0.2965      1.7192222e-03      9.4514795e-08     4.0151877e-06
     0.3186      1.4656162e-03      7.9720419e-08     3.4738033e-06
     0.3355      1.2813201e-03      7.1905274e-08     3.1183332e-06
     0.3650      9.8887408e-04      6.5488657e-08     2.4548491e-06
     0.4200      5.7008849e-04      7.0383979e-08     1.5633163e-06
     0.4950      2.6472391e-04      8.1858279e-08     1.1876937e-06
     0.5448      1.6247853e-04      8.7735928e-08     9.5745309e-07
     0.5581      1.4261929e-04      8.9375853e-08     8.9596312e-07
     0.5858      1.1033975e-04      9.4984071e-08     8.1825886e-07
     0.6150      8.4508955e-05      1.0185528e-07     7.4920225e-07
     0.6459      6.3727957e-05      1.0966860e-07     6.7612523e-07
     0.6790      4.7101030e-05      1.1870428e-07     5.9784531e-07
     0.7210      3.2976463e-05      1.3350702e-07     5.3586500e-07
     0.7680      2.2333520e-05      1.5315841e-07     4.7922590e-07
     0.8130      1.5378439e-05      1.7467868e-07     4.2499697e-07
     0.8670      9.8278467e-06      2.0453081e-07     3.5992226e-07
     0.9260      6.4556667e-06      2.3888142e-07     3.1763876e-07
     1.0000      3.8490320e-06      2.8951539e-07     2.6877292e-07
     1.0500      2.9814760e-06      3.0720453e-07     2.4385394e-07
     1.1000      2.4139321e-06      3.1532421e-07     2.2274602e-07
     1.1700      1.7496243e-06      3.3783699e-07     1.9529204e-07
     1.2500      1.3625636e-06      3.3279909e-07     1.7260058e-07
     1.3700      1.0601371e-06      2.9012484e-07     1.4131775e-07
     1.5000      9.7545618e-07      2.2600723e-07     1.2268936e-07
     1.6300      8.9851174e-07      1.7663246e-07     1.0482189e-07
     1.7700      8.2242221e-07      1.3545154e-07     8.5580005e-08
     1.9400      1.1085912e-06      6.7685354e-08     7.1012356e-08
     2.1100      1.3221326e-06      4.0615535e-08     6.0156626e-08
     2.3400      1.2210419e-06      2.8566332e-08     4.9437438e-08
     2.5700      3.2488431e-06      7.1721123e-09     3.9741123e-08
     2.7900      2.3549217e-05      6.6906655e-10     3.1399666e-08
     3.0800      7.9125276e-05      1.5049960e-10     2.8089983e-08
     3.4100      3.9857580e-05      2.0748777e-10     2.4034906e-08
     3.7900      1.5653464e-05      3.4099220e-10     1.9103025e-08
     4.0900      9.7072951e-06      3.9536684e-10     1.9294321e-08
     4.3600      8.7104445e-06      3.2708645e-10     1.6028943e-08
    SIZE INTERVAL   3
   WAVl        QEXT      W0      gf
     0.2563      3.6920095e-03      4.3967099e-07     1.2214205e-05
     0.2795      2.9868827e-03      3.6543369e-07     1.0290526e-05
