    SIZE INTERVAL   0
   WAVl        QEXT      W0      gf
     0.2563     0.001762   0.0000000   0.000001
     0.2795     0.001270   0.0000000   0.000001
     0.2965     0.000997   0.0000000   0.000001
     0.3186     0.000727   0.0000000   0.000001
     0.3355     0.000587   0.0000000   0.000001
     0.3650     0.000503   0.0000000   0.000000
     0.4200     0.000306   0.0000000   0.000000
     0.4950     0.000170   0.0000000   0.000000
     0.5448     0.000114   0.0000000   0.000000
     0.5581     0.000106   0.0000000   0.000000
     0.5858     0.000093   0.0000000   0.000000
     0.6150     0.000084   0.0000000   0.000000
     0.6459     0.000076   0.0000000   0.000000
     0.6790     0.000067   0.0000000   0.000000
     0.7210     0.000058   0.0000000   0.000000
     0.7680     0.000050   0.0000000   0.000000
     0.8130     0.000043   0.0000000   0.000000
     0.8670     0.000037   0.0000000   0.000000
     0.9260     0.000033   0.0000000   0.000000
     1.0000     0.000029   0.0000000   0.000000
     1.0500     0.000028   0.0000000   0.000000
     1.1000     0.000029   0.0000000   0.000000
     1.1700     0.000026   0.0000000   0.000000
     1.2500     0.000024   0.0000000   0.000000
     1.3700     0.000024   0.0000000   0.000000
     1.5000     0.000025   0.0000000   0.000000
     1.6300     0.000028   0.0000000   0.000000
     1.7700     0.000027   0.0000000   0.000000
     1.9400     0.000027   0.0000000   0.000000
     2.1100     0.000024   0.0000000   0.000000
     2.3400     0.000026   0.0000000   0.000000
     2.5700     0.000024   0.0000000   0.000000
     2.7900     0.000135   0.0000000   0.000000
     3.0800     0.000402   0.0000000   0.000000
     3.4100     0.000220   0.0000000   0.000000
     3.7900     0.000087   0.0000000   0.000000
     4.0900     0.000052   0.0000000   0.000000
     4.3600     0.000219   0.0000000  -0.000000
    SIZE INTERVAL   1
   WAVl        QEXT      W0      gf
     0.2563     0.003523   0.0000001   0.000003
     0.2795     0.002540   0.0000001   0.000004
     0.2965     0.001994   0.0000001   0.000004
     0.3186     0.001455   0.0000001   0.000003
     0.3355     0.001173   0.0000001   0.000003
     0.3650     0.001007   0.0000000   0.000003
     0.4200     0.000612   0.0000000   0.000001
     0.4950     0.000339   0.0000000   0.000001
     0.5448     0.000229   0.0000000   0.000001
     0.5581     0.000212   0.0000000   0.000001
     0.5858     0.000186   0.0000000   0.000001
     0.6150     0.000169   0.0000000   0.000001
     0.6459     0.000151   0.0000000   0.000001
     0.6790     0.000135   0.0000000   0.000000
     0.7210     0.000116   0.0000000   0.000000
     0.7680     0.000100   0.0000000   0.000000
     0.8130     0.000085   0.0000000   0.000000
     0.8670     0.000073   0.0000000   0.000000
     0.9260     0.000066   0.0000000   0.000000
     1.0000     0.000058   0.0000000   0.000000
     1.0500     0.000056   0.0000000   0.000000
     1.1000     0.000057   0.0000000   0.000000
     1.1700     0.000052   0.0000000   0.000000
     1.2500     0.000048   0.0000000   0.000000
     1.3700     0.000048   0.0000000   0.000000
     1.5000     0.000050   0.0000000   0.000000
     1.6300     0.000055   0.0000000   0.000000
     1.7700     0.000053   0.0000000   0.000000
     1.9400     0.000054   0.0000000   0.000000
     2.1100     0.000048   0.0000000   0.000000
     2.3400     0.000052   0.0000000   0.000000
     2.5700     0.000048   0.0000000   0.000000
     2.7900     0.000271   0.0000000   0.000000
     3.0800     0.000804   0.0000000   0.000000
     3.4100     0.000440   0.0000000   0.000000
     3.7900     0.000175   0.0000000   0.000000
     4.0900     0.000105   0.0000000   0.000000
     4.3600     0.000438   0.0000000   0.000000
    SIZE INTERVAL   2
   WAVl        QEXT      W0      gf
     0.2563     0.005285   0.0000002   0.000011
     0.2795     0.003811   0.0000002   0.000009
     0.2965     0.002992   0.0000002   0.000008
     0.3186     0.002182   0.0000002   0.000007
     0.3355     0.001760   0.0000002   0.000007
     0.3650     0.001510   0.0000002   0.000006
     0.4200     0.000918   0.0000001   0.000004
     0.4950     0.000509   0.0000001   0.000003
     0.5448     0.000343   0.0000001   0.000002
     0.5581     0.000319   0.0000001   0.000002
     0.5858     0.000279   0.0000001   0.000001
     0.6150     0.000253   0.0000001   0.000001
     0.6459     0.000227   0.0000001   0.000001
     0.6790     0.000202   0.0000001   0.000001
     0.7210     0.000174   0.0000001   0.000001
     0.7680     0.000151   0.0000001   0.000001
     0.8130     0.000128   0.0000000   0.000001
     0.8670     0.000110   0.0000000   0.000001
     0.9260     0.000099   0.0000000   0.000001
     1.0000     0.000088   0.0000000   0.000000
     1.0500     0.000084   0.0000000   0.000000
     1.1000     0.000086   0.0000000   0.000000
     1.1700     0.000078   0.0000000   0.000000
     1.2500     0.000072   0.0000000   0.000000
     1.3700     0.000072   0.0000000   0.000000
     1.5000     0.000075   0.0000000   0.000000
     1.6300     0.000083   0.0000000   0.000000
     1.7700     0.000080   0.0000000   0.000000
     1.9400     0.000081   0.0000000   0.000000
     2.1100     0.000073   0.0000000   0.000000
     2.3400     0.000079   0.0000000   0.000000
     2.5700     0.000072   0.0000000   0.000000
     2.7900     0.000406   0.0000000   0.000000
     3.0800     0.001206   0.0000000   0.000000
