 HC AEROSOL PARAMETERS

    Z        AERSOL     RPART      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 9.916E-02 5.050E-05 1.040E-03 8.026E+08 6.970E+06 3.197E+10 4.094E+09
  1.250E+05 1.078E-01 5.050E-05 1.064E-03 7.696E+08 6.704E+06 2.932E+10 4.094E+09
  2.250E+05 1.392E-01 5.050E-05 1.090E-03 7.353E+08 6.429E+06 2.263E+10 4.094E+09
  3.250E+05 1.854E-01 5.050E-05 1.120E-03 7.003E+08 6.153E+06 1.690E+10 4.094E+09
  4.250E+05 2.417E-01 5.050E-05 1.155E-03 6.621E+08 5.851E+06 1.290E+10 4.094E+09
  5.250E+05 3.060E-01 5.050E-05 1.197E-03 6.205E+08 5.519E+06 1.012E+10 4.094E+09
  6.250E+05 3.762E-01 5.050E-05 1.245E-03 5.786E+08 5.189E+06 8.166E+09 4.094E+09
  7.250E+05 4.474E-01 5.050E-05 1.290E-03 5.463E+08 4.964E+06 6.778E+09 4.094E+09
  8.250E+05 5.211E-01 5.050E-05 1.338E-03 5.157E+08 4.760E+06 5.730E+09 4.094E+09
  9.250E+05 5.931E-01 5.050E-05 1.387E-03 4.891E+08 4.603E+06 4.939E+09 4.094E+09
  1.025E+06 6.738E-01 5.050E-05 1.431E-03 4.715E+08 5.690E+06 4.239E+09 4.094E+09
  1.125E+06 8.896E-01 5.050E-05 1.479E-03 4.549E+08 1.508E+07 3.118E+09 4.094E+09
  1.225E+06 1.487E+00 5.050E-05 1.528E-03 4.408E+08 2.670E+07 1.802E+09 4.094E+09
  1.325E+06 2.604E+00 5.050E-05 1.585E-03 4.268E+08 5.718E+07 9.888E+08 4.094E+09
  1.425E+06 4.521E+00 5.050E-05 1.651E-03 4.112E+08 7.949E+07 5.447E+08 4.094E+09
  1.525E+06 6.737E+00 5.050E-05 1.730E-03 3.940E+08 1.010E+08 3.476E+08 4.094E+09
  1.625E+06 9.120E+00 5.050E-05 1.823E-03 3.756E+08 1.173E+08 2.426E+08 4.094E+09
  1.725E+06 1.132E+01 5.050E-05 1.933E-03 3.561E+08 1.215E+08 1.835E+08 4.094E+09
  1.825E+06 1.314E+01 5.050E-05 2.064E-03 3.353E+08 1.228E+08 1.475E+08 4.094E+09
  1.925E+06 1.452E+01 5.050E-05 2.218E-03 3.135E+08 1.179E+08 1.237E+08 4.094E+09
  2.025E+06 1.536E+01 5.050E-05 2.400E-03 2.911E+08 1.060E+08 1.077E+08 4.094E+09
  2.125E+06 1.573E+01 5.050E-05 2.613E-03 2.683E+08 9.639E+07 9.639E+07 4.094E+09
  2.225E+06 1.615E+01 5.005E-05 2.803E-03 2.510E+08 8.532E+07 8.532E+07 3.987E+09
  2.325E+06 1.652E+01 4.939E-05 2.989E-03 2.360E+08 7.539E+07 7.539E+07 3.830E+09
  2.425E+06 1.681E+01 4.860E-05 3.181E-03 2.222E+08 6.662E+07 6.662E+07 3.649E+09
  2.525E+06 1.702E+01 4.775E-05 3.384E-03 2.092E+08 5.895E+07 5.895E+07 3.461E+09
  2.625E+06 1.698E+01 4.704E-05 3.636E-03 1.948E+08 5.282E+07 5.282E+07 3.308E+09
  2.725E+06 1.688E+01 4.630E-05 3.909E-03 1.812E+08 4.735E+07 4.735E+07 3.155E+09
  2.825E+06 1.700E+01 4.530E-05 4.146E-03 1.708E+08 4.180E+07 4.180E+07 2.956E+09
  2.925E+06 1.638E+01 4.493E-05 4.572E-03 1.548E+08 3.854E+07 3.854E+07 2.883E+09
  3.025E+06 1.600E+01 4.432E-05 4.978E-03 1.421E+08 3.498E+07 3.498E+07 2.767E+09
  3.125E+06 1.586E+01 4.346E-05 5.336E-03 1.325E+08 3.122E+07 3.122E+07 2.609E+09
  3.225E+06 1.526E+01 4.300E-05 5.878E-03 1.202E+08 2.870E+07 2.870E+07 2.527E+09
  3.325E+06 1.462E+01 4.254E-05 6.482E-03 1.092E+08 2.639E+07 2.639E+07 2.447E+09
  3.425E+06 1.411E+01 4.195E-05 7.088E-03 1.003E+08 2.405E+07 2.405E+07 2.347E+09
  3.525E+06 1.355E+01 4.144E-05 7.790E-03 9.143E+07 2.206E+07 2.206E+07 2.262E+09
  3.625E+06 1.346E+01 4.047E-05 8.281E-03 8.611E+07 1.956E+07 1.956E+07 2.107E+09
  3.725E+06 1.320E+01 3.966E-05 8.904E-03 8.017E+07 1.757E+07 1.757E+07 1.984E+09
  3.825E+06 1.281E+01 3.900E-05 9.670E-03 7.392E+07 1.597E+07 1.597E+07 1.886E+09
  3.925E+06 1.267E+01 3.810E-05 1.030E-02 6.947E+07 1.423E+07 1.423E+07 1.758E+09
  4.025E+06 1.239E+01 3.734E-05 1.109E-02 6.457E+07 1.283E+07 1.283E+07 1.655E+09
  4.125E+06 1.203E+01 3.668E-05 1.205E-02 5.951E+07 1.168E+07 1.168E+07 1.569E+09
  4.225E+06 1.184E+01 3.587E-05 1.292E-02 5.549E+07 1.049E+07 1.049E+07 1.468E+09
  4.325E+06 1.175E+01 3.497E-05 1.375E-02 5.211E+07 9.335E+06 9.335E+06 1.360E+09
  4.425E+06 1.173E+01 3.402E-05 1.459E-02 4.907E+07 8.268E+06 8.268E+06 1.252E+09
  4.525E+06 1.127E+01 3.351E-05 1.604E-02 4.460E+07 7.638E+06 7.638E+06 1.197E+09
  4.625E+06 1.132E+01 3.253E-05 1.699E-02 4.208E+07 6.727E+06 6.727E+06 1.094E+09
  4.725E+06 1.109E+01 3.180E-05 1.840E-02 3.886E+07 6.089E+06 6.089E+06 1.023E+09
  4.825E+06 1.077E+01 3.118E-05 2.010E-02 3.562E+07 5.571E+06 5.571E+06 9.635E+08
  4.925E+06 1.055E+01 3.046E-05 2.184E-02 3.288E+07 5.053E+06 5.053E+06 8.990E+08
  5.025E+06 1.021E+01 2.987E-05 2.394E-02 3.014E+07 4.650E+06 4.650E+06 8.471E+08
  5.125E+06 9.839E+00 2.932E-05 2.637E-02 2.751E+07 4.315E+06 4.315E+06 8.017E+08
  5.225E+06 9.553E+00 2.874E-05 2.898E-02 2.513E+07 3.996E+06 3.996E+06 7.551E+08
  5.325E+06 9.376E+00 2.809E-05 3.172E-02 2.303E+07 3.676E+06 3.676E+06 7.046E+08
  5.425E+06 9.336E+00 2.733E-05 3.453E-02 2.120E+07 3.349E+06 3.349E+06 6.488E+08
  5.525E+06 9.461E+00 2.644E-05 3.741E-02 1.958E+07 3.013E+06 3.013E+06 5.875E+08
  5.625E+06 9.795E+00 2.540E-05 4.038E-02 1.811E+07 2.675E+06 2.675E+06 5.212E+08
  5.725E+06 1.043E+01 2.419E-05 4.353E-02 1.673E+07 2.338E+06 2.338E+06 4.501E+08
  5.825E+06 1.151E+01 2.277E-05 4.704E-02 1.535E+07 2.012E+06 2.012E+06 3.754E+08
  5.925E+06 1.333E+01 2.110E-05 5.134E-02 1.390E+07 1.709E+06 1.709E+06 2.985E+08
  6.025E+06 1.661E+01 1.905E-05 5.728E-02 1.229E+07 1.441E+06 1.441E+06 2.199E+08
  6.125E+06 2.402E+01 1.636E-05 6.712E-02 1.033E+07 1.209E+06 1.209E+06 1.391E+08
  6.225E+06 4.909E+01 1.250E-05 8.976E-02 7.597E+06 1.009E+06 1.009E+06 6.204E+07
  6.325E+06 1.827E+02 7.798E-06 1.565E-01 4.270E+06 8.373E+05 8.373E+05 1.508E+07
  6.425E+06 6.936E+02 4.814E-06 2.698E-01 2.411E+06 6.866E+05 6.866E+05 3.546E+06
  6.525E+06 9.494E+02 4.181E-06 2.726E-01 2.291E+06 5.493E+05 5.493E+05 2.323E+06
  6.625E+06 1.373E+03 3.584E-06 2.746E-01 2.140E+06 4.229E+05 4.229E+05 1.464E+06
