 HC AEROSOL PARAMETERS

    Z        AERSOL     RPART      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 2.842E-02 1.300E-07 1.075E-06 7.146E+11 5.902E+06 9.386E+10 6.985E+01
  1.250E+05 2.908E-02 1.300E-07 1.218E-06 6.084E+11 5.496E+06 9.339E+10 6.985E+01
  2.250E+05 3.266E-02 1.300E-07 1.390E-06 5.227E+11 5.280E+06 8.397E+10 6.985E+01
  3.250E+05 3.815E-02 1.300E-07 1.592E-06 4.505E+11 5.141E+06 7.236E+10 6.985E+01
  4.250E+05 4.460E-02 1.300E-07 1.827E-06 3.911E+11 5.103E+06 6.200E+10 6.985E+01
  5.250E+05 5.169E-02 1.300E-07 2.098E-06 3.424E+11 5.162E+06 5.334E+10 6.985E+01
  6.250E+05 5.942E-02 1.300E-07 2.409E-06 3.013E+11 5.267E+06 4.617E+10 6.985E+01
  7.250E+05 6.790E-02 1.300E-07 2.762E-06 2.649E+11 5.354E+06 4.024E+10 6.985E+01
  8.250E+05 7.698E-02 1.300E-07 3.162E-06 2.325E+11 5.405E+06 3.541E+10 6.985E+01
  9.250E+05 8.625E-02 1.300E-07 3.618E-06 2.035E+11 5.423E+06 3.158E+10 6.985E+01
  1.025E+06 9.773E-02 1.300E-07 4.137E-06 1.777E+11 6.752E+06 2.789E+10 6.985E+01
  1.125E+06 1.280E-01 1.300E-07 4.730E-06 1.544E+11 1.779E+07 2.136E+10 6.985E+01
  1.225E+06 2.105E-01 1.300E-07 5.413E-06 1.340E+11 3.095E+07 1.303E+10 6.985E+01
  1.325E+06 3.629E-01 1.300E-07 6.202E-06 1.164E+11 6.519E+07 7.577E+09 6.985E+01
  1.425E+06 6.246E-01 1.300E-07 7.111E-06 1.014E+11 8.959E+07 4.407E+09 6.985E+01
  1.525E+06 9.333E-01 1.300E-07 8.156E-06 8.838E+10 1.129E+08 2.949E+09 6.985E+01
  1.625E+06 1.279E+00 1.300E-07 9.353E-06 7.693E+10 1.294E+08 2.154E+09 6.985E+01
  1.725E+06 1.618E+00 1.300E-07 1.073E-05 6.687E+10 1.319E+08 1.705E+09 6.985E+01
  1.825E+06 1.918E+00 1.300E-07 1.231E-05 5.807E+10 1.310E+08 1.442E+09 6.985E+01
  1.925E+06 2.166E+00 1.300E-07 1.413E-05 5.040E+10 1.237E+08 1.279E+09 6.985E+01
  2.025E+06 2.341E+00 1.300E-07 1.623E-05 4.373E+10 1.095E+08 1.185E+09 6.985E+01
  2.125E+06 2.445E+00 1.300E-07 1.865E-05 3.794E+10 9.811E+07 1.136E+09 6.985E+01
  2.225E+06 2.491E+00 1.300E-07 2.143E-05 3.290E+10 8.572E+07 1.117E+09 6.985E+01
  2.325E+06 2.487E+00 1.300E-07 2.465E-05 2.851E+10 7.481E+07 1.121E+09 6.985E+01
  2.425E+06 2.446E+00 1.300E-07 2.836E-05 2.468E+10 6.531E+07 1.142E+09 6.985E+01
  2.525E+06 2.377E+00 1.300E-07 3.264E-05 2.134E+10 5.709E+07 1.178E+09 6.985E+01
  2.625E+06 2.289E+00 1.300E-07 3.760E-05 1.843E+10 5.057E+07 1.226E+09 6.985E+01
  2.725E+06 2.187E+00 1.300E-07 4.334E-05 1.592E+10 4.494E+07 1.286E+09 6.985E+01
  2.825E+06 2.068E+00 1.300E-07 4.999E-05 1.380E+10 3.965E+07 1.361E+09 6.985E+01
  2.925E+06 1.943E+00 1.300E-07 5.767E-05 1.199E+10 3.678E+07 1.446E+09 6.985E+01
  3.025E+06 1.833E+00 1.300E-07 6.648E-05 1.037E+10 3.322E+07 1.536E+09 6.985E+01
  3.125E+06 1.723E+00 1.300E-07 7.668E-05 8.951E+09 2.945E+07 1.637E+09 6.985E+01
  3.225E+06 1.613E+00 1.300E-07 8.850E-05 7.732E+09 2.691E+07 1.752E+09 6.985E+01
  3.325E+06 1.506E+00 1.300E-07 1.022E-04 6.683E+09 2.454E+07 1.878E+09 6.985E+01
  3.425E+06 1.402E+00 1.300E-07 1.180E-04 5.779E+09 2.214E+07 2.019E+09 6.985E+01
  3.525E+06 1.303E+00 1.300E-07 1.363E-04 4.998E+09 2.018E+07 2.174E+09 6.985E+01
  3.625E+06 1.207E+00 1.300E-07 1.574E-04 4.323E+09 1.782E+07 2.346E+09 6.985E+01
  3.725E+06 1.117E+00 1.300E-07 1.819E-04 3.737E+09 1.593E+07 2.539E+09 6.985E+01
  3.825E+06 1.031E+00 1.300E-07 2.102E-04 3.228E+09 1.438E+07 2.751E+09 6.985E+01
  3.925E+06 9.509E-01 1.300E-07 2.429E-04 2.787E+09 1.272E+07 2.987E+09 6.985E+01
  4.025E+06 8.745E-01 1.300E-07 2.808E-04 2.406E+09 1.141E+07 3.251E+09 6.985E+01
  4.125E+06 8.004E-01 1.300E-07 3.247E-04 2.085E+09 1.042E+07 3.548E+09 6.985E+01
  4.225E+06 7.285E-01 1.300E-07 3.754E-04 1.818E+09 9.503E+06 3.883E+09 6.985E+01
  4.325E+06 6.639E-01 1.300E-07 4.334E-04 1.586E+09 8.584E+06 4.247E+09 6.985E+01
  4.425E+06 6.060E-01 1.300E-07 4.999E-04 1.381E+09 7.682E+06 4.642E+09 6.985E+01
  4.525E+06 5.527E-01 1.300E-07 5.762E-04 1.204E+09 7.187E+06 5.075E+09 6.985E+01
  4.625E+06 5.044E-01 1.300E-07 6.637E-04 1.051E+09 6.403E+06 5.547E+09 6.985E+01
