 HC AEROSOL PARAMETERS

    Z        AERSOL     RPARs      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 8.824E-02 1.300E-07 1.075E-06 7.146E+11 5.902E+06 3.023E+10 6.985E+01
  1.250E+05 8.799E-02 1.300E-07 1.218E-06 6.084E+11 5.496E+06 3.086E+10 6.985E+01
  2.250E+05 9.345E-02 1.300E-07 1.390E-06 5.227E+11 5.280E+06 2.934E+10 6.985E+01
  3.250E+05 1.025E-01 1.300E-07 1.592E-06 4.505E+11 5.141E+06 2.692E+10 6.985E+01
  4.250E+05 1.131E-01 1.300E-07 1.827E-06 3.911E+11 5.103E+06 2.444E+10 6.985E+01
  5.250E+05 1.247E-01 1.300E-07 2.098E-06 3.424E+11 5.162E+06 2.211E+10 6.985E+01
  6.250E+05 1.372E-01 1.300E-07 2.409E-06 3.013E+11 5.267E+06 1.999E+10 6.985E+01
  7.250E+05 1.506E-01 1.300E-07 2.762E-06 2.649E+11 5.354E+06 1.815E+10 6.985E+01
  8.250E+05 1.639E-01 1.300E-07 3.162E-06 2.325E+11 5.405E+06 1.663E+10 6.985E+01
  9.250E+05 1.761E-01 1.300E-07 3.618E-06 2.035E+11 5.423E+06 1.547E+10 6.985E+01
  1.025E+06 1.901E-01 1.300E-07 4.137E-06 1.777E+11 6.752E+06 1.434E+10 6.985E+01
  1.125E+06 2.303E-01 1.300E-07 4.730E-06 1.544E+11 1.779E+07 1.187E+10 6.985E+01
  1.225E+06 3.382E-01 1.300E-07 5.413E-06 1.340E+11 3.095E+07 8.113E+09 6.985E+01
  1.325E+06 5.263E-01 1.300E-07 6.202E-06 1.164E+11 6.519E+07 5.225E+09 6.985E+01
  1.425E+06 8.353E-01 1.300E-07 7.111E-06 1.014E+11 8.959E+07 3.295E+09 6.985E+01
  1.525E+06 1.186E+00 1.300E-07 8.156E-06 8.838E+10 1.129E+08 2.322E+09 6.985E+01
  1.625E+06 1.569E+00 1.300E-07 9.353E-06 7.693E+10 1.294E+08 1.755E+09 6.985E+01
  1.725E+06 1.940E+00 1.300E-07 1.073E-05 6.687E+10 1.319E+08 1.422E+09 6.985E+01
  1.825E+06 2.265E+00 1.300E-07 1.231E-05 5.807E+10 1.310E+08 1.220E+09 6.985E+01
  1.925E+06 2.533E+00 1.300E-07 1.413E-05 5.040E+10 1.237E+08 1.093E+09 6.985E+01
  2.025E+06 2.720E+00 1.300E-07 1.623E-05 4.373E+10 1.095E+08 1.020E+09 6.985E+01
  2.125E+06 2.828E+00 1.300E-07 1.865E-05 3.794E+10 9.811E+07 9.826E+08 6.985E+01
  2.225E+06 2.871E+00 1.300E-07 2.143E-05 3.290E+10 8.572E+07 9.694E+08 6.985E+01
  2.325E+06 2.859E+00 1.300E-07 2.465E-05 2.851E+10 7.481E+07 9.752E+08 6.985E+01
  2.425E+06 2.805E+00 1.300E-07 2.836E-05 2.468E+10 6.531E+07 9.957E+08 6.985E+01
  2.525E+06 2.722E+00 1.300E-07 3.264E-05 2.134E+10 5.709E+07 1.029E+09 6.985E+01
  2.625E+06 2.618E+00 1.300E-07 3.760E-05 1.843E+10 5.057E+07 1.072E+09 6.985E+01
  2.725E+06 2.498E+00 1.300E-07 4.334E-05 1.592E+10 4.494E+07 1.126E+09 6.985E+01
  2.825E+06 2.360E+00 1.300E-07 4.999E-05 1.380E+10 3.965E+07 1.192E+09 6.985E+01
  2.925E+06 2.216E+00 1.300E-07 5.767E-05 1.199E+10 3.678E+07 1.268E+09 6.985E+01
  3.025E+06 2.088E+00 1.300E-07 6.648E-05 1.037E+10 3.322E+07 1.348E+09 6.985E+01
  3.125E+06 1.962E+00 1.300E-07 7.668E-05 8.951E+09 2.945E+07 1.438E+09 6.985E+01
  3.225E+06 1.835E+00 1.300E-07 8.850E-05 7.732E+09 2.691E+07 1.539E+09 6.985E+01
  3.325E+06 1.712E+00 1.300E-07 1.022E-04 6.683E+09 2.454E+07 1.651E+09 6.985E+01
  3.425E+06 1.594E+00 1.300E-07 1.180E-04 5.779E+09 2.214E+07 1.776E+09 6.985E+01
  3.525E+06 1.480E+00 1.300E-07 1.363E-04 4.998E+09 2.018E+07 1.913E+09 6.985E+01
  3.625E+06 1.371E+00 1.300E-07 1.574E-04 4.323E+09 1.782E+07 2.066E+09 6.985E+01
  3.725E+06 1.268E+00 1.300E-07 1.819E-04 3.737E+09 1.593E+07 2.236E+09 6.985E+01
  3.825E+06 1.170E+00 1.300E-07 2.102E-04 3.228E+09 1.438E+07 2.424E+09 6.985E+01
  3.925E+06 1.079E+00 1.300E-07 2.429E-04 2.787E+09 1.272E+07 2.633E+09 6.985E+01
  4.025E+06 9.919E-01 1.300E-07 2.808E-04 2.406E+09 1.141E+07 2.867E+09 6.985E+01
  4.125E+06 9.076E-01 1.300E-07 3.247E-04 2.085E+09 1.042E+07 3.129E+09 6.985E+01
  4.225E+06 8.259E-01 1.300E-07 3.754E-04 1.818E+09 9.503E+06 3.425E+09 6.985E+01
  4.325E+06 7.525E-01 1.300E-07 4.334E-04 1.586E+09 8.584E+06 3.747E+09 6.985E+01
  4.425E+06 6.867E-01 1.300E-07 4.999E-04 1.381E+09 7.682E+06 4.097E+09 6.985E+01
  4.525E+06 6.262E-01 1.300E-07 5.762E-04 1.204E+09 7.187E+06 4.480E+09 6.985E+01
  4.625E+06 5.713E-01 1.300E-07 6.637E-04 1.051E+09 6.403E+06 4.897E+09 6.985E+01
  4.725E+06 5.214E-01 1.300E-07 7.638E-04 9.174E+08 5.845E+06 5.354E+09 6.985E+01
  4.825E+06 4.762E-01 1.300E-07 8.785E-04 8.010E+08 5.382E+06 5.851E+09 6.985E+01
  4.925E+06 4.350E-01 1.300E-07 1.010E-03 6.997E+08 4.894E+06 6.391E+09 6.985E+01
  5.025E+06 3.975E-01 1.300E-07 1.160E-03 6.115E+08 4.492E+06 6.980E+09 6.985E+01
  5.125E+06 3.635E-01 1.300E-07 1.332E-03 5.347E+08 4.155E+06 7.619E+09 6.985E+01
  5.225E+06 3.327E-01 1.300E-07 1.528E-03 4.676E+08 3.844E+06 8.310E+09 6.985E+01
  5.325E+06 3.048E-01 1.300E-07 1.752E-03 4.090E+08 3.538E+06 9.056E+09 6.985E+01
  5.425E+06 2.794E-01 1.300E-07 2.008E-03 3.578E+08 3.227E+06 9.866E+09 6.985E+01
  5.525E+06 2.562E-01 1.300E-07 2.301E-03 3.128E+08 2.910E+06 1.075E+10 6.985E+01
  5.625E+06 2.349E-01 1.300E-07 2.636E-03 2.734E+08 2.596E+06 1.172E+10 6.985E+01
  5.725E+06 2.150E-01 1.300E-07 3.018E-03 2.390E+08 2.295E+06 1.280E+10 6.985E+01
  5.825E+06 1.964E-01 1.300E-07 3.456E-03 2.090E+08 2.012E+06 1.400E+10 6.985E+01
  5.925E+06 1.792E-01 1.300E-07 3.956E-03 1.826E+08 1.752E+06 1.534E+10 6.985E+01
  6.025E+06 1.632E-01 1.300E-07 4.528E-03 1.596E+08 1.517E+06 1.684E+10 6.985E+01
  6.125E+06 1.485E-01 1.300E-07 5.182E-03 1.393E+08 1.310E+06 1.852E+10 6.985E+01
  6.225E+06 1.348E-01 1.300E-07 5.930E-03 1.216E+08 1.129E+06 2.041E+10 6.985E+01
  6.325E+06 1.222E-01 1.300E-07 6.788E-03 1.061E+08 9.734E+05 2.253E+10 6.985E+01
  6.425E+06 1.106E-01 1.300E-07 7.770E-03 9.258E+07 8.401E+05 2.491E+10 6.985E+01
  6.525E+06 1.000E-01 1.300E-07 8.895E-03 8.068E+07 7.255E+05 2.758E+10 6.985E+01
  6.625E+06 9.053E-02 1.300E-07 1.018E-02 7.012E+07 6.251E+05 3.055E+10 6.985E+01
  6.725E+06 8.224E-02 1.300E-07 1.167E-02 6.056E+07 5.338E+05 3.381E+10 6.985E+01
  6.825E+06 7.533E-02 1.300E-07 1.338E-02 5.164E+07 4.772E+05 3.733E+10 6.985E+01
  6.925E+06 6.985E-02 1.300E-07 1.540E-02 4.324E+07 4.433E+05 4.100E+10 6.985E+01
  7.025E+06 6.646E-02 1.300E-07 1.786E-02 3.481E+07 3.866E+05 4.459E+10 6.985E+01
  7.125E+06 5.927E-02 1.300E-07 2.090E-02 2.954E+07 3.812E+05 5.018E+10 6.985E+01
  7.225E+06 5.270E-02 1.300E-07 2.446E-02 2.524E+07 3.812E+05 5.643E+10 6.985E+01
  7.325E+06 4.709E-02 1.300E-07 2.863E-02 2.156E+07 3.812E+05 6.316E+10 6.985E+01
  7.425E+06 4.228E-02 1.300E-07 3.351E-02 1.842E+07 3.812E+05 7.034E+10 6.985E+01
  7.525E+06 3.818E-02 1.300E-07 3.922E-02 1.574E+07 3.812E+05 7.790E+10 6.985E+01
  7.625E+06 3.466E-02 1.300E-07 4.589E-02 1.345E+07 3.812E+05 8.581E+10 6.985E+01
  7.725E+06 3.165E-02 1.300E-07 5.370E-02 1.150E+07 3.812E+05 9.397E+10 6.985E+01
  7.825E+06 2.906E-02 1.300E-07 6.284E-02 9.825E+06 3.812E+05 1.023E+11 6.985E+01
  7.925E+06 2.684E-02 1.300E-07 7.353E-02 8.397E+06 3.812E+05 1.108E+11 6.985E+01
  8.025E+06 2.493E-02 1.300E-07 8.603E-02 7.177E+06 3.812E+05 1.193E+11 6.985E+01
  8.125E+06 2.328E-02 1.300E-07 1.006E-01 6.135E+06 3.812E+05 1.278E+11 6.985E+01
  8.225E+06 2.183E-02 1.300E-07 1.177E-01 5.244E+06 3.812E+05 1.362E+11 6.985E+01
  8.325E+06 2.055E-02 1.300E-07 1.377E-01 4.482E+06 3.812E+05 1.447E+11 6.985E+01
  8.425E+06 1.937E-02 1.300E-07 1.611E-01 3.832E+06 3.812E+05 1.535E+11 6.985E+01
  8.525E+06 1.820E-02 1.300E-07 1.885E-01 3.276E+06 3.812E+05 1.635E+11 6.985E+01
  8.625E+06 1.688E-02 1.300E-07 2.204E-01 2.801E+06 3.812E+05 1.762E+11 6.985E+01
  8.725E+06 1.533E-02 1.300E-07 2.578E-01 2.395E+06 3.812E+05 1.940E+11 6.985E+01
  8.825E+06 1.355E-02 1.300E-07 3.016E-01 2.047E+06 3.812E+05 2.195E+11 6.985E+01
  8.925E+06 1.166E-02 1.300E-07 3.527E-01 1.751E+06 3.812E+05 2.551E+11 6.985E+01
  9.025E+06 9.815E-03 1.300E-07 4.124E-01 1.497E+06 3.812E+05 3.030E+11 6.985E+01
  9.125E+06 8.130E-03 1.300E-07 4.823E-01 1.280E+06 3.812E+05 3.658E+11 6.985E+01
  9.225E+06 6.648E-03 1.300E-07 5.639E-01 1.095E+06 3.812E+05 4.474E+11 6.985E+01
  9.325E+06 5.374E-03 1.300E-07 6.594E-01 9.364E+05 3.812E+05 5.534E+11 6.985E+01
  9.425E+06 4.295E-03 1.300E-07 7.710E-01 8.008E+05 3.812E+05 6.924E+11 6.985E+01
  9.525E+06 3.390E-03 1.300E-07 9.014E-01 6.850E+05 3.812E+05 8.773E+11 6.985E+01
  9.625E+06 2.639E-03 1.300E-07 1.054E+00 5.859E+05 3.812E+05 1.127E+12 6.985E+01
  9.725E+06 2.022E-03 1.300E-07 1.232E+00 5.012E+05 3.812E+05 1.471E+12 6.985E+01
  9.825E+06 1.520E-03 1.300E-07 1.440E+00 4.287E+05 3.812E+05 1.956E+12 6.985E+01
  9.925E+06 1.120E-03 1.300E-07 1.683E+00 3.668E+05 3.812E+05 2.656E+12 6.985E+01
