 HC AEROSOL PARAMETERS

    Z        AERSOL     RPARs      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 1.006E-01 5.165E-05 1.103E-03 7.572E+08 6.970E+06 3.153E+10 4.382E+09
  1.250E+05 1.094E-01 5.165E-05 1.127E-03 7.262E+08 6.704E+06 2.892E+10 4.382E+09
  2.250E+05 1.412E-01 5.165E-05 1.156E-03 6.939E+08 6.429E+06 2.232E+10 4.382E+09
  3.250E+05 1.882E-01 5.165E-05 1.187E-03 6.608E+08 6.153E+06 1.667E+10 4.382E+09
  4.250E+05 2.453E-01 5.165E-05 1.224E-03 6.249E+08 5.851E+06 1.272E+10 4.382E+09
  5.250E+05 3.105E-01 5.165E-05 1.268E-03 5.857E+08 5.519E+06 9.987E+09 4.382E+09
  6.250E+05 3.817E-01 5.165E-05 1.319E-03 5.461E+08 5.189E+06 8.058E+09 4.382E+09
  7.250E+05 4.540E-01 5.165E-05 1.366E-03 5.158E+08 4.964E+06 6.690E+09 4.382E+09
  8.250E+05 5.287E-01 5.165E-05 1.417E-03 4.870E+08 4.760E+06 5.656E+09 4.382E+09
  9.250E+05 6.017E-01 5.165E-05 1.469E-03 4.619E+08 4.603E+06 4.876E+09 4.382E+09
  1.025E+06 6.836E-01 5.165E-05 1.515E-03 4.453E+08 5.690E+06 4.186E+09 4.382E+09
  1.125E+06 9.025E-01 5.165E-05 1.565E-03 4.297E+08 1.508E+07 3.080E+09 4.382E+09
  1.225E+06 1.508E+00 5.165E-05 1.617E-03 4.166E+08 2.670E+07 1.781E+09 4.382E+09
  1.325E+06 2.641E+00 5.165E-05 1.676E-03 4.035E+08 5.718E+07 9.778E+08 4.382E+09
  1.425E+06 4.581E+00 5.165E-05 1.746E-03 3.888E+08 7.949E+07 5.391E+08 4.382E+09
  1.525E+06 6.821E+00 5.165E-05 1.829E-03 3.727E+08 1.010E+08 3.445E+08 4.382E+09
  1.625E+06 9.225E+00 5.165E-05 1.927E-03 3.555E+08 1.173E+08 2.408E+08 4.382E+09
  1.725E+06 1.144E+01 5.165E-05 2.042E-03 3.371E+08 1.215E+08 1.824E+08 4.382E+09
  1.825E+06 1.326E+01 5.165E-05 2.179E-03 3.176E+08 1.228E+08 1.469E+08 4.382E+09
  1.925E+06 1.463E+01 5.165E-05 2.341E-03 2.971E+08 1.179E+08 1.234E+08 4.382E+09
  2.025E+06 1.547E+01 5.165E-05 2.531E-03 2.759E+08 1.060E+08 1.076E+08 4.382E+09
  2.125E+06 1.582E+01 5.165E-05 2.755E-03 2.545E+08 9.639E+07 9.639E+07 4.382E+09
  2.225E+06 1.625E+01 5.118E-05 2.955E-03 2.381E+08 8.532E+07 8.532E+07 4.263E+09
  2.325E+06 1.661E+01 5.049E-05 3.153E-03 2.237E+08 7.539E+07 7.539E+07 4.093E+09
  2.425E+06 1.690E+01 4.968E-05 3.359E-03 2.104E+08 6.662E+07 6.662E+07 3.899E+09
  2.525E+06 1.710E+01 4.881E-05 3.579E-03 1.978E+08 5.895E+07 5.895E+07 3.697E+09
  2.625E+06 1.705E+01 4.808E-05 3.849E-03 1.840E+08 5.282E+07 5.282E+07 3.533E+09
  2.725E+06 1.695E+01 4.732E-05 4.143E-03 1.710E+08 4.735E+07 4.735E+07 3.368E+09
  2.825E+06 1.705E+01 4.630E-05 4.401E-03 1.609E+08 4.180E+07 4.180E+07 3.156E+09
  2.925E+06 1.644E+01 4.591E-05 4.854E-03 1.458E+08 3.854E+07 3.854E+07 3.077E+09
  3.025E+06 1.605E+01 4.528E-05 5.288E-03 1.337E+08 3.498E+07 3.498E+07 2.953E+09
  3.125E+06 1.590E+01 4.440E-05 5.675E-03 1.246E+08 3.122E+07 3.122E+07 2.783E+09
