     ALT          P          T          FH2O           O3           THEAT        TCOOL        PSATCO2        FCO2
       NaN  1.0765E-04        NaN    4.0000E-06    9.0000E-07           NaN           NaN           NaN    3.3000E-04
       NaN  1.2468E-04        NaN    4.0000E-06    9.0000E-07           NaN           NaN           NaN    3.3000E-04
       NaN  1.4424E-04        NaN    4.0000E-06    9.0000E-07           NaN           NaN           NaN    3.3000E-04
       NaN  1.6668E-04        NaN    4.0000E-06    9.0000E-07           NaN           NaN           NaN    3.3000E-04
       NaN  1.9241E-04        NaN    4.0000E-06    9.0000E-07           NaN           NaN           NaN    3.3000E-04
       NaN  2.2185E-04        NaN    4.0000E-06    9.0000E-07           NaN           NaN           NaN    3.3000E-04
       NaN  2.5552E-04        NaN    4.0000E-06    9.0000E-07           NaN           NaN           NaN    3.3000E-04
       NaN  2.9397E-04        NaN    4.0000E-06    9.0000E-07           NaN           NaN           NaN    3.3000E-04
       NaN  3.3782E-04        NaN    4.0000E-06    9.6311E-07           NaN           NaN           NaN    3.3000E-04
       NaN  3.8779E-04        NaN    4.0000E-06    1.0949E-06           NaN           NaN           NaN    3.3000E-04
       NaN  4.4465E-04        NaN    4.0000E-06    1.2256E-06           NaN           NaN           NaN    3.3000E-04
       NaN  5.0928E-04        NaN    4.0000E-06    1.3553E-06           NaN           NaN           NaN    3.3000E-04
       NaN  5.8266E-04        NaN    4.0000E-06    1.4839E-06           NaN           NaN           NaN    3.3000E-04
       NaN  6.6587E-04        NaN    4.0000E-06    1.6115E-06           NaN           NaN           NaN    3.3000E-04
       NaN  7.6011E-04        NaN    4.0000E-06    1.7379E-06           NaN           NaN           NaN    3.3000E-04
       NaN  8.6673E-04        NaN    4.0000E-06    1.8633E-06           NaN           NaN           NaN    3.3000E-04
       NaN  9.8719E-04        NaN    4.0000E-06    1.9877E-06           NaN           NaN           NaN    3.3000E-04
       NaN  1.1232E-03        NaN    4.0000E-06    2.3026E-06           NaN           NaN           NaN    3.3000E-04
       NaN  1.2764E-03        NaN    4.0000E-06    2.6360E-06           NaN           NaN           NaN    3.3000E-04
       NaN  1.4490E-03        NaN    4.0000E-06    2.9664E-06           NaN           NaN           NaN    3.3000E-04
       NaN  1.6430E-03        NaN    4.0000E-06    3.2939E-06           NaN           NaN           NaN    3.3000E-04
       NaN  1.8610E-03        NaN    4.0000E-06    3.6185E-06           NaN           NaN           NaN    3.3000E-04
       NaN  2.1056E-03        NaN    4.0000E-06    3.9402E-06           NaN           NaN           NaN    3.3000E-04
       NaN  2.3796E-03        NaN    4.0000E-06    4.2590E-06           NaN           NaN           NaN    3.3000E-04
       NaN  2.6863E-03        NaN    4.0000E-06    4.5749E-06           NaN           NaN           NaN    3.3000E-04
       NaN  3.0292E-03        NaN    4.0000E-06    4.8879E-06           NaN           NaN           NaN    3.3000E-04
       NaN  3.4120E-03        NaN    4.0000E-06    5.0660E-06           NaN           NaN           NaN    3.3000E-04
       NaN  3.8389E-03        NaN    4.0000E-06    5.1684E-06           NaN           NaN           NaN    3.3000E-04
       NaN  4.3144E-03        NaN    4.0000E-06    5.2698E-06           NaN           NaN           NaN    3.3000E-04
       NaN  4.8435E-03        NaN    4.0000E-06    5.3703E-06           NaN           NaN           NaN    3.3000E-04
       NaN  5.4313E-03        NaN    4.0000E-06    5.4698E-06           NaN           NaN           NaN    3.3000E-04
       NaN  6.0837E-03        NaN    4.0000E-06    5.5683E-06           NaN           NaN           NaN    3.3000E-04
       NaN  6.8069E-03        NaN    4.0000E-06    5.6659E-06           NaN           NaN           NaN    3.3000E-04
       NaN  7.6076E-03        NaN    4.0000E-06    5.7625E-06           NaN           NaN           NaN    3.3000E-04
       NaN  8.4930E-03        NaN    4.0000E-06    5.8581E-06           NaN           NaN           NaN    3.3000E-04
       NaN  9.4708E-03        NaN    4.0000E-06    5.9528E-06           NaN           NaN           NaN    3.3000E-04
       NaN  1.0550E-02        NaN    4.0000E-06    5.8745E-06           NaN           NaN           NaN    3.3000E-04
       NaN  1.1738E-02        NaN    4.0000E-06    5.6242E-06           NaN           NaN           NaN    3.3000E-04
       NaN  1.3046E-02        NaN    4.0000E-06    5.3764E-06           NaN           NaN           NaN    3.3000E-04
       NaN  1.4483E-02        NaN    4.0000E-06    5.1313E-06           NaN           NaN           NaN    3.3000E-04
       NaN  1.6061E-02        NaN    4.0000E-06    4.8888E-06           NaN           NaN           NaN    3.3000E-04
       NaN  1.7791E-02        NaN    4.0000E-06    4.6489E-06           NaN           NaN           NaN    3.3000E-04
       NaN  1.9686E-02        NaN    4.0000E-06    4.4116E-06           NaN           NaN           NaN    3.3000E-04
       NaN  2.1757E-02        NaN    4.0000E-06    4.1769E-06           NaN           NaN           NaN    3.3000E-04
       NaN  2.4021E-02        NaN    4.0000E-06    3.9448E-06           NaN           NaN           NaN    3.3000E-04
       NaN  2.6490E-02        NaN    4.0000E-06    3.7154E-06           NaN           NaN           NaN    3.3000E-04
       NaN  2.9180E-02        NaN    4.0000E-06    3.4885E-06           NaN           NaN           NaN    3.3000E-04
       NaN  3.2108E-02        NaN    4.0000E-06    3.2630E-06           NaN           NaN           NaN    3.3000E-04
       NaN  3.5290E-02        NaN    4.0000E-06    3.0332E-06           NaN           NaN           NaN    3.3000E-04
       NaN  3.8744E-02        NaN    4.0000E-06    2.8061E-06           NaN           NaN           NaN    3.3000E-04
       NaN  4.2489E-02        NaN    4.0000E-06    2.5816E-06           NaN           NaN           NaN    3.3000E-04
