 Wavelength intervals in 1/cm

 Int  Wavel  Waveu
  1     0.    40.
  2    40.   100.
  3   100.   160.
  4   160.   220.
  5   220.   280.
  6   280.   330.
  7   330.   380.
  8   380.   440.
  9   440.   495.
 10   495.   545.
 11   545.   617.
 12   617.   667.
 13   667.   720.
 14   720.   800.
 15   800.   875.
 16   875.   940.
 17   940.  1000.
 18  1000.  1065.
 19  1065.  1108.
 20  1108.  1200.
 21  1200.  1275.
 22  1275.  1350.
 23  1350.  1450.
 24  1450.  1550.
 25  1550.  1650.
 26  1650.  1750.
 27  1750.  1850.
 28  1850.  1950.
 29  1950.  2050.
 30  2050.  2200.
 31  2200.  2397.
 32  2397.  2494.
 33  2494.  2796.
 34  2796.  3087.
 35  3087.  3425.
 36  3425.  3760.
 37  3760.  4030.
 38  4030.  4540.
 39  4540.  4950.
 40  4950.  5370.
 41  5370.  5925.
 42  5925.  6390.
 43  6390.  6990.
 44  6990.  7650.
 45  7650.  8315.
 46  8315.  8850.
 47  8850.  9350.
 48  9350.  9650.
 49  9650. 10400.
 50 10400. 11220.
 51 11220. 11870.
 52 11870. 12790.
 53 12790. 13300.
 54 13300. 14470.
 55 14470. 15000.
