 HC AEROSOL PARAMETERS

    Z        AERSOL     RPART      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 0.000E-02 1.221E-06 1.721E-05 4.741E+10 6.656E+06 1.064E+10 9.185E+04
  1.250E+05 0.000E-02 1.221E-06 1.923E-05 4.136E+10 6.327E+06 9.566E+09 9.185E+04
  2.250E+05 0.000E-01 1.221E-06 2.158E-05 3.584E+10 5.985E+06 7.269E+09 9.185E+04
  3.250E+05 0.000E-01 1.221E-06 2.433E-05 3.084E+10 5.629E+06 5.369E+09 9.185E+04
  4.250E+05 0.000E-01 1.221E-06 2.756E-05 2.633E+10 5.263E+06 4.075E+09 9.185E+04
  5.250E+05 0.000E-01 1.221E-06 3.140E-05 2.227E+10 4.888E+06 3.203E+09 9.185E+04
  6.250E+05 0.000E-01 1.221E-06 3.601E-05 1.864E+10 4.508E+06 2.601E+09 9.185E+04
  7.250E+05 0.000E-01 1.221E-06 4.163E-05 1.542E+10 4.123E+06 2.173E+09 9.185E+04
  8.250E+05 0.000E-01 1.221E-06 4.856E-05 1.259E+10 3.738E+06 1.864E+09 9.185E+04
  9.250E+05 0.000E-01 1.221E-06 5.724E-05 1.012E+10 3.354E+06 1.641E+09 9.185E+04
  1.025E+06 0.000E-01 1.221E-06 6.834E-05 7.981E+09 3.719E+06 1.446E+09 9.185E+04
  1.125E+06 0.000E-01 1.221E-06 8.232E-05 6.415E+09 9.295E+06 1.127E+09 9.185E+04
  1.225E+06 0.000E+00 1.221E-06 9.895E-05 5.337E+09 1.640E+07 6.903E+08 9.185E+04
  1.325E+06 0.000E+00 1.221E-06 1.190E-04 4.437E+09 3.486E+07 3.956E+08 9.185E+04
  1.425E+06 0.000E+00 1.221E-06 1.432E-04 3.687E+09 4.808E+07 2.265E+08 9.185E+04
  1.525E+06 0.000E+00 1.221E-06 1.724E-04 3.064E+09 6.062E+07 1.509E+08 9.185E+04
  1.625E+06 0.000E+00 1.221E-06 2.075E-04 2.544E+09 6.971E+07 1.105E+08 9.185E+04
