#NUMBER OF AGES= 1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2696 1.6115E-02 1.6115E-02   0.00   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 4.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
   8  0.115435  3.5068  5.2516 -2.7705 16.9149 15.3581 13.7441 12.6373 11.1870  9.7741  9.2318  8.9911 12.5914 14.4149
   9  0.134258  3.5069  5.1848 -2.6376 16.5308 15.0094 13.4089 12.3044 10.8573  9.4423  8.9017  8.6592 12.2596 14.0692
  10  0.166915  3.5095  5.1090 -2.4571 15.9584 14.4926 12.9167 11.8255 10.3997  8.9971  8.4569  8.2146 11.7889 13.5623
  11  0.211039  3.5168  5.0532 -2.2702 15.2829 13.8826 12.3444 11.2843  9.9108  8.5482  8.0045  7.7664 11.2680 12.9742
  12  0.243238  3.5218  5.0195 -2.1550 14.8703 13.5056 11.9906 10.9498  9.6098  8.2727  7.7256  7.4906 10.9462 12.6116
  13  0.272596  3.5259  4.9932 -2.0626 14.5442 13.2042 11.7075 10.6821  9.3684  8.0522  7.5013  7.2690 10.6879 12.3222
  14  0.293124  3.5287  4.9752 -2.0020 14.3344 13.0083 11.5233 10.5076  9.2107  7.9079  7.3540  7.1235 10.5194 12.1341
  15  0.303548  3.5301  4.9643 -1.9704 14.2267 12.9075 11.4284 10.4173  9.1285  7.8322  7.2766  7.0470 10.4320 12.0373
  16  0.309905  3.5309  4.9565 -1.9504 14.1603 12.8451 11.3695 10.3611  9.0770  7.7842  7.2276  6.9984 10.3774 11.9773
  17  0.314347  3.5314  4.9505 -1.9361 14.1131 12.8008 11.3277 10.3211  9.0401  7.7498  7.1924  6.9636 10.3385 11.9347
  18  0.317573  3.5318  4.9458 -1.9253 14.0782 12.7680 11.2968 10.2914  9.0125  7.7240  7.1661  6.9375 10.3095 11.9030
  19  0.320114  3.5321  4.9416 -1.9165 14.0497 12.7412 11.2715 10.2672  8.9900  7.7027  7.1442  6.9159 10.2858 11.8773
  20  0.322566  3.5324  4.9372 -1.9074 14.0201 12.7135 11.2455 10.2422  8.9669  7.6810  7.1220  6.8939 10.2614 11.8505
  21  0.324477  3.5326  4.9327 -1.8998 13.9971 12.6921 11.2251 10.2223  8.9477  7.6622  7.1029  6.8749 10.2418 11.8296
  22  0.326653  3.5329  4.9297 -1.8927 13.9738 12.6700 11.2044 10.2024  8.9294  7.6452  7.0855  6.8575 10.2225 11.8084
  23  0.329588  3.5333  4.9267 -1.8843 13.9460 12.6437 11.1795 10.1787  8.9078  7.6251  7.0650  6.8373 10.1994 11.7831
  24  0.327124  3.5328  4.9288 -1.8903 13.9670 12.6640 11.1979 10.1955  8.9240  7.6391  7.0808  6.8525 10.2160 11.8021
  25  0.337347  3.5341  4.9213 -1.8638 13.8736 12.5775 11.1162 10.1172  8.8562  7.5770  7.0185  6.7906 10.1409 11.7185
  26  0.458007  3.5554  4.8243 -1.5503 12.7921 11.5210 10.1150  9.1756  8.0315  6.8519  6.2584  6.0419  9.2395 10.7160
  27  0.475551  3.5597  4.8066 -1.4996 12.6187 11.3456  9.9461  9.0166  7.8980  6.7374  6.1373  5.9232  9.0890 10.5498
  28  0.490822  3.5637  4.7913 -1.4547 12.4639 11.1871  9.7930  8.8732  7.7811  6.6369  6.0305  5.8191  8.9542 10.3993
  29  0.504045  3.5674  4.7786 -1.4153 12.3267 11.0453  9.6553  8.7448  7.6786  6.5497  5.9373  5.7288  8.8342 10.2648
  30  0.514610  3.5706  4.7684 -1.3831 12.2142 10.9281  9.5413  8.6384  7.5951  6.4792  5.8619  5.6561  8.7351 10.1536
  31  0.524429  3.5738  4.7593 -1.3529 12.1089 10.8173  9.4332  8.5376  7.5163  6.4132  5.7911  5.5885  8.6412 10.0491
  32  0.535525  3.5776  4.7492 -1.3189 11.9904 10.6911  9.3100  8.4225  7.4273  6.3393  5.7115  5.5130  8.5342  9.9304
  33  0.549897  3.5825  4.7366 -1.2749 11.8375 10.5266  9.1483  8.2714  7.3123  6.2443  5.6090  5.4164  8.3942  9.7755
  34  0.567224  3.5889  4.7217 -1.2211 11.6475 10.3211  8.9455  8.0817  7.1718  6.1298  5.4848  5.3008  8.2194  9.5824
  35  0.585760  3.5962  4.7065 -1.1629 11.4475 10.0983  8.7304  7.8814  7.0203  6.0046  5.3497  5.1771  8.0327  9.3797
