 T(K)  cp(J/molK)
 160.0   30.8
 170.0   31.1
 180.0   31.5
 190.0   31.9
 200.0   32.4
 210.0   32.8
 220.0   33.3
 230.0   33.8
 240.0   34.3
 250.0   34.8
 260.0   35.3
 270.0   35.8
 280.0   36.3
 290.0   36.8
 298.0   38.7
 299.0   38.7
 300.0   38.7
 301.0   38.8
 302.0   38.8
 303.0   38.8
 304.0   38.9
 305.0   38.9
 306.0   39.0
 307.0   39.0
 308.0   39.0
 309.0   39.1
 310.0   39.1
 311.0   39.1
 312.0   39.2
 313.0   39.2
 314.0   39.3
 315.0   39.3
 316.0   39.3
 317.0   39.4
 318.0   39.4
 319.0   39.4
 320.0   39.5
 321.0   39.5
 322.0   39.5
 323.0   39.6
 324.0   39.6
 325.0   39.6
 326.0   39.7
 327.0   39.7
 328.0   39.8
 329.0   39.8
 330.0   39.8
 331.0   39.9
 332.0   39.9
 333.0   39.9
 334.0   40.0
 335.0   40.0
 336.0   40.0
 337.0   40.1
 338.0   40.1
 339.0   40.1
 340.0   40.2
 341.0   40.2
 342.0   40.2
 343.0   40.3
 344.0   40.3
 345.0   40.4
 346.0   40.4
 347.0   40.4
 348.0   40.5
 349.0   40.5
 350.0   40.5
 351.0   40.6
 352.0   40.6
 353.0   40.6
 354.0   40.7
 355.0   40.7
 356.0   40.7
 357.0   40.8
 358.0   40.8
 359.0   40.8
 360.0   40.9
 361.0   40.9
 362.0   40.9
 363.0   41.0
 364.0   41.0
 365.0   41.0
 366.0   41.1
 367.0   41.1
 368.0   41.1
 369.0   41.2
 370.0   41.2
 371.0   41.2
 372.0   41.3
 373.0   41.3
 374.0   41.3
 375.0   41.4
 376.0   41.4
 377.0   41.4
 378.0   41.5
 379.0   41.5
 380.0   41.5
 381.0   41.6
 382.0   41.6
 383.0   41.6
 384.0   41.7
 385.0   41.7
 386.0   41.7
 387.0   41.8
 388.0   41.8
 389.0   41.8
 390.0   41.9
 391.0   41.9
 392.0   41.9
 393.0   42.0
 394.0   42.0
 395.0   42.0
 396.0   42.1
 397.0   42.1
 398.0   42.1
 399.0   42.2
 400.0   42.2
