 HC AEROSOL PARAMETERS

    Z        AERSOL     RPART      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 0.000E+00 6.339E-07 5.443E-06 1.507E+11 6.731E+06 8.704E+09 8.099E+03
  1.250E+05 0.000E+00 6.339E-07 6.099E-06 1.312E+11 6.399E+06 8.034E+09 8.099E+03
  2.250E+05 0.000E+00 6.339E-07 6.859E-06 1.134E+11 6.053E+06 6.260E+09 8.099E+03
  3.250E+05 0.000E+00 6.339E-07 7.746E-06 9.740E+10 5.693E+06 4.735E+09 8.099E+03
  4.250E+05 0.000E+00 6.339E-07 8.790E-06 8.300E+10 5.323E+06 3.674E+09 8.099E+03
  5.250E+05 0.000E+00 6.339E-07 1.003E-05 7.010E+10 4.944E+06 2.946E+09 8.099E+03
  6.250E+05 0.000E+00 6.339E-07 1.152E-05 5.862E+10 4.559E+06 2.436E+09 8.099E+03
  7.250E+05 0.000E+00 6.339E-07 1.333E-05 4.845E+10 4.170E+06 2.069E+09 8.099E+03
  8.250E+05 0.000E+00 6.339E-07 1.556E-05 3.952E+10 3.780E+06 1.800E+09 8.099E+03
  9.250E+05 0.000E+00 6.339E-07 1.835E-05 3.174E+10 3.392E+06 1.604E+09 8.099E+03
  1.025E+06 0.000E+00 6.339E-07 2.192E-05 2.502E+10 3.761E+06 1.429E+09 8.099E+03
  1.125E+06 0.000E+00 6.339E-07 2.642E-05 2.010E+10 9.401E+06 1.124E+09 8.099E+03
  1.225E+06 0.000E+00 6.339E-07 3.178E-05 1.671E+10 1.659E+07 6.940E+08 8.099E+03
  1.325E+06 0.000E+00 6.339E-07 3.823E-05 1.389E+10 3.525E+07 3.999E+08 8.099E+03
  1.425E+06 0.000E+00 6.339E-07 4.601E-05 1.154E+10 4.862E+07 2.297E+08 8.099E+03
  1.525E+06 0.000E+00 6.339E-07 5.537E-05 9.590E+09 6.131E+07 1.534E+08 8.099E+03
  1.625E+06 0.000E+00 6.339E-07 6.665E-05 7.968E+09 7.050E+07 1.123E+08 8.099E+03
  1.725E+06 0.000E+00 6.339E-07 8.023E-05 6.619E+09 7.231E+07 8.963E+07 8.099E+03
  1.825E+06 0.000E+00 6.339E-07 9.659E-05 5.498E+09 7.231E+07 7.658E+07 8.099E+03
  1.925E+06 0.000E+00 6.339E-07 1.163E-04 4.567E+09 6.878E+07 6.878E+07 8.099E+03
  2.025E+06 0.000E+00 6.204E-07 1.370E-04 3.876E+09 6.131E+07 6.131E+07 7.592E+03
  2.125E+06 0.000E+00 6.014E-07 1.599E-04 3.321E+09 5.530E+07 5.530E+07 6.917E+03
  2.225E+06 0.000E+00 5.712E-07 1.828E-04 2.904E+09 4.862E+07 4.862E+07 5.927E+03
  2.325E+06 0.000E+00 5.379E-07 2.073E-04 2.562E+09 4.273E+07 4.273E+07 4.948E+03
  2.425E+06 0.000E+00 5.035E-07 2.336E-04 2.273E+09 3.760E+07 3.760E+07 4.060E+03
  2.525E+06 0.000E+00 4.696E-07 2.623E-04 2.025E+09 3.318E+07 3.318E+07 3.293E+03
  2.625E+06 0.000E+00 4.389E-07 2.951E-04 1.800E+09 2.969E+07 2.969E+07 2.689E+03
  2.725E+06 0.000E+00 4.095E-07 3.314E-04 1.602E+09 2.661E+07 2.661E+07 2.183E+03
  2.825E+06 0.000E+00 3.789E-07 3.691E-04 1.439E+09 2.350E+07 2.350E+07 1.729E+03
  2.925E+06 0.000E+00 3.563E-07 4.178E-04 1.271E+09 2.169E+07 2.169E+07 1.438E+03
  3.025E+06 0.000E+00 3.329E-07 4.698E-04 1.130E+09 1.972E+07 1.972E+07 1.172E+03
  3.125E+06 0.000E+00 3.084E-07 5.240E-04 1.014E+09 1.763E+07 1.763E+07 9.329E+02
  3.225E+06 0.000E+00 2.888E-07 5.905E-04 8.993E+08 1.621E+07 1.621E+07 7.661E+02
  3.325E+06 0.000E+00 2.700E-07 6.643E-04 7.994E+08 1.484E+07 1.484E+07 6.257E+02
  3.425E+06 0.000E+00 2.510E-07 7.432E-04 7.145E+08 1.343E+07 1.343E+07 5.028E+02
  3.525E+06 0.000E+00 2.341E-07 8.341E-04 6.367E+08 1.226E+07 1.226E+07 4.079E+02
  3.625E+06 0.000E+00 2.154E-07 9.234E-04 5.751E+08 1.085E+07 1.085E+07 3.176E+02
  3.725E+06 0.000E+00 1.990E-07 1.026E-03 5.174E+08 9.725E+06 9.725E+06 2.505E+02
  3.825E+06 0.000E+00 1.845E-07 1.145E-03 4.637E+08 8.813E+06 8.813E+06 1.998E+02
  3.925E+06 0.000E+00 1.697E-07 1.267E-03 4.191E+08 7.834E+06 7.834E+06 1.554E+02
  4.025E+06 0.000E+00 1.567E-07 1.408E-03 3.772E+08 7.050E+06 7.050E+06 1.224E+02
  4.125E+06 0.000E+00 1.453E-07 1.570E-03 3.382E+08 6.410E+06 6.410E+06 9.756E+01
  4.225E+06 0.000E+00 1.340E-07 1.742E-03 3.048E+08 5.755E+06 5.755E+06 7.655E+01
  4.325E+06 0.000E+00 1.300E-07 2.032E-03 2.613E+08 5.128E+06 5.870E+06 6.985E+01
  4.425E+06 0.000E+00 1.300E-07 2.444E-03 2.173E+08 4.549E+06 6.476E+06 6.985E+01
  4.525E+06 0.000E+00 1.300E-07 2.940E-03 1.806E+08 4.209E+06 7.146E+06 6.985E+01
  4.625E+06 0.000E+00 1.300E-07 3.535E-03 1.502E+08 3.711E+06 7.889E+06 6.985E+01
  4.725E+06 0.000E+00 1.300E-07 4.251E-03 1.249E+08 3.357E+06 8.724E+06 6.985E+01
  4.825E+06 0.000E+00 1.300E-07 5.112E-03 1.039E+08 3.065E+06 9.645E+06 6.985E+01
  4.925E+06 0.000E+00 1.300E-07 6.147E-03 8.640E+07 2.765E+06 1.067E+07 6.985E+01
  5.025E+06 0.000E+00 1.300E-07 7.390E-03 7.186E+07 2.518E+06 1.180E+07 6.985E+01
  5.125E+06 0.000E+00 1.300E-07 8.885E-03 5.977E+07 2.312E+06 1.304E+07 6.985E+01
  5.225E+06 0.000E+00 1.300E-07 1.068E-02 4.972E+07 2.124E+06 1.441E+07 6.985E+01
  5.325E+06 0.000E+00 1.300E-07 1.284E-02 4.136E+07 1.942E+06 1.591E+07 6.985E+01
  5.425E+06 0.000E+00 1.300E-07 1.543E-02 3.441E+07 1.763E+06 1.758E+07 6.985E+01
  5.525E+06 0.000E+00 1.300E-07 1.855E-02 2.863E+07 1.584E+06 1.944E+07 6.985E+01
  5.625E+06 0.000E+00 1.300E-07 2.230E-02 2.382E+07 1.410E+06 2.154E+07 6.985E+01
  5.725E+06 0.000E+00 1.300E-07 2.680E-02 1.982E+07 1.243E+06 2.398E+07 6.985E+01
  5.825E+06 0.000E+00 1.300E-07 3.220E-02 1.649E+07 1.088E+06 2.691E+07 6.985E+01
  5.925E+06 0.000E+00 1.300E-07 3.870E-02 1.372E+07 9.464E+05 3.065E+07 6.985E+01
  6.025E+06 0.000E+00 1.300E-07 4.650E-02 1.142E+07 8.198E+05 3.570E+07 6.985E+01
  6.125E+06 0.000E+00 1.300E-07 5.588E-02 9.504E+06 7.086E+05 4.257E+07 6.985E+01
  6.225E+06 0.000E+00 1.300E-07 6.713E-02 7.910E+06 6.120E+05 5.155E+07 6.985E+01
  6.325E+06 0.000E+00 1.300E-07 8.066E-02 6.584E+06 5.289E+05 6.278E+07 6.985E+01
  6.425E+06 0.000E+00 1.300E-07 9.690E-02 5.481E+06 4.578E+05 7.657E+07 6.985E+01
  6.525E+06 0.000E+00 1.300E-07 1.164E-01 4.562E+06 3.972E+05 9.347E+07 6.985E+01
  6.625E+06 0.000E+00 1.300E-07 1.398E-01 3.798E+06 3.456E+05 1.142E+08 6.985E+01
  6.725E+06 0.000E+00 1.300E-07 1.679E-01 3.162E+06 3.017E+05 1.396E+08 6.985E+01
  6.825E+06 0.000E+00 1.300E-07 2.017E-01 2.633E+06 2.820E+05 1.708E+08 6.985E+01
  6.925E+06 0.000E+00 1.300E-07 2.423E-01 2.192E+06 2.820E+05 2.097E+08 6.985E+01
  7.025E+06 0.000E+00 1.300E-07 2.910E-01 1.825E+06 2.820E+05 2.587E+08 6.985E+01
  7.125E+06 0.000E+00 1.300E-07 3.494E-01 1.520E+06 2.820E+05 3.207E+08 6.985E+01
  7.225E+06 0.000E+00 1.300E-07 4.196E-01 1.266E+06 2.820E+05 4.001E+08 6.985E+01
  7.325E+06 0.000E+00 1.300E-07 5.038E-01 1.054E+06 2.820E+05 5.031E+08 6.985E+01
  7.425E+06 0.000E+00 1.300E-07 6.049E-01 8.780E+05 2.820E+05 6.383E+08 6.985E+01
  7.525E+06 0.000E+00 1.300E-07 7.262E-01 7.313E+05 2.820E+05 8.190E+08 6.985E+01
  7.625E+06 0.000E+00 1.300E-07 8.718E-01 6.091E+05 2.820E+05 1.065E+09 6.985E+01
  7.725E+06 0.000E+00 1.300E-07 1.047E+00 5.074E+05 2.820E+05 1.406E+09 6.985E+01
  7.825E+06 0.000E+00 1.300E-07 1.256E+00 4.227E+05 2.820E+05 1.894E+09 6.985E+01
  7.925E+06 0.000E+00 1.300E-07 1.508E+00 3.521E+05 2.820E+05 2.609E+09 6.985E+01
  8.025E+06 0.000E+00 1.300E-07 1.810E+00 2.934E+05 2.820E+05 3.695E+09 6.985E+01
  8.125E+06 0.000E+00 1.300E-07 2.172E+00 2.445E+05 2.820E+05 5.410E+09 6.985E+01
  8.225E+06 0.000E+00 1.300E-07 2.607E+00 2.037E+05 2.820E+05 8.241E+09 6.985E+01
  8.325E+06 0.000E+00 1.300E-07 3.129E+00 1.697E+05 2.820E+05 1.317E+10 6.985E+01
  8.425E+06 0.000E+00 1.300E-07 3.755E+00 1.414E+05 2.820E+05 2.229E+10 6.985E+01
  8.525E+06 0.000E+00 1.300E-07 4.505E+00 1.179E+05 2.820E+05 4.043E+10 6.985E+01
  8.625E+06 0.000E+00 1.300E-07 5.405E+00 9.824E+04 2.820E+05 7.971E+10 6.985E+01
  8.725E+06 0.000E+00 1.300E-07 6.485E+00 8.188E+04 2.820E+05 1.737E+11 6.985E+01
  8.825E+06 0.000E+00 1.300E-07 7.781E+00 6.825E+04 2.820E+05 4.277E+11 6.985E+01
