 HC AEROSOL PARAMETERS

    Z        AERSOL     RPARs      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 3.670E-11 1.300E-07 1.734E-06 4.877E+11 7.150E+06 5.515E+19 1.109E+02
  1.250E+05 4.060E-11 1.300E-07 1.935E-06 4.197E+11 6.597E+06 5.086E+19 1.109E+02
  2.250E+05 5.272E-11 1.300E-07 2.171E-06 3.570E+11 6.009E+06 4.009E+19 1.109E+02
  3.250E+05 6.827E-11 1.300E-07 2.453E-06 2.970E+11 5.310E+06 3.193E+19 1.109E+02
  4.250E+05 8.247E-11 1.300E-07 2.803E-06 2.405E+11 4.544E+06 2.748E+19 1.109E+02
  5.250E+05 9.494E-11 1.300E-07 3.259E-06 1.891E+11 3.796E+06 2.497E+19 1.109E+02
  6.250E+05 1.026E-10 1.300E-07 3.851E-06 1.523E+11 3.438E+06 2.368E+19 1.109E+02
  7.250E+05 1.073E-10 1.300E-07 4.560E-06 1.280E+11 3.409E+06 2.270E+19 1.109E+02
  8.250E+05 1.141E-10 1.300E-07 5.406E-06 1.072E+11 3.358E+06 2.142E+19 1.109E+02
  9.250E+05 1.220E-10 1.300E-07 6.418E-06 8.954E+10 3.303E+06 2.012E+19 1.109E+02
  1.025E+06 1.333E-10 1.300E-07 7.631E-06 7.475E+10 4.067E+06 1.848E+19 1.109E+02
  1.125E+06 1.706E-10 1.300E-07 9.084E-06 6.238E+10 1.070E+07 1.448E+19 1.109E+02
  1.225E+06 2.809E-10 1.300E-07 1.082E-05 5.209E+10 1.870E+07 8.820E+18 1.109E+02
  1.325E+06 4.899E-10 1.300E-07 1.290E-05 4.360E+10 3.956E+07 5.063E+18 1.109E+02
  1.425E+06 8.527E-10 1.300E-07 1.538E-05 3.661E+10 5.466E+07 2.907E+18 1.109E+02
  1.525E+06 1.277E-09 1.300E-07 1.832E-05 3.081E+10 6.930E+07 1.939E+18 1.109E+02
  1.625E+06 1.743E-09 1.300E-07 2.182E-05 2.594E+10 8.010E+07 1.418E+18 1.109E+02
  1.725E+06 2.189E-09 1.300E-07 2.597E-05 2.182E+10 8.233E+07 1.129E+18 1.109E+02
  1.825E+06 2.569E-09 1.300E-07 3.092E-05 1.832E+10 8.225E+07 9.619E+17 1.109E+02
  1.925E+06 2.874E-09 1.300E-07 3.682E-05 1.534E+10 7.785E+07 8.610E+17 1.109E+02
  2.025E+06 3.077E-09 1.300E-07 4.389E-05 1.280E+10 6.865E+07 8.063E+17 1.109E+02
  2.125E+06 3.187E-09 1.300E-07 5.239E-05 1.063E+10 6.081E+07 7.820E+17 1.109E+02
  2.225E+06 3.224E-09 1.300E-07 6.270E-05 8.762E+09 5.203E+07 7.785E+17 1.109E+02
  2.325E+06 3.197E-09 1.300E-07 7.529E-05 7.160E+09 4.403E+07 7.923E+17 1.109E+02
  2.425E+06 3.122E-09 1.300E-07 9.084E-05 5.797E+09 3.697E+07 8.211E+17 1.109E+02
  2.525E+06 3.004E-09 1.300E-07 1.102E-04 4.655E+09 3.095E+07 8.647E+17 1.109E+02
  2.625E+06 2.713E-09 1.300E-07 1.323E-04 4.015E+09 2.969E+07 9.409E+17 1.109E+02
  2.725E+06 2.531E-09 1.300E-07 1.593E-04 3.335E+09 2.661E+07 1.009E+18 1.109E+02
  2.825E+06 2.348E-09 1.300E-07 1.917E-04 2.770E+09 2.350E+07 1.087E+18 1.109E+02
  2.925E+06 2.172E-09 1.300E-07 2.308E-04 2.301E+09 2.169E+07 1.175E+18 1.109E+02
  3.025E+06 2.008E-09 1.300E-07 2.778E-04 1.912E+09 1.972E+07 1.271E+18 1.109E+02
  3.125E+06 1.851E-09 1.300E-07 3.343E-04 1.588E+09 1.763E+07 1.379E+18 1.109E+02
  3.225E+06 1.703E-09 1.300E-07 4.024E-04 1.320E+09 1.621E+07 1.499E+18 1.109E+02
  3.325E+06 1.566E-09 1.300E-07 4.843E-04 1.097E+09 1.484E+07 1.630E+18 1.109E+02
  3.425E+06 1.439E-09 1.300E-07 5.828E-04 9.112E+08 1.343E+07 1.774E+18 1.109E+02
  3.525E+06 1.320E-09 1.300E-07 7.013E-04 7.572E+08 1.226E+07 1.933E+18 1.109E+02
  3.625E+06 1.209E-09 1.300E-07 8.439E-04 6.293E+08 1.085E+07 2.111E+18 1.109E+02
  3.725E+06 1.104E-09 1.300E-07 1.015E-03 5.230E+08 9.725E+06 2.313E+18 1.109E+02
  3.825E+06 1.006E-09 1.300E-07 1.222E-03 4.347E+08 8.813E+06 2.536E+18 1.109E+02
  3.925E+06 9.160E-10 1.300E-07 1.470E-03 3.613E+08 7.834E+06 2.787E+18 1.109E+02
  4.025E+06 8.322E-10 1.300E-07 1.768E-03 3.004E+08 7.050E+06 3.067E+18 1.109E+02
  4.125E+06 7.556E-10 1.300E-07 2.127E-03 2.497E+08 6.410E+06 3.378E+18 1.109E+02
  4.225E+06 6.856E-10 1.300E-07 2.558E-03 2.076E+08 5.755E+06 3.723E+18 1.109E+02
  4.325E+06 6.211E-10 1.300E-07 3.077E-03 1.726E+08 5.128E+06 4.110E+18 1.109E+02
  4.425E+06 5.614E-10 1.300E-07 3.701E-03 1.435E+08 4.549E+06 4.546E+18 1.109E+02
  4.525E+06 5.075E-10 1.300E-07 4.451E-03 1.193E+08 4.209E+06 5.030E+18 1.109E+02
  4.625E+06 4.585E-10 1.300E-07 5.353E-03 9.921E+07 3.711E+06 5.567E+18 1.109E+02
  4.725E+06 4.136E-10 1.300E-07 6.437E-03 8.250E+07 3.357E+06 6.172E+18 1.109E+02
  4.825E+06 3.731E-10 1.300E-07 7.740E-03 6.861E+07 3.065E+06 6.841E+18 1.109E+02
  4.925E+06 3.366E-10 1.300E-07 9.307E-03 5.706E+07 2.765E+06 7.584E+18 1.109E+02
  5.025E+06 3.035E-10 1.300E-07 1.119E-02 4.746E+07 2.518E+06 8.410E+18 1.109E+02
  5.125E+06 2.738E-10 1.300E-07 1.345E-02 3.948E+07 2.312E+06 9.323E+18 1.109E+02
  5.225E+06 2.471E-10 1.300E-07 1.617E-02 3.284E+07 2.124E+06 1.033E+19 1.109E+02
  5.325E+06 2.230E-10 1.300E-07 1.944E-02 2.732E+07 1.942E+06 1.145E+19 1.109E+02
  5.425E+06 2.008E-10 1.300E-07 2.337E-02 2.273E+07 1.763E+06 1.271E+19 1.109E+02
  5.525E+06 1.790E-10 1.300E-07 2.809E-02 1.891E+07 1.584E+06 1.426E+19 1.109E+02
  5.625E+06 1.557E-10 1.300E-07 3.376E-02 1.573E+07 1.410E+06 1.639E+19 1.109E+02
  5.725E+06 1.311E-10 1.300E-07 4.057E-02 1.309E+07 1.243E+06 1.947E+19 1.109E+02
  5.825E+06 1.084E-10 1.300E-07 4.876E-02 1.089E+07 1.088E+06 2.354E+19 1.109E+02
  5.925E+06 8.917E-11 1.300E-07 5.859E-02 9.063E+06 9.464E+05 2.863E+19 1.109E+02
  6.025E+06 7.320E-11 1.300E-07 7.041E-02 7.542E+06 8.198E+05 3.487E+19 1.109E+02
  6.125E+06 6.002E-11 1.300E-07 8.460E-02 6.277E+06 7.086E+05 4.253E+19 1.109E+02
  6.225E+06 4.917E-11 1.300E-07 1.016E-01 5.225E+06 6.120E+05 5.191E+19 1.109E+02
  6.325E+06 4.025E-11 1.300E-07 1.221E-01 4.349E+06 5.289E+05 6.342E+19 1.109E+02
  6.425E+06 3.291E-11 1.300E-07 1.467E-01 3.620E+06 4.578E+05 7.756E+19 1.109E+02
  6.525E+06 2.689E-11 1.300E-07 1.762E-01 3.013E+06 3.972E+05 9.493E+19 1.109E+02
  6.625E+06 2.194E-11 1.300E-07 2.117E-01 2.508E+06 3.456E+05 1.163E+20 1.109E+02
  6.725E+06 1.789E-11 1.300E-07 2.543E-01 2.088E+06 3.017E+05 1.427E+20 1.109E+02
  6.825E+06 1.455E-11 1.300E-07 3.054E-01 1.739E+06 2.820E+05 1.754E+20 1.109E+02
  6.925E+06 1.179E-11 1.300E-07 3.668E-01 1.448E+06 2.820E+05 2.165E+20 1.109E+02
  7.025E+06 9.490E-12 1.300E-07 4.405E-01 1.206E+06 2.820E+05 2.690E+20 1.109E+02
  7.125E+06 7.584E-12 1.300E-07 5.290E-01 1.004E+06 2.820E+05 3.366E+20 1.109E+02
  7.225E+06 6.007E-12 1.300E-07 6.352E-01 8.360E+05 2.820E+05 4.249E+20 1.109E+02
  7.325E+06 4.706E-12 1.300E-07 7.628E-01 6.962E+05 2.820E+05 5.423E+20 1.109E+02
  7.425E+06 3.640E-12 1.300E-07 9.158E-01 5.799E+05 2.820E+05 7.012E+20 1.109E+02
  7.525E+06 2.772E-12 1.300E-07 1.100E+00 4.830E+05 2.820E+05 9.208E+20 1.109E+02
  7.625E+06 2.072E-12 1.300E-07 1.320E+00 4.023E+05 2.820E+05 1.232E+21 1.109E+02
  7.725E+06 1.515E-12 1.300E-07 1.585E+00 3.351E+05 2.820E+05 1.685E+21 1.109E+02
  7.825E+06 1.079E-12 1.300E-07 1.902E+00 2.792E+05 2.820E+05 2.366E+21 1.109E+02
  7.925E+06 7.447E-13 1.300E-07 2.283E+00 2.326E+05 2.820E+05 3.428E+21 1.109E+02
  8.025E+06 4.957E-13 1.300E-07 2.741E+00 1.938E+05 2.820E+05 5.149E+21 1.109E+02
  8.125E+06 3.164E-13 1.300E-07 3.289E+00 1.615E+05 2.820E+05 8.067E+21 1.109E+02
  8.225E+06 1.926E-13 1.300E-07 3.947E+00 1.345E+05 2.820E+05 1.325E+22 1.109E+02
  8.325E+06 1.114E-13 1.300E-07 4.737E+00 1.121E+05 2.820E+05 2.291E+22 1.109E+02
  8.425E+06 6.123E-14 1.300E-07 5.685E+00 9.342E+04 2.820E+05 4.169E+22 1.109E+02
  8.525E+06 3.226E-14 1.300E-07 6.821E+00 7.786E+04 2.820E+05 7.912E+22 1.109E+02
  8.625E+06 1.671E-14 1.300E-07 8.184E+00 6.489E+04 2.820E+05 1.527E+23 1.109E+02
  8.725E+06 8.881E-15 1.300E-07 9.819E+00 5.408E+04 2.820E+05 2.874E+23 1.109E+02
  8.825E+06 5.067E-15 1.300E-07 1.178E+01 4.508E+04 2.820E+05 5.038E+23 1.109E+02
  8.925E+06 3.150E-15 1.300E-07 1.413E+01 3.758E+04 2.820E+05 8.104E+23 1.109E+02
  9.025E+06 2.083E-15 1.300E-07 1.695E+01 3.132E+04 2.820E+05 1.225E+24 1.109E+02
  9.125E+06 1.417E-15 1.300E-07 2.034E+01 2.611E+04 2.820E+05 1.802E+24 1.109E+02
  9.225E+06 9.675E-16 1.300E-07 2.439E+01 2.177E+04 2.820E+05 2.638E+24 1.109E+02
  9.325E+06 6.559E-16 1.300E-07 2.925E+01 1.815E+04 2.820E+05 3.891E+24 1.109E+02
  9.425E+06 4.380E-16 1.300E-07 3.509E+01 1.514E+04 2.820E+05 5.827E+24 1.109E+02
  9.525E+06 2.855E-16 1.300E-07 4.208E+01 1.262E+04 2.820E+05 8.939E+24 1.109E+02
  9.625E+06 1.792E-16 1.300E-07 5.046E+01 1.052E+04 2.820E+05 1.425E+25 1.109E+02
  9.725E+06 1.056E-16 1.300E-07 6.050E+01 8.777E+03 2.820E+05 2.416E+25 1.109E+02
