reading file =../SAVEOUT/GJ581dCO292SolCon1.0/output_couple.dat

       8      20.4380      175.630
       9      19.8090      177.500
      10      19.1900      175.510
      11      18.5870      173.570
      12      17.9980      173.070
      13      17.4210      171.970
      14      16.8590      169.220
      15      16.3180      164.720
      16      15.8010      159.740
      17      15.3070      156.170
      18      14.8280      154.760
      19      14.3600      155.070
      20      13.8970      156.300
      21      13.4380      158.160
      22      12.9810      160.780
      23      12.5250      163.980
      24      12.0680      167.140
      25      11.6130      169.980
      26      11.1590      172.560
      27      10.7080      174.920
      28      10.2600      177.110
      29      9.81630      179.220
      30      9.37720      181.300
      31      8.94290      183.280
      32      8.51390      185.050
      33      8.09120      186.540
      34      7.67540      187.710
      35      7.26740      188.570
      36      6.86800      189.180
      37      6.47750      189.630
      38      6.09640      190.010
      39      5.72470      190.390
      40      5.36240      190.830
      41      5.00940      191.360
      42      4.66560      192.000
      43      4.33090      192.770
      44      4.00500      193.670
      45      3.68790      194.710
      46      3.37940      195.860
      47      3.07970      197.060
      48      2.78790      199.250
      49      2.50360      201.540
      50      2.22570      205.500
      51      1.95100      213.350
      52      1.67770      221.120
      53      1.40670      228.780
      54      1.13900      236.300
      55     0.875560      243.650
      56     0.617440      250.790
      57     0.365590      257.670
      58     0.121030      264.260
      59      0.00000      267.470

       7      27.9380      175.630
       6      26.9380      175.630
       5      25.9380      175.630
       4      24.9380      175.630
       3      23.9380      175.630
       2      22.9380      175.630
       1      21.9380      175.630
       0      20.9380      175.630

reading file =../SAVEOUT/GJ581dCO295SolCon1.0/output_couple.dat

       8      20.0830      175.830
       9      19.4610      177.490
      10      18.8490      175.480
      11      18.2530      173.600
      12      17.6700      173.100
      13      17.0990      171.940
      14      16.5440      169.110
      15      16.0100      164.510
      16      15.4990      159.460
      17      15.0110      155.850
      18      14.5390      154.430
      19      14.0760      154.700
      20      13.6200      155.850
      21      13.1680      157.590
      22      12.7180      160.050
      23      12.2690      163.010
      24      11.8200      165.850
      25      11.3740      168.290
      26      10.9300      170.410
      27      10.4900      172.270
      28      10.0540      173.900
      29      9.62450      175.400
      30      9.20020      176.860
      31      8.78180      178.220
      32      8.37000      179.420
      33      7.96510      180.420
      34      7.56780      181.210
      35      7.17850      181.830
      36      6.79770      182.350
      37      6.42540      182.850
      38      6.06180      183.410
      39      5.70670      184.090
      40      5.35990      184.910
      41      5.02120      185.890
      42      4.69050      187.040
      43      4.36750      188.330
      44      4.05190      190.100
      45      3.74300      192.490
      46      3.44050      194.860
      47      3.14470      197.210
      48      2.85580      199.530
      49      2.57130      205.960
      50      2.28780      214.090
      51      2.00480      222.160
      52      1.72340      230.140
      53      1.44450      238.000
      54      1.16920      245.690
      55     0.898450      253.160
      56     0.633300      260.370
      57     0.374810      267.260
      58     0.124030      273.810
      59      0.00000      277.030

       7      27.5830      175.830
       6      26.5830      175.830
       5      25.5830      175.830
       4      24.5830      175.830
       3      23.5830      175.830
       2      22.5830      175.830
       1      21.5830      175.830
       0      20.5830      175.830

reading file =../SAVEOUT/GJ581dCO298SolCon1.0/output_couple.dat

       8      19.7710      175.790
       9      19.1560      177.400
      10      18.5510      175.380
      11      17.9620      173.520
      12      17.3860      172.990
      13      16.8220      171.700
      14      16.2730      168.700
      15      15.7470      163.900
      16      15.2440      158.630
      17      14.7640      154.810
      18      14.3000      153.170
      19      13.8470      153.210
      20      13.4000      154.130
      21      12.9580      155.650
      22      12.5190      157.850
      23      12.0820      160.490
      24      11.6450      163.000
      25      11.2120      165.130
      26      10.7810      167.020
      27      10.3550      168.760
      28      9.93290      170.410
      29      9.51590      172.070
      30      9.10380      173.810
      31      8.69670      175.580
      32      8.29480      177.280
      33      7.89850      178.850
      34      7.50830      180.250
      35      7.12480      181.490
      36      6.74820      182.590
      37      6.37910      183.620
      38      6.01750      184.610
      39      5.66370      185.620
      40      5.31770      186.650
      41      4.97950      187.740
      42      4.64910      188.870
      43      4.32670      190.070
      44      4.01210      191.340
      45      3.70530      192.780
      46      3.40570      195.150
      47      3.11270      197.510
      48      2.82610      200.430
      49      2.54400      206.250
      50      2.26310      214.340
      51      1.98300      222.370
      52      1.70450      230.300
      53      1.42850      238.100
      54      1.15610      245.740
      55     0.888310      253.160
      56     0.626100      260.320
      57     0.370510      267.170
      58     0.122590      273.660
      59      0.00000      276.860

       7      27.2710      175.790
       6      26.2710      175.790
       5      25.2710      175.790
       4      24.2710      175.790
       3      23.2710      175.790
       2      22.2710      175.790
       1      21.2710      175.790
       0      20.2710      175.790

reading file =../SAVEOUT/Gl581-CO279-O21e-2-Solcon10/output_couple.dat

       8      21.2720      174.600
       9      20.6140      177.350
      10      19.9640      175.360
      11      19.3330      173.040
      12      18.7160      172.420
      13      18.1120      171.430
      14      17.5240      168.870
      15      16.9570      164.520
      16      16.4140      159.540
      17      15.8960      155.710
      18      15.3960      153.860
      19      14.9070      153.710
      20      14.4260      154.560
      21      13.9500      155.850
      22      13.4800      157.270
      23      13.0110      160.290
      24      12.5430      163.110
      25      12.0760      165.300
      26      11.6140      167.330
      27      11.1550      169.270
      28      10.7000      171.080
      29      10.2500      172.920
      30      9.80550      174.950
      31      9.36500      177.100
      32      8.92930      179.210
      33      8.49860      181.250
      34      8.07350      183.170
      35      7.65430      184.980
      36      7.24160      186.700
      37      6.83560      188.410
      38      6.43650      190.170
      39      6.04430      192.020
      40      5.65910      193.960
      41      5.28090      195.980
      42      4.90990      198.030
      43      4.54610      200.080
      44      4.19000      202.080
      45      3.84180      204.000
      46      3.50190      205.810
      47      3.17080      207.460
      48      2.84890      208.970
      49      2.53650      210.350
      50      2.23400      211.610
      51      1.94170      212.840
      52      1.65950      214.230
      53      1.38670      217.120
      54      1.12180      221.100
      55     0.862870      228.220
      56     0.608840      235.170
      57     0.360720      241.910
      58     0.119500      248.410
      59      0.00000      251.630

       7      28.7720      174.600
       6      27.7720      174.600
       5      26.7720      174.600
       4      25.7720      174.600
       3      24.7720      174.600
       2      23.7720      174.600
       1      22.7720      174.600
       0      21.7720      174.600

reading file =../SAVEOUT/Gl581-CO292-O21e-3-Solcon10/output_couple.dat

       8      20.1970      175.570
       9      19.5680      177.400
      10      18.9500      175.330
      11      18.3480      173.340
      12      17.7600      172.790
      13      17.1830      171.590
      14      16.6230      168.700
      15      16.0840      164.010
      16      15.5700      158.810
      17      15.0790      154.960
      18      14.6040      153.230
      19      14.1410      153.180
      20      13.6840      154.040
      21      13.2330      155.500
      22      12.7840      157.660
      23      12.3380      160.280
      24      11.8920      162.800
      25      11.4490      164.940
      26      11.0100      166.820
      27      10.5740      168.540
      28      10.1430      170.170
      29      9.71770      171.810
      30      9.29710      173.520
      31      8.88160      175.260
      32      8.47150      176.940
      33      8.06710      178.500
      34      7.66900      179.900
      35      7.27750      181.140
      36      6.89330      182.250
      37      6.51660      183.280
      38      6.14760      184.270
      39      5.78650      185.270
      40      5.43340      186.310
