"WL.um."	"FLUX.W.m2.um."
0.0091	0
0.0094	0
0.0096	0
0.0098	0
0.01	0
0.0102	0
0.0104	0
0.0106	0
0.0108	0
0.011	0
0.0114	0
0.0118	0
0.0121	0
0.0125	0
0.0127	0
0.0128	0
0.0131	0
0.0132	0
0.0134	0
0.0137	0
0.014	0
0.0143	0
0.0147	0
0.0151	0
0.0155	0
0.0159	0
0.0162	0
0.0166	0
0.017	0
0.0173	0
0.0177	0
0.018	0
0.0182	0
0.0186	0
0.0191	0
0.0194	0
0.0198	0
0.0202	0
0.0205	0
0.021	0
0.0216	0
0.022	0
0.0223	0
0.0227	0
0.023	0
0.0234	0
0.024	0
0.0246	0
0.0252	0
0.0257	0
0.026	0
0.0264	0
0.0269	0
0.0274	0
0.0279	0
0.0284	0
0.029	0
0.0296	0
0.0301	0
0.0308	0
0.0318	0
0.0328	0
0.0338	0
0.0348	0
0.0357	0
0.0366	0
0.0375	0
0.0385	0
0.0395	0
0.0405	0
0.0414	0
0.0422	0
0.043	0
0.0441	0
0.0451	0
0.046	0
0.047	0
0.048	0
0.049	0
0.05	0
0.0506	0
0.0512	0
0.052	0
0.053	0
0.054	0
0.055	0
0.056	0
0.057	0
0.058	0
0.059	0
0.06	0
0.061	0
0.062	0
0.063	0
0.064	0
0.065	0
0.0658	0
0.0665	0
0.0675	0
0.0685	0
0.0695	0
0.0705	0
0.0716	0
0.0726	0
0.0735	0
0.0745	0
0.0755	0
0.0765	4.69566843597828e-27
0.0775	1.30376939255933e-26
0.0785	3.51519313084407e-26
0.0795	9.2864057337224e-26
0.0805	2.38718339482695e-25
0.0815	6.00730766390517e-25
0.0825	1.47165921373397e-24
0.0835	3.54142591540261e-24
0.0845	8.28955992049796e-24
0.0855	1.90974671586156e-23
0.0865	4.30217666760021e-23
0.0875	9.52250079474924e-23
0.0885	2.06976670166864e-22
0.0895	4.40710780583436e-22
0.0905	9.26017294916386e-22
0.0915	1.92286310814082e-21
0.0925	4.01361603745629e-21
0.0935	8.00099929035405e-21
0.0945	1.58183690887983e-20
0.0955	3.09546857790747e-20
0.0965	5.90237652567102e-20
0.0975	1.10702350837030e-19
0.0985	2.02517096791912e-19
0.0995	3.72505540731238e-19
0.1005	6.84675676977838e-19
0.1015	1.21195464660445e-18
0.1025	2.15371161225596e-18
0.1035	3.80375376098799e-18
0.1045	6.55819613963446e-18
0.1055	1.11751662219371e-17
0.1065	2.04615719556595e-17
0.1075	3.22663250070016e-17
0.1085	5.29902248082465e-17
0.1095	8.81421561166872e-17
0.1105	1.42181692307275e-16
0.1115	2.28225225659279e-16
0.1125	3.82998654554653e-16
0.1135	6.32210107860762e-16
0.1145	9.26017294916386e-16
0.1155	1.76546640078960e-15
0.1165	2.26126602894596e-15
0.1175	4.6432028668612e-15
0.1185	6.47949778595885e-15
0.1195	1.09653039454688e-14
0.1205	1.51887822593934e-14
0.1215	3.17416693158308e-14
0.1225	4.19724552936606e-14
0.1235	8.18462878226381e-14
0.1245	1.25392710189811e-13
0.1255	1.50051527674837e-13
0.1265	2.5996689497511e-13
0.1275	3.96115046833922e-13
0.1285	4.69566843597828e-13
0.1295	5.69251424920272e-13
0.1305	8.57812055064188e-13
0.1315	1.63167919954105e-12
0.1325	1.89663032358229e-12
0.1335	2.48162141923768e-12
0.1345	3.6725898381953e-12
0.1355	5.29902248082465e-12
0.1365	6.63689449331008e-12
0.1375	8.34202548961504e-12
0.1385	9.99469091680292e-12
0.1395	1.46116609991056e-11
0.1405	2.16420472607937e-11
0.1415	2.9118390859977e-11
0.1425	3.38402920805138e-11
0.1435	4.82683235877097e-11
