WL(um)	Flux(W/m2/um)
0.1151	2.41E+01
0.1152	1.77E+01
0.1154	1.33E+01
0.1156	2.01E+01
0.1157	1.42E+01
0.1159	1.22E+01
0.1161	1.17E+01
0.1162	1.49E+01
0.1164	6.42E+00
0.1166	6.53E+00
0.1167	9.61E+00
0.1169	8.52E+00
0.1171	9.75E+00
0.1172	7.61E+00
0.1174	8.23E+00
0.1176	8.12E+00
0.1177	6.89E+00
0.1179	5.40E+00
0.1181	5.69E+00
0.1182	4.93E+00
0.1184	5.91E+00
0.1186	5.58E+00
0.1187	6.49E+00
0.1189	4.97E+00
0.1191	4.75E+00
0.1192	4.39E+00
0.1194	2.66E+00
0.1196	2.53E+00
0.1198	4.42E+00
0.1199	3.58E+00
0.1201	4.10E+00
0.1203	5.15E+00
0.1204	5.73E+00
0.1206	5.91E+00
0.1208	5.84E+00
0.1209	1.11E+01
0.1211	1.92E+01
0.1213	2.98E+01
0.1214	3.53E+01
0.1216	3.62E+01
0.1218	2.94E+01
0.1219	1.88E+01
0.1221	1.29E+01
0.1223	7.76E+00
0.1224	4.42E+00
0.1226	3.11E+00
0.1228	2.83E+00
0.1229	3.36E+00
0.1231	2.98E+00
0.1233	2.36E+00
0.1234	3.24E+00
0.1236	2.11E+00
0.1238	2.35E+00
0.1239	2.76E+00
0.1241	2.55E+00
0.1243	2.40E+00
0.1244	2.61E+00
0.1246	2.98E+00
0.1248	3.38E+00
0.1249	3.04E+00
0.1251	2.22E+00
0.1253	2.86E+00
0.1255	1.54E+00
0.1256	2.35E+00
0.1258	2.94E+00
0.126	2.19E+00
0.1261	2.88E+00
0.1263	2.23E+00
0.1265	2.26E+00
0.1266	2.37E+00
0.1268	2.74E+00
0.127	2.12E+00
0.1271	2.67E+00
0.1273	2.56E+00
0.1275	2.49E+00
0.1276	3.10E+00
0.1278	2.96E+00
0.128	2.61E+00
0.1281	2.82E+00
0.1283	2.41E+00
0.1285	2.88E+00
0.1286	2.91E+00
0.1288	2.37E+00
0.129	2.77E+00
0.1291	3.41E+00
0.1293	3.16E+00
0.1295	3.23E+00
0.1296	3.03E+00
0.1298	3.92E+00
0.13	2.46E+00
0.1301	3.29E+00
0.1303	3.11E+00
0.1305	2.63E+00
0.1306	2.94E+00
0.1308	2.43E+00
0.131	2.74E+00
0.1312	2.35E+00
0.1313	2.31E+00
0.1315	2.44E+00
0.1317	3.32E+00
