WL(um)	Flux(W/m2/um)
1.15E-01	5.30655E-08
1.16E-01	6.79589E-08
1.17E-01	8.78584E-08
1.18E-01	1.19648E-07
1.19E-01	1.43928E-07
1.20E-01	1.61449E-07
1.21E-01	1.72713E-07
1.22E-01	4.69329E-08
1.23E-01	2.50309E-07
1.24E-01	4.48053E-07
1.25E-01	5.78213E-07
1.26E-01	6.95859E-07
1.27E-01	8.37283E-07
1.28E-01	1.0125E-06
1.29E-01	1.11888E-06
1.30E-01	1.33915E-06
1.31E-01	1.55191E-06
1.32E-01	1.93989E-06
1.33E-01	2.04002E-06
1.34E-01	2.2653E-06
1.35E-01	2.80346E-06
1.36E-01	3.50432E-06
1.37E-01	3.76715E-06
1.38E-01	4.1301E-06
1.39E-01	4.49304E-06
1.40E-01	5.08127E-06
1.41E-01	6.62067E-06
1.42E-01	7.77209E-06
1.43E-01	9.24891E-06
1.44E-01	1.14391E-05
1.44E-01	1.52688E-05
1.45E-01	1.35167E-05
1.46E-01	1.62701E-05
1.47E-01	2.1902E-05
1.48E-01	2.5156E-05
1.49E-01	2.72837E-05
1.50E-01	3.74212E-05
1.51E-01	4.73084E-05
1.51E-01	3.39168E-05
1.52E-01	4.54311E-05
1.53E-01	0.000143928
1.54E-01	0.000261573
1.55E-01	0.000201499
1.56E-01	0.000371709
1.57E-01	0.000350432
1.58E-01	0.000914879
1.59E-01	0.001101359
1.60E-01	0.001301606
1.61E-01	0.001376699
1.62E-01	0.001501853
1.63E-01	0.001677069
1.64E-01	0.002240264
1.65E-01	0.003304077
1.66E-01	0.002315357
1.67E-01	0.004017457
1.67E-01	0.002703336
1.68E-01	0.009824622
1.69E-01	0.011301444
1.70E-01	0.014267604
1.71E-01	0.015393994
1.72E-01	0.014768222
1.73E-01	0.02065048
1.74E-01	0.024405112
1.75E-01	0.034417466
1.76E-01	0.043804048
1.77E-01	0.042802812
1.78E-01	0.044930438
1.79E-01	0.064829991
1.80E-01	0.07046194
1.81E-01	0.085605625
1.82E-01	0.078471823
1.83E-01	0.104629097
1.84E-01	0.107757958
1.85E-01	0.086857169
1.86E-01	0.115392377
1.87E-01	0.141424497
1.88E-01	0.151436851
1.89E-01	0.166455382
1.90E-01	0.222774872
1.91E-01	0.215265606
1.92E-01	0.256566566
1.93E-01	0.255315021
1.94E-01	0.16895847
1.95E-01	0.324149954
1.96E-01	0.365450913
1.97E-01	0.456813641
1.98E-01	0.469329083
1.98E-01	0.513133131
2.00E-01	0.518139308
2.01E-01	0.51563622
