 1216.0 1216.0  0.6057427 10.8433113  0.8988751
 1300.0 1350.0  0.6004261  9.5129433  0.8980520
 1350.0 1400.0  0.5981064  8.9497576  0.8976015
 1400.0 1450.0  0.5960019  8.4190178  0.8971028
 1450.0 1500.0  0.5942180  7.9223366  0.8965551
 1500.0 1550.0  0.5928631  7.4615936  0.8959572
 1550.0 1600.0  0.5920485  7.0389471  0.8953075
 1600.0 1650.0  0.5918881  6.6568127  0.8946038
 1650.0 1700.0  0.5924219  6.3161626  0.8938456
 1700.0 1750.0  0.5935130  6.0142169  0.8930347
 1754.0 1770.0  0.5945209  5.8093872  0.8924083
 1770.0 1786.0  0.5949991  5.7276487  0.8921272
 1786.0 1802.0  0.5954819  5.6488252  0.8918415
 1802.0 1818.0  0.5959611  5.5727611  0.8915515
 1818.0 1835.0  0.5964426  5.4970875  0.8912477
 1835.0 1852.0  0.5969163  5.4218016  0.8909302
 1852.0 1869.0  0.5973574  5.3491035  0.8906079
 1869.0 1887.0  0.5977660  5.2768188  0.8902714
 1887.0 1905.0  0.5981284  5.2048979  0.8899204
 1905.0 1923.0  0.5984198  5.1352749  0.8895646
 1923.0 1942.0  0.5986314  5.0659289  0.8891941
 1942.0 1961.0  0.5987451  4.9967566  0.8888085
 1961.0 1980.0  0.5987389  4.9294615  0.8884181
 1980.0 2000.0  0.5986016  4.8621664  0.8880123
 2000.0 2020.0  0.5983368  4.7948141  0.8875910
 2020.0 2041.0  0.5979507  4.7274408  0.8871539
 2041.0 2062.0  0.5974571  4.6599884  0.8867008
 2062.0 2083.0  0.5968830  4.5939970  0.8862426
 2083.0 2105.0  0.5962325  4.5278139  0.8857682
 2105.0 2128.0  0.5955081  4.4598670  0.8852661
 2128.0 2151.0  0.5947468  4.3916135  0.8847474
 2151.0 2174.0  0.5939903  4.3244143  0.8842231
 2174.0 2200.0  0.5932212  4.2538147  0.8836585
 2200.0 2222.0  0.5925277  4.1853619  0.8831002
 2222.0 2247.0  0.5919466  4.1189108  0.8825477
 2247.0 2273.0  0.5914504  4.0471687  0.8819426
 2273.0 2299.0  0.5911255  3.9741836  0.8813195
 2299.0 2326.0  0.5910270  3.8997092  0.8806784
 2326.0 2353.0  0.5912063  3.8234718  0.8800191
 2353.0 2381.0  0.5917314  3.7451513  0.8793412
 2381.0 2410.0  0.5926801  3.6630011  0.8786324
 2410.0 2439.0  0.5940523  3.5784030  0.8779046
 2439.0 2469.0  0.5957986  3.4916396  0.8771576
 2469.0 2500.0  0.5978706  3.4016666  0.8763787
 2500.0 2532.0  0.6001854  3.3089700  0.8755673
 2532.0 2564.0  0.6026025  3.2155778  0.8747361
 2564.0 2597.0  0.6050023  3.1221263  0.8738849
 2597.0 2632.0  0.6073142  3.0265355  0.8729872
 2632.0 2667.0  0.6093488  2.9310703  0.8720554
 2667.0 2703.0  0.6109729  2.8377531  0.8711028
 2703.0 2740.0  0.6122019  2.7454877  0.8701158
 2740.0 2778.0  0.6130461  2.6544857  0.8690939
 2778.0 2817.0  0.6135206  2.5649686  0.8680371
 2817.0 2857.0  0.6136459  2.4771702  0.8669450
 2857.0 2899.0  0.6134417  2.3903346  0.8658032
 2899.0 2941.0  0.6129428  2.3057947  0.8646256
 2941.0 2985.0  0.6121831  2.2239370  0.8634116
 2985.0 3030.0  0.6112118  2.1439033  0.8621467
 3030.0 3077.0  0.6101036  2.0656931  0.8608303
 3077.0 3125.0  0.6089579  1.9890404  0.8594620
 3125.0 3175.0  0.6078954  1.9136794  0.8580410
 3175.0 3225.0  0.6070626  1.8398890  0.8565816
 3225.0 3275.0  0.6066204  1.7685542  0.8551125
 3275.0 3325.0  0.6066951  1.6991855  0.8536340
 3325.0 3375.0  0.6073769  1.6319686  0.8521464
 3375.0 3425.0  0.6087312  1.5675964  0.8506503
 3425.0 3450.0  0.6101542  1.5212510  0.8495234
 3450.0 3550.0  0.6140665  1.4524449  0.8476307
 3550.0 3650.0  0.6225269  1.3554293  0.8445835
 3650.0 3750.0  0.6341587  1.2770067  0.8415068
 3750.0 3850.0  0.6481343  1.2109787  0.8384007
 3850.0 3950.0  0.6636053  1.1508491  0.8352641
 3950.0 4050.0  0.6799608  1.0929494  0.8320971
 4050.0 4150.0  0.6968727  1.0372252  0.8289009
 4150.0 4250.0  0.7140387  0.9845859  0.8256767
 4250.0 4350.0  0.7309011  0.9350293  0.8224243
 4350.0 4450.0  0.7466785  0.8878247  0.8191425
 4450.0 4550.0  0.7607183  0.8422978  0.8158300
 4550.0 4650.0  0.7729018  0.7981071  0.8124883
 4650.0 4750.0  0.7835023  0.7551668  0.8091204
 4750.0 4850.0  0.7927940  0.7134538  0.8057288
 4850.0 4950.0  0.8010105  0.6729837  0.8023154
 4950.0 5050.0  0.8083518  0.6338109  0.7988813
 5050.0 5150.0  0.8149903  0.5960299  0.7954270
 5150.0 5250.0  0.8210771  0.5597789  0.7919523
 5250.0 5350.0  0.8267455  0.5252440  0.7884564
 5350.0 5450.0  0.8321159  0.4926645  0.7849380
 5450.0 5550.0  0.8372995  0.4623407  0.7813948
 5550.0 5650.0  0.8424015  0.4346434  0.7778239
 5650.0 5750.0  0.8475103  0.4098814  0.7742229
 5750.0 5850.0  0.8526624  0.3879435  0.7705930
 5850.0 5950.0  0.8578521  0.3683797  0.7669386
 5950.0 6050.0  0.8630695  0.3507558  0.7632638
 6050.0 6150.0  0.8683052  0.3346981  0.7595720
 6150.0 6250.0  0.8735505  0.3198819  0.7558662
 6250.0 6350.0  0.8787969  0.3060210  0.7521489
 6350.0 6450.0  0.8840361  0.2928592  0.7484221
 6450.0 6550.0  0.8892596  0.2801621  0.7446878
 6550.0 6650.0  0.8944579  0.2677097  0.7409475
 6650.0 6750.0  0.8996215  0.2552898  0.7372025
 6750.0 6850.0  0.9047393  0.2426910  0.7334543
 6850.0 6950.0  0.9097990  0.2297050  0.7297039
 6950.0 7050.0  0.9147882  0.2162403  0.7259510
 7050.0 7150.0  0.9196959  0.2023977  0.7221929
 7150.0 7250.0  0.9245093  0.1883558  0.7184260
 7250.0 7350.0  0.9292129  0.1742890  0.7146462
 7350.0 7450.0  0.9337878  0.1603711  0.7108492
 7450.0 7550.0  0.9382110  0.1467803  0.7070301
 7550.0 7650.0  0.9424549  0.1337050  0.7031833
 7650.0 7750.0  0.9464862  0.1213499  0.6993022
 7750.0 7850.0  0.9502649  0.1099419  0.6953793
 7850.0 7950.0  0.9537433  0.0997378  0.6914057
 7950.0 8050.0  0.9568642  0.0910317  0.6873711
 8050.0 8150.0  0.9595593  0.0841645  0.6832631
 8150.0 8250.0  0.9617469  0.0795345  0.6790670
 8250.0 8350.0  0.9633297  0.0776098  0.6747656
 8350.0 8450.0  0.9641914  0.0789429  0.6703380
 8450.0 8550.0  0.9641931  0.0841879  0.6657597
