 1754.0 1770.0  0.4985  2.4095  0.9078
 1770.0 1786.0  0.4982  2.4127  0.9076
 1786.0 1802.0  0.4978  2.4160  0.9074
 1802.0 1818.0  0.4975  2.4192  0.9072
 1818.0 1835.0  0.4972  2.4224  0.9070
 1835.0 1852.0  0.4968  2.4259  0.9068
 1852.0 1869.0  0.4965  2.4293  0.9066
 1869.0 1887.0  0.4961  2.4328  0.9064
 1887.0 1905.0  0.4958  2.4364  0.9062
 1905.0 1923.0  0.4954  2.4401  0.9060
 1923.0 1942.0  0.4950  2.4437  0.9058
 1942.0 1961.0  0.4946  2.4475  0.9056
 1961.0 1980.0  0.4942  2.4514  0.9054
 1980.0 2000.0  0.4938  2.4544  0.9050
 2000.0 2020.0  0.4932  2.4570  0.9045
 2020.0 2041.0  0.4926  2.4597  0.9040
 2041.0 2062.0  0.4920  2.4625  0.9034
 2062.0 2083.0  0.4915  2.4652  0.9029
 2083.0 2105.0  0.4909  2.4680  0.9023
 2105.0 2128.0  0.4902  2.4709  0.9018
 2128.0 2151.0  0.4896  2.4740  0.9012
 2151.0 2174.0  0.4890  2.4770  0.9006
 2174.0 2200.0  0.4883  2.4800  0.9000
 2200.0 2222.0  0.4876  2.4835  0.8993
 2222.0 2247.0  0.4870  2.4864  0.8988
 2247.0 2273.0  0.4863  2.4897  0.8981
 2273.0 2299.0  0.4855  2.4931  0.8975
 2299.0 2326.0  0.4848  2.4966  0.8968
 2326.0 2353.0  0.4840  2.5001  0.8961
 2353.0 2381.0  0.4833  2.5037  0.8954
 2381.0 2410.0  0.4825  2.5074  0.8947
 2410.0 2439.0  0.4808  2.5065  0.8929
 2439.0 2469.0  0.4791  2.5051  0.8910
 2469.0 2500.0  0.4773  2.5037  0.8891
 2500.0 2532.0  0.4755  2.5021  0.8871
 2532.0 2564.0  0.4735  2.5006  0.8850
 2564.0 2597.0  0.4716  2.4990  0.8829
 2597.0 2632.0  0.4697  2.4974  0.8808
 2632.0 2667.0  0.4676  2.4957  0.8785
 2667.0 2703.0  0.4659  2.4917  0.8737
 2703.0 2740.0  0.4644  2.4871  0.8682
 2740.0 2778.0  0.4628  2.4823  0.8626
 2778.0 2817.0  0.4611  2.4775  0.8569
 2817.0 2857.0  0.4594  2.4725  0.8510
 2857.0 2899.0  0.4577  2.4674  0.8449
 2899.0 2941.0  0.4559  2.4620  0.8385
 2941.0 2985.0  0.4541  2.4566  0.8322
 2985.0 3030.0  0.4568  2.4658  0.8259
 3030.0 3077.0  0.4611  2.4802  0.8196
 3077.0 3125.0  0.4656  2.4952  0.8131
 3125.0 3175.0  0.4702  2.5106  0.8064
 3175.0 3225.0  0.4750  2.5266  0.7995
 3225.0 3275.0  0.4798  2.5426  0.7925
 3275.0 3325.0  0.4862  2.5668  0.7866
 3325.0 3375.0  0.4977  2.6168  0.7841
 3375.0 3425.0  0.5092  2.6668  0.7816
 3425.0 3450.0  0.5207  2.7167  0.7791
 3450.0 3550.0  0.5264  2.7417  0.7778
 3550.0 3650.0  0.5490  2.8360  0.7721
 3650.0 3750.0  0.5668  2.8648  0.7588
 3750.0 3850.0  0.5846  2.8936  0.7455
 3850.0 3950.0  0.6023  2.9224  0.7322
 3950.0 4050.0  0.6248  2.9927  0.7218
 4050.0 4150.0  0.6488  3.0762  0.7123
 4150.0 4250.0  0.6714  3.1639  0.7020
 4250.0 4350.0  0.6870  3.2721  0.6881
 4350.0 4450.0  0.7027  3.3802  0.6742
 4450.0 4550.0  0.7184  3.4789  0.6631
 4550.0 4650.0  0.7343  3.5437  0.6615
 4650.0 4750.0  0.7503  3.6086  0.6600
 4750.0 4850.0  0.7662  3.6734  0.6584
 4850.0 4950.0  0.7821  3.7383  0.6569
 4950.0 5050.0  0.7980  3.8031  0.6553
 5050.0 5150.0  0.8139  3.8679  0.6538
 5150.0 5250.0  0.8299  3.9328  0.6522
 5250.0 5350.0  0.8458  3.9976  0.6507
 5350.0 5450.0  0.8617  4.0625  0.6491
 5450.0 5550.0  0.8776  4.1273  0.6476
 5550.0 5650.0  0.8936  4.1922  0.6460
 5650.0 5750.0  0.9078  4.2471  0.6451
 5750.0 5850.0  0.9127  4.2461  0.6481
 5850.0 5950.0  0.9175  4.2451  0.6510
 5950.0 6050.0  0.9223  4.2440  0.6539
 6050.0 6150.0  0.9271  4.2430  0.6569
 6150.0 6250.0  0.9320  4.2420  0.6598
 6250.0 6350.0  0.9368  4.2409  0.6627
 6350.0 6450.0  0.9416  4.2399  0.6656
 6450.0 6550.0  0.9465  4.2388  0.6686
 6550.0 6650.0  0.9513  4.2378  0.6715
 6650.0 6750.0  0.9561  4.2368  0.6744
 6750.0 6850.0  0.9609  4.2357  0.6774
 6850.0 6950.0  0.9658  4.2347  0.6803
 6950.0 7050.0  0.9684  4.1850  0.6774
 7050.0 7150.0  0.9697  4.1054  0.6709
 7150.0 7250.0  0.9710  4.0258  0.6644
 7250.0 7350.0  0.9724  3.9462  0.6579
 7350.0 7450.0  0.9737  3.8666  0.6514
 7450.0 7550.0  0.9750  3.7870  0.6449
 7550.0 7650.0  0.9763  3.7075  0.6384
 7650.0 7750.0  0.9776  3.6279  0.6319
 7750.0 7850.0  0.9789  3.5483  0.6254
 7850.0 7950.0  0.9802  3.4687  0.6189
 7950.0 8050.0  0.9815  3.3891  0.6124
