C2H2_mpi.abs (wavelength extended on both sides due to Eric's QY)
Air:  
Temp: 
Angstroms       XS
1.190000E+03    5.879000E-18
1.200000E+03    5.879000E-18
1.210000E+03    5.879000E-18
1.220000E+03    5.879000E-18
1.230000E+03    5.879000E-18
1.240000E+03    5.879000E-18
1.250000E+03    5.879000E-18
1.260000E+03    5.879000E-18
1.270000E+03    5.879000E-18
1.280000E+03    5.879000E-18
1.290000E+03    5.879000E-18
1.300000E+03    5.879000E-18
1.310000E+03    5.879000E-18
1.320000E+03    5.879000E-18
1.330000E+03    5.879000E-18
1.340000E+03    5.879000E-18
1.350000E+03    5.879000E-18
1.360000E+03    5.879000E-18
1.369038E+03    5.879000E-18
1.369075E+03    5.965000E-18
1.369113E+03    6.033000E-18
1.369150E+03    6.018000E-18
1.369188E+03    6.004000E-18
1.369225E+03    5.990000E-18
1.369263E+03    5.986000E-18
1.369300E+03    6.001000E-18
1.369338E+03    6.022000E-18
1.369375E+03    6.044000E-18
1.369413E+03    6.083000E-18
1.369450E+03    6.151000E-18
1.369488E+03    6.130000E-18
1.369525E+03    6.026000E-18
1.369563E+03    5.993000E-18
1.369600E+03    5.874000E-18
1.369638E+03    5.897000E-18
1.369675E+03    5.829000E-18
1.369713E+03    5.815000E-18
1.369750E+03    5.800000E-18
1.369788E+03    5.842000E-18
1.369825E+03    5.882000E-18
1.369863E+03    5.868000E-18
1.369900E+03    5.854000E-18
1.369938E+03    5.904000E-18
1.369976E+03    5.847000E-18
1.370013E+03    5.744000E-18
1.370051E+03    5.676000E-18
1.370088E+03    5.680000E-18
1.370126E+03    5.677000E-18
1.370163E+03    5.762000E-18
1.370201E+03    5.819000E-18
1.370238E+03    5.893000E-18
1.370276E+03    5.915000E-18
1.370313E+03    5.867000E-18
1.370351E+03    5.872000E-18
1.370389E+03    5.858000E-18
1.370426E+03    5.826000E-18
1.370464E+03    5.681000E-18
1.370501E+03    5.624000E-18
1.370539E+03    5.522000E-18
1.370576E+03    5.490000E-18
1.370614E+03    5.476000E-18
1.370652E+03    5.499000E-18
1.370689E+03    5.540000E-18
1.370727E+03    5.455000E-18
1.370764E+03    5.441000E-18
1.370802E+03    5.412000E-18
1.370839E+03    5.400000E-18
1.370877E+03    5.421000E-18
1.370915E+03    5.442000E-18
1.370952E+03    5.445000E-18
1.370990E+03    5.477000E-18
1.371027E+03    5.421000E-18
1.371065E+03    5.372000E-18
1.371103E+03    5.341000E-18
1.371140E+03    5.397000E-18
1.371178E+03    5.507000E-18
1.371215E+03    5.442000E-18
1.371253E+03    5.428000E-18
1.371291E+03    5.467000E-18
1.371328E+03    5.342000E-18
1.371366E+03    5.338000E-18
1.371404E+03    5.324000E-18
1.371441E+03    5.293000E-18
1.371479E+03    5.314000E-18
1.371516E+03    5.197000E-18
1.371554E+03    5.047000E-18
1.371592E+03    5.085000E-18
1.371629E+03    4.985000E-18
1.371667E+03    5.007000E-18
1.371704E+03    5.030000E-18
