qyC2H2_1.dat
Air:  
Temp: 
Angstroms      QY
1.190000E+03    3.000000E-01
1.200000E+03    3.000000E-01
1.210000E+03    3.000000E-01
1.220000E+03    3.000000E-01
1.230000E+03    3.000000E-01
1.240000E+03    3.000000E-01
1.250000E+03    3.000000E-01
1.260000E+03    3.000000E-01
1.270000E+03    3.000000E-01
1.280000E+03    3.000000E-01
1.290000E+03    3.000000E-01
1.300000E+03    3.000000E-01
1.310000E+03    3.000000E-01
1.320000E+03    3.000000E-01
1.330000E+03    3.000000E-01
1.340000E+03    3.000000E-01
1.350000E+03    3.000000E-01
1.360000E+03    3.000000E-01
1.369038E+03    3.000000E-01
1.369075E+03    3.000000E-01
1.369113E+03    3.000000E-01
1.369150E+03    3.000000E-01
1.369188E+03    3.000000E-01
1.369225E+03    3.000000E-01
1.369263E+03    3.000000E-01
1.369300E+03    3.000000E-01
1.369338E+03    3.000000E-01
1.369375E+03    3.000000E-01
1.369413E+03    3.000000E-01
1.369450E+03    3.000000E-01
1.369488E+03    3.000000E-01
1.369525E+03    3.000000E-01
1.369563E+03    3.000000E-01
1.369600E+03    3.000000E-01
1.369638E+03    3.000000E-01
1.369675E+03    3.000000E-01
1.369713E+03    3.000000E-01
1.369750E+03    3.000000E-01
1.369788E+03    3.000000E-01
1.369825E+03    3.000000E-01
1.369863E+03    3.000000E-01
1.369900E+03    3.000000E-01
1.369938E+03    3.000000E-01
1.369976E+03    3.000000E-01
1.370013E+03    3.000000E-01
1.370051E+03    3.000000E-01
1.370088E+03    3.000000E-01
1.370126E+03    3.000000E-01
1.370163E+03    3.000000E-01
1.370201E+03    3.000000E-01
1.370238E+03    3.000000E-01
1.370276E+03    3.000000E-01
1.370313E+03    3.000000E-01
1.370351E+03    3.000000E-01
1.370389E+03    3.000000E-01
1.370426E+03    3.000000E-01
1.370464E+03    3.000000E-01
1.370501E+03    3.000000E-01
1.370539E+03    3.000000E-01
1.370576E+03    3.000000E-01
1.370614E+03    3.000000E-01
1.370652E+03    3.000000E-01
1.370689E+03    3.000000E-01
1.370727E+03    3.000000E-01
1.370764E+03    3.000000E-01
1.370802E+03    3.000000E-01
1.370839E+03    3.000000E-01
1.370877E+03    3.000000E-01
1.370915E+03    3.000000E-01
1.370952E+03    3.000000E-01
1.370990E+03    3.000000E-01
1.371027E+03    3.000000E-01
1.371065E+03    3.000000E-01
1.371103E+03    3.000000E-01
1.371140E+03    3.000000E-01
1.371178E+03    3.000000E-01
1.371215E+03    3.000000E-01
1.371253E+03    3.000000E-01
1.371291E+03    3.000000E-01
1.371328E+03    3.000000E-01
1.371366E+03    3.000000E-01
1.371404E+03    3.000000E-01
1.371441E+03    3.000000E-01
1.371479E+03    3.000000E-01
1.371516E+03    3.000000E-01
1.371554E+03    3.000000E-01
1.371592E+03    3.000000E-01
1.371629E+03    3.000000E-01
1.371667E+03    3.000000E-01
1.371704E+03    3.000000E-01
1.371742E+03    3.000000E-01
1.371780E+03    3.000000E-01
1.371817E+03    3.000000E-01
1.371855E+03    3.000000E-01
1.371893E+03    3.000000E-01
1.371930E+03    3.000000E-01
1.371968E+03    3.000000E-01
1.372006E+03    3.000000E-01
1.372043E+03    3.000000E-01
1.372081E+03    3.000000E-01
1.372119E+03    3.000000E-01
1.372156E+03    3.000000E-01
1.372194E+03    3.000000E-01
1.372232E+03    3.000000E-01
1.372269E+03    3.000000E-01
1.372307E+03    3.000000E-01
1.372345E+03    3.000000E-01
1.372382E+03    3.000000E-01
1.372420E+03    3.000000E-01
1.372457E+03    3.000000E-01
1.372495E+03    3.000000E-01
1.372533E+03    3.000000E-01
1.372571E+03    3.000000E-01
1.372608E+03    3.000000E-01
1.372646E+03    3.000000E-01
1.372684E+03    3.000000E-01
1.372721E+03    3.000000E-01
1.372759E+03    3.000000E-01
1.372797E+03    3.000000E-01
1.372834E+03    3.000000E-01
1.372872E+03    3.000000E-01
1.372910E+03    3.000000E-01
1.372947E+03    3.000000E-01
1.372985E+03    3.000000E-01
1.373023E+03    3.000000E-01
1.373061E+03    3.000000E-01
1.373098E+03    3.000000E-01
1.373136E+03    3.000000E-01
1.373174E+03    3.000000E-01
1.373211E+03    3.000000E-01
1.373249E+03    3.000000E-01
1.373287E+03    3.000000E-01
1.373324E+03    3.000000E-01
1.373362E+03    3.000000E-01
1.373400E+03    3.000000E-01
1.373438E+03    3.000000E-01
1.373475E+03    3.000000E-01
1.373513E+03    3.000000E-01
1.373551E+03    3.000000E-01
1.373589E+03    3.000000E-01
1.373626E+03    3.000000E-01
1.373664E+03    3.000000E-01
1.373702E+03    3.000000E-01
1.373740E+03    3.000000E-01
1.373777E+03    3.000000E-01
1.373815E+03    3.000000E-01
1.373853E+03    3.000000E-01
1.373891E+03    3.000000E-01
1.373928E+03    3.000000E-01
1.373966E+03    3.000000E-01
1.374004E+03    3.000000E-01
1.374042E+03    3.000000E-01
1.374079E+03    3.000000E-01
1.374117E+03    3.000000E-01
1.374155E+03    3.000000E-01
1.374193E+03    3.000000E-01
1.374230E+03    3.000000E-01
1.374268E+03    3.000000E-01
1.374306E+03    3.000000E-01
1.374344E+03    3.000000E-01
1.374381E+03    3.000000E-01
1.374419E+03    3.000000E-01
1.374457E+03    3.000000E-01
1.374495E+03    3.000000E-01
1.374533E+03    3.000000E-01
1.374570E+03    3.000000E-01
1.374608E+03    3.000000E-01
1.374646E+03    3.000000E-01
1.374684E+03    3.000000E-01
1.374722E+03    3.000000E-01
1.374759E+03    3.000000E-01
1.374797E+03    3.000000E-01
1.374835E+03    3.000000E-01
1.374873E+03    3.000000E-01
1.374911E+03    3.000000E-01
1.374948E+03    3.000000E-01
1.374986E+03    3.000000E-01
1.375024E+03    3.000000E-01
1.375062E+03    3.000000E-01
1.375100E+03    3.000000E-01
1.375137E+03    3.000000E-01
1.375175E+03    3.000000E-01
1.375213E+03    3.000000E-01
1.375251E+03    3.000000E-01
1.375289E+03    3.000000E-01
1.375327E+03    3.000000E-01
1.375365E+03    3.000000E-01
1.375402E+03    3.000000E-01
1.375440E+03    3.000000E-01
1.375478E+03    3.000000E-01
1.375516E+03    3.000000E-01
1.375554E+03    3.000000E-01
1.375591E+03    3.000000E-01
1.375629E+03    3.000000E-01
1.375667E+03    3.000000E-01
1.375705E+03    3.000000E-01
1.375743E+03    3.000000E-01
1.375781E+03    3.000000E-01
1.375819E+03    3.000000E-01
1.375856E+03    3.000000E-01
1.375894E+03    3.000000E-01
1.375932E+03    3.000000E-01
1.375970E+03    3.000000E-01
1.376008E+03    3.000000E-01
1.376046E+03    3.000000E-01
1.376084E+03    3.000000E-01
1.376122E+03    3.000000E-01
1.376159E+03    3.000000E-01
1.376197E+03    3.000000E-01
1.376235E+03    3.000000E-01
1.376273E+03    3.000000E-01
1.376311E+03    3.000000E-01
1.376349E+03    3.000000E-01
1.376387E+03    3.000000E-01
1.376425E+03    3.000000E-01
1.376463E+03    3.000000E-01
1.376500E+03    3.000000E-01
1.376538E+03    3.000000E-01
1.376576E+03    3.000000E-01
1.376614E+03    3.000000E-01
1.376652E+03    3.000000E-01
1.376690E+03    3.000000E-01
1.376728E+03    3.000000E-01
1.376766E+03    3.000000E-01
1.376804E+03    3.000000E-01
1.376841E+03    3.000000E-01
1.376879E+03    3.000000E-01
1.376917E+03    3.000000E-01
1.376955E+03    3.000000E-01
1.376993E+03    3.000000E-01
1.377031E+03    3.000000E-01
1.377069E+03    3.000000E-01
1.377107E+03    3.000000E-01
1.377145E+03    3.000000E-01
1.377183E+03    3.000000E-01
1.377221E+03    3.000000E-01
1.377259E+03    3.000000E-01
1.377297E+03    3.000000E-01
1.377335E+03    3.000000E-01
1.377372E+03    3.000000E-01
1.377410E+03    3.000000E-01
1.377448E+03    3.000000E-01
1.377486E+03    3.000000E-01
1.377524E+03    3.000000E-01
1.377562E+03    3.000000E-01
1.377600E+03    3.000000E-01
1.377638E+03    3.000000E-01
1.377676E+03    3.000000E-01
1.377714E+03    3.000000E-01
1.377752E+03    3.000000E-01
1.377790E+03    3.000000E-01
1.377828E+03    3.000000E-01
1.377866E+03    3.000000E-01
1.377904E+03    3.000000E-01
1.377942E+03    3.000000E-01
1.377980E+03    3.000000E-01
1.378018E+03    3.000000E-01
1.378056E+03    3.000000E-01
1.378094E+03    3.000000E-01
1.378132E+03    3.000000E-01
1.378170E+03    3.000000E-01
1.378208E+03    3.000000E-01
1.378246E+03    3.000000E-01
1.378284E+03    3.000000E-01
1.378322E+03    3.000000E-01
1.378360E+03    3.000000E-01
1.378398E+03    3.000000E-01
1.378436E+03    3.000000E-01
1.378474E+03    3.000000E-01
1.378512E+03    3.000000E-01
1.378550E+03    3.000000E-01
1.378588E+03    3.000000E-01
1.378626E+03    3.000000E-01
1.378664E+03    3.000000E-01
1.378702E+03    3.000000E-01
1.378740E+03    3.000000E-01
1.378778E+03    3.000000E-01
1.378816E+03    3.000000E-01
1.378854E+03    3.000000E-01
1.378892E+03    3.000000E-01
1.378930E+03    3.000000E-01
1.378968E+03    3.000000E-01
1.379006E+03    3.000000E-01
1.379044E+03    3.000000E-01
1.379082E+03    3.000000E-01
1.379120E+03    3.000000E-01
1.379158E+03    3.000000E-01
1.379196E+03    3.000000E-01
1.379234E+03    3.000000E-01
1.379272E+03    3.000000E-01
1.379310E+03    3.000000E-01
1.379348E+03    3.000000E-01
1.379386E+03    3.000000E-01
1.379425E+03    3.000000E-01
1.379463E+03    3.000000E-01
1.379501E+03    3.000000E-01
1.379539E+03    3.000000E-01
1.379577E+03    3.000000E-01
1.379615E+03    3.000000E-01
1.379653E+03    3.000000E-01
1.379691E+03    3.000000E-01
1.379729E+03    3.000000E-01
1.379767E+03    3.000000E-01
1.379805E+03    3.000000E-01
1.379843E+03    3.000000E-01
1.379881E+03    3.000000E-01
1.379919E+03    3.000000E-01
1.379957E+03    3.000000E-01
1.379996E+03    3.000000E-01
1.380034E+03    3.000000E-01
1.380072E+03    3.000000E-01
1.380110E+03    3.000000E-01
1.380148E+03    3.000000E-01
1.380186E+03    3.000000E-01
