C2H5CHO_mpi.abs
Air:  
Temp: 
Angstroms       XS
2.020000E+03    4.900000E-22
2.060000E+03    4.900000E-22
2.100000E+03    5.700000E-22
2.140000E+03    6.900000E-22
2.180000E+03    8.000000E-22
2.220000E+03    9.100000E-22
2.260000E+03    1.150000E-21
2.300000E+03    1.630000E-21
2.340000E+03    2.570000E-21
2.380000E+03    4.070000E-21
2.420000E+03    6.220000E-21
2.460000E+03    9.090000E-21
2.500000E+03    1.287000E-20
2.540000E+03    1.745000E-20
2.580000E+03    2.250000E-20
2.620000E+03    2.880000E-20
2.660000E+03    3.430000E-20
2.700000E+03    4.120000E-20
2.740000E+03    4.590000E-20
2.780000E+03    5.170000E-20
2.800000E+03    5.160000E-20
2.810000E+03    5.210000E-20
2.820000E+03    5.350000E-20
2.830000E+03    5.570000E-20
2.840000E+03    5.780000E-20
2.850000E+03    5.860000E-20
2.860000E+03    5.820000E-20
2.870000E+03    5.720000E-20
2.880000E+03    5.590000E-20
2.890000E+03    5.520000E-20
2.900000E+03    5.560000E-20
2.910000E+03    5.680000E-20
2.920000E+03    5.810000E-20
2.930000E+03    5.880000E-20
2.940000E+03    5.800000E-20
2.950000E+03    5.570000E-20
2.960000E+03    5.370000E-20
2.970000E+03    5.160000E-20
2.980000E+03    5.020000E-20
2.990000E+03    5.020000E-20
3.000000E+03    5.040000E-20
3.010000E+03    5.090000E-20
3.020000E+03    5.070000E-20
3.030000E+03    4.940000E-20
3.040000E+03    4.690000E-20
3.050000E+03    4.320000E-20
3.060000E+03    4.040000E-20
3.070000E+03    3.810000E-20
3.080000E+03    3.650000E-20
3.090000E+03    3.620000E-20
3.100000E+03    3.600000E-20
3.110000E+03    3.530000E-20
3.120000E+03    3.500000E-20
3.130000E+03    3.320000E-20
3.140000E+03    3.060000E-20
3.150000E+03    2.770000E-20
3.160000E+03    2.430000E-20
3.170000E+03    2.180000E-20
3.180000E+03    2.000000E-20
3.190000E+03    1.864000E-20
3.200000E+03    1.831000E-20
3.210000E+03    1.777000E-20
3.220000E+03    1.662000E-20
3.230000E+03    1.577000E-20
3.240000E+03    1.488000E-20
3.250000E+03    1.300000E-20
3.260000E+03    1.129000E-20
3.270000E+03    9.960000E-21
3.280000E+03    8.280000E-21
3.290000E+03    6.850000E-21
3.300000E+03    5.750000E-21
3.310000E+03    4.940000E-21
3.320000E+03    4.660000E-21
3.330000E+03    4.300000E-21
3.340000E+03    3.730000E-21
3.350000E+03    3.250000E-21
3.360000E+03    2.800000E-21
3.370000E+03    2.300000E-21
3.380000E+03    1.850000E-21
3.390000E+03    1.660000E-21
3.400000E+03    1.550000E-21
3.410000E+03    1.190000E-21
3.420000E+03    7.600000E-22
3.430000E+03    4.500000E-22
3.440000E+03    3.100000E-22
3.450000E+03    2.500000E-22
3.460000E+03    1.900000E-22
3.470000E+03    1.600000E-22
3.480000E+03    1.400000E-22
3.490000E+03    1.300000E-22
3.500000E+03    1.000000E-22
3.510000E+03    8.000000E-23
3.520000E+03    7.000000E-23
3.530000E+03    5.000000E-23
3.540000E+03    4.000000E-23
3.550000E+03    2.000000E-23
3.560000E+03    1.000000E-23
3.570000E+03    1.000000E-23
3.580000E+03    0.000000E+00
3.590000E+03    0.000000E+00
3.600000E+03    0.000000E+00
3.610000E+03    0.000000E+00
3.620000E+03    0.000000E+00
3.630000E+03    0.000000E+00
3.640000E+03    0.000000E+00
