C2H6
Air:
Temp:           100K            300K            1000K
Angstroms       XS
1.216000E+03    1.000000E-17    1.000000E-17    1.000000E-17
1.300000E+03    1.000000E-17    1.000000E-17    1.000000E-17
1.350000E+03    1.000000E-17    1.000000E-17    1.000000E-17
1.400000E+03    4.600000E-18    4.600000E-18    4.600000E-18
1.450000E+03    1.600000E-18    1.600000E-18    1.600000E-18
1.500000E+03    4.500000E-19    4.500000E-19    4.500000E-19
1.550000E+03    9.E00000E-21    9.E00000E-21    9.E00000E-21
1.600000E+03    2.E00000E-21    2.E00000E-21    2.E00000E-21
1.650000E+03    0.000000E+00    0.000000E+00    0.000000E+00
1.700000E+03    0.000000E+00    0.000000E+00    0.000000E+00    
