C2H6S_mpi.abs
Air:  
Temp: 
Angstroms       XS
1.216000E+03    5.874000E-17
1.217000E+03    5.798000E-17
1.218000E+03    5.728000E-17
1.219000E+03    5.646000E-17
1.220000E+03    5.573000E-17
1.221000E+03    5.530000E-17
1.222000E+03    5.429000E-17
1.223000E+03    5.369000E-17
1.224000E+03    5.330000E-17
1.225000E+03    5.270000E-17
1.226000E+03    5.208000E-17
1.227000E+03    5.153000E-17
1.228000E+03    5.061000E-17
1.229000E+03    5.037000E-17
1.230000E+03    4.989000E-17
1.231000E+03    4.925000E-17
1.232000E+03    4.859000E-17
1.233000E+03    4.842000E-17
1.234000E+03    4.819000E-17
1.235000E+03    4.744000E-17
1.236000E+03    4.715000E-17
1.237000E+03    4.687000E-17
1.238000E+03    4.651000E-17
1.239000E+03    4.606000E-17
1.240000E+03    4.576000E-17
1.241000E+03    4.525000E-17
1.242000E+03    4.518000E-17
1.243000E+03    4.454000E-17
1.244000E+03    4.436000E-17
1.245000E+03    4.418000E-17
1.246000E+03    4.382000E-17
1.247000E+03    4.341000E-17
1.248000E+03    4.322000E-17
1.249000E+03    4.280000E-17
1.250000E+03    4.239000E-17
1.251000E+03    4.220000E-17
1.252000E+03    4.173000E-17
1.253000E+03    4.158000E-17
1.254000E+03    4.141000E-17
1.255000E+03    4.141000E-17
1.256000E+03    4.092000E-17
1.257000E+03    4.061000E-17
1.258000E+03    4.043000E-17
1.259000E+03    4.016000E-17
1.260000E+03    4.026000E-17
1.261000E+03    3.968000E-17
1.262000E+03    3.945000E-17
1.263000E+03    3.926000E-17
1.264000E+03    3.903000E-17
1.265000E+03    3.868000E-17
1.266000E+03    3.862000E-17
1.267000E+03    3.828000E-17
1.268000E+03    3.778000E-17
1.269000E+03    3.819000E-17
1.270000E+03    3.805000E-17
1.271000E+03    3.750000E-17
1.272000E+03    3.736000E-17
1.273000E+03    3.728000E-17
1.274000E+03    3.724000E-17
1.275000E+03    3.696000E-17
1.276000E+03    3.673000E-17
1.277000E+03    3.662000E-17
1.278000E+03    3.653000E-17
1.279000E+03    3.641000E-17
1.280000E+03    3.654000E-17
1.281000E+03    3.645000E-17
1.282000E+03    3.625000E-17
1.283000E+03    3.607000E-17
1.284000E+03    3.584000E-17
1.285000E+03    3.591000E-17
1.286000E+03    3.569000E-17
1.287000E+03    3.559000E-17
1.288000E+03    3.566000E-17
1.289000E+03    3.534000E-17
1.290000E+03    3.538000E-17
1.291000E+03    3.529000E-17
1.292000E+03    3.512000E-17
1.293000E+03    3.514000E-17
1.294000E+03    3.460000E-17
1.295000E+03    3.480000E-17
1.296000E+03    3.468000E-17
1.297000E+03    3.467000E-17
1.298000E+03    3.437000E-17
1.299000E+03    3.411000E-17
1.300000E+03    3.397000E-17
1.301000E+03    3.395000E-17
1.302000E+03    3.366000E-17
1.303000E+03    3.370000E-17
1.304000E+03    3.332000E-17
1.305000E+03    3.317000E-17
1.306000E+03    3.319000E-17
1.307000E+03    3.285000E-17
1.308000E+03    3.270000E-17
1.309000E+03    3.265000E-17
1.310000E+03    3.248000E-17
1.311000E+03    3.230000E-17
1.312000E+03    3.233000E-17
1.313000E+03    3.208000E-17
1.314000E+03    3.207000E-17
1.315000E+03    3.189000E-17
1.316000E+03    3.164000E-17
1.317000E+03    3.154000E-17
1.318000E+03    3.154000E-17
1.319000E+03    3.109000E-17
1.320000E+03    3.118000E-17
1.321000E+03    3.113000E-17
1.322000E+03    3.104000E-17
1.323000E+03    3.067000E-17
1.324000E+03    3.061000E-17
1.325000E+03    3.069000E-17
1.326000E+03    3.057000E-17
1.327000E+03    3.040000E-17
1.328000E+03    3.005000E-17
1.329000E+03    3.026000E-17
1.330000E+03    3.030000E-17
1.331000E+03    3.016000E-17
1.332000E+03    3.000000E-17
1.333000E+03    2.981000E-17
1.334000E+03    2.988000E-17
1.335000E+03    3.001000E-17
1.336000E+03    2.979000E-17
1.337000E+03    2.959000E-17
1.338000E+03    2.955000E-17
1.339000E+03    2.957000E-17
1.340000E+03    2.951000E-17
1.341000E+03    2.952000E-17
1.342000E+03    2.960000E-17
1.343000E+03    2.966000E-17
1.344000E+03    2.970000E-17
1.345000E+03    2.966000E-17
1.346000E+03    2.976000E-17
1.347000E+03    2.998000E-17
1.348000E+03    2.973000E-17
1.349000E+03    3.000000E-17
1.350000E+03    3.016000E-17
1.351000E+03    3.023000E-17
1.352000E+03    3.036000E-17
1.353000E+03    3.047000E-17
1.354000E+03    3.047000E-17
1.355000E+03    3.059000E-17
1.356000E+03    3.077000E-17
1.357000E+03    3.091000E-17
1.358000E+03    3.102000E-17
1.359000E+03    3.114000E-17
1.360000E+03    3.127000E-17
1.361000E+03    3.128000E-17
1.362000E+03    3.142000E-17
1.363000E+03    3.165000E-17
1.364000E+03    3.184000E-17
1.365000E+03    3.193000E-17
1.366000E+03    3.213000E-17
1.367000E+03    3.225000E-17
1.368000E+03    3.261000E-17
1.369000E+03    3.277000E-17
1.370000E+03    3.309000E-17
1.371000E+03    3.317000E-17
1.372000E+03    3.342000E-17
1.373000E+03    3.367000E-17
1.374000E+03    3.394000E-17
1.375000E+03    3.417000E-17
1.376000E+03    3.443000E-17
1.377000E+03    3.457000E-17
1.378000E+03    3.482000E-17
1.379000E+03    3.505000E-17
1.380000E+03    3.548000E-17
1.381000E+03    3.565000E-17
1.382000E+03    3.600000E-17
1.383000E+03    3.631000E-17
1.384000E+03    3.649000E-17
1.385000E+03    3.692000E-17
1.386000E+03    3.710000E-17
1.387000E+03    3.742000E-17
1.388000E+03    3.773000E-17
1.389000E+03    3.794000E-17
1.390000E+03    3.822000E-17
1.391000E+03    3.861000E-17
1.392000E+03    3.912000E-17
1.393000E+03    3.927000E-17
1.394000E+03    3.972000E-17
1.395000E+03    3.988000E-17
1.396000E+03    4.017000E-17
1.397000E+03    4.059000E-17
1.398000E+03    4.088000E-17
1.399000E+03    4.119000E-17
1.400000E+03    4.145000E-17
1.401000E+03    4.184000E-17
1.402000E+03    4.209000E-17
1.403000E+03    4.241000E-17
1.404000E+03    4.300000E-17
1.405000E+03    4.319000E-17
1.406000E+03    4.344000E-17
1.407000E+03    4.370000E-17
1.408000E+03    4.400000E-17
1.409000E+03    4.434000E-17
1.410000E+03    4.483000E-17
1.411000E+03    4.495000E-17
1.412000E+03    4.540000E-17
1.413000E+03    4.560000E-17
1.414000E+03    4.587000E-17
1.415000E+03    4.616000E-17
1.416000E+03    4.642000E-17
1.417000E+03    4.681000E-17
1.418000E+03    4.698000E-17
1.419000E+03    4.723000E-17
1.420000E+03    4.736000E-17
1.421000E+03    4.759000E-17
1.422000E+03    4.792000E-17
1.423000E+03    4.822000E-17
1.424000E+03    4.850000E-17
1.425000E+03    4.870000E-17
1.426000E+03    4.845000E-17
1.427000E+03    4.874000E-17
1.428000E+03    4.888000E-17
1.429000E+03    4.918000E-17
1.430000E+03    4.946000E-17
1.431000E+03    4.941000E-17
1.432000E+03    4.922000E-17
1.433000E+03    4.916000E-17
1.434000E+03    4.915000E-17
1.435000E+03    4.937000E-17
1.436000E+03    4.944000E-17
1.437000E+03    4.978000E-17
1.438000E+03    4.977000E-17
1.439000E+03    4.949000E-17
1.440000E+03    4.891000E-17
1.441000E+03    4.908000E-17
1.442000E+03    4.847000E-17
1.443000E+03    4.958000E-17
1.444000E+03    4.970000E-17
1.445000E+03    4.950000E-17
1.446000E+03    4.899000E-17
1.447000E+03    4.871000E-17
1.448000E+03    4.762000E-17
1.449000E+03    4.749000E-17
1.450000E+03    4.856000E-17
1.451000E+03    5.002000E-17
1.452000E+03    4.926000E-17
1.453000E+03    4.742000E-17
1.454000E+03    4.641000E-17
1.455000E+03    4.638000E-17
1.456000E+03    4.700000E-17
1.457000E+03    4.846000E-17
1.458000E+03    4.795000E-17
1.459000E+03    4.640000E-17
1.460000E+03    4.460000E-17
1.461000E+03    4.333000E-17
1.462000E+03    4.339000E-17
1.463000E+03    4.405000E-17
1.464000E+03    4.528000E-17
1.465000E+03    4.731000E-17
1.466000E+03    4.703000E-17
1.467000E+03    4.570000E-17
1.468000E+03    4.413000E-17
1.469000E+03    4.193000E-17
1.470000E+03    4.124000E-17
1.471000E+03    4.068000E-17
1.472000E+03    4.039000E-17
1.473000E+03    4.101000E-17
1.474000E+03    4.221000E-17
1.475000E+03    4.302000E-17
1.476000E+03    4.407000E-17
1.477000E+03    4.495000E-17
1.478000E+03    4.501000E-17
1.479000E+03    4.394000E-17
