C2H6S2_mpi.abs
Air:  
Temp: 
Angstroms       XS
2.010000E+03    1.053000E-17
2.050000E+03    8.500000E-18
2.100000E+03    6.300000E-18
2.150000E+03    3.120000E-18
2.200000E+03    1.387000E-18
2.250000E+03    8.560000E-19
2.280000E+03    8.230000E-19
2.300000E+03    8.420000E-19
2.350000E+03    9.600000E-19
2.400000E+03    1.100000E-18
2.450000E+03    1.207000E-18
2.500000E+03    1.254000E-18
2.510000E+03    1.256000E-18
2.550000E+03    1.233000E-18
2.600000E+03    1.139000E-18
2.650000E+03    9.930000E-19
2.700000E+03    8.270000E-19
2.750000E+03    6.540000E-19
2.800000E+03    4.980000E-19
2.850000E+03    3.600000E-19
2.900000E+03    2.515000E-19
2.950000E+03    1.706000E-19
3.000000E+03    1.127000E-19
3.050000E+03    7.240000E-20
3.100000E+03    4.570000E-20
3.150000E+03    2.850000E-20
3.200000E+03    1.790000E-20
3.250000E+03    1.090000E-20
3.300000E+03    6.700000E-21
3.350000E+03    3.800000E-21
3.400000E+03    2.200000E-21
3.450000E+03    1.400000E-21
3.500000E+03    7.000000E-22
3.550000E+03    4.000000E-22
