C2N2
Air:  
Temp:           100K            300K         
Angstroms       XS
1.160000E+03    4.885970E-17    4.851310E-17
1.170000E+03    4.841220E-17    4.934860E-17
1.180000E+03    4.799000E-17    5.002790E-17
1.190000E+03    5.303630E-17    5.607100E-17
1.200000E+03    6.189550E-17    6.555960E-17
1.210000E+03    6.895910E-17    7.173240E-17
1.220000E+03    8.245640E-17    8.458600E-17
1.230000E+03    1.113760E-16    1.109690E-16
1.240000E+03    1.365770E-16    1.325090E-16
1.250000E+03    1.350150E-16    1.302210E-16
1.260000E+03    1.578220E-16    1.531530E-16
1.270000E+03    1.988870E-16    1.947400E-16
1.280000E+03    1.962470E-16    1.922770E-16
1.290000E+03    1.597510E-16    1.574690E-16
1.300000E+03    1.395790E-16    1.395060E-16
1.310000E+03    1.442410E-16    1.421120E-16
1.320000E+03    1.299780E-16    1.311910E-16
1.330000E+03    6.908220E-17    8.068700E-17
1.340000E+03    2.411070E-17    3.546770E-17
1.350000E+03    9.604980E-18    1.585040E-17
1.360000E+03    5.040970E-18    8.595990E-18
1.370000E+03    3.477610E-18    5.886510E-18
1.380000E+03    2.364600E-18    4.203630E-18
1.390000E+03    1.757140E-18    3.255890E-18
1.400000E+03    1.401210E-18    2.563390E-18
1.410000E+03    1.351500E-18    2.416140E-18
1.420000E+03    1.320720E-18    2.083640E-18
1.430000E+03    1.447550E-18    2.237850E-18
1.440000E+03    1.697810E-18    2.382410E-18
1.450000E+03    1.593280E-18    2.200280E-18
1.460000E+03    1.894270E-18    2.345610E-18
1.470000E+03    2.765120E-18    3.042960E-18
1.480000E+03    4.400600E-18    4.341380E-18
1.490000E+03    3.333940E-18    3.337760E-18
1.500000E+03    2.866980E-18    2.994830E-18
1.510000E+03    3.633960E-18    3.642220E-18
1.520000E+03    7.906500E-18    8.109330E-18
1.530000E+03    1.044250E-17    1.053910E-17
1.540000E+03    5.972970E-18    6.475610E-18
1.550000E+03    3.946030E-18    4.552410E-18
1.560000E+03    4.817670E-18    5.418530E-18
1.570000E+03    1.456150E-17    1.564850E-17
1.580000E+03    2.189660E-17    2.183040E-17
1.590000E+03    1.062070E-17    1.214060E-17
1.600000E+03    5.242100E-18    6.308220E-18
1.610000E+03    3.334440E-18    4.335390E-18
1.620000E+03    6.223570E-18    8.677410E-18
1.630000E+03    1.749520E-17    2.187920E-17
1.640000E+03    1.281220E-17    1.704860E-17
1.650000E+03    5.107530E-18    7.170770E-18
1.660000E+03    1.079630E-18    2.160070E-18
1.670000E+03    1.054850E-18    1.574340E-18
1.680000E+03    2.095920E-19    5.862360E-19
1.690000E+03    9.146020E-20    2.065260E-19
1.700000E+03    5.661920E-20    1.249360E-19
1.710000E+03    5.539080E-20    9.300530E-20
1.720000E+03    6.253810E-20    8.420910E-20
1.730000E+03    6.720810E-20    8.131590E-20
1.740000E+03    6.833980E-20    7.736580E-20
1.750000E+03    9.665130E-20    1.091210E-19
1.760000E+03    7.469300E-20    9.726790E-20
1.770000E+03    5.853500E-20    9.562720E-20
1.780000E+03    4.998200E-20    9.512550E-20
1.790000E+03    6.190770E-20    1.034470E-19
1.800000E+03    3.032860E-20    8.537990E-20
1.810000E+03    4.554960E-20    9.564800E-20
1.820000E+03    1.252150E-19    1.427580E-19
1.830000E+03    6.419500E-20    6.510870E-20
1.840000E+03    8.256600E-20    9.832340E-20
1.850000E+03    7.557380E-20    9.166700E-20
1.860000E+03    8.447890E-20    7.748620E-20
1.870000E+03    7.718290E-20    5.182090E-20
1.880000E+03    9.641750E-20    6.061020E-20
1.890000E+03    1.917080E-19    1.394110E-19
1.900000E+03    1.826410E-19    1.385120E-19
1.910000E+03    8.659800E-20    8.659800E-20
1.920000E+03    1.065330E-19    1.065330E-19
1.930000E+03    9.948740E-20    9.948740E-20
1.940000E+03    4.723660E-20    4.723660E-20
1.950000E+03    7.967790E-20    7.967790E-20
1.960000E+03    7.143840E-20    7.143840E-20
1.970000E+03    1.481560E-19    1.481560E-19
1.980000E+03    8.983260E-20    8.983260E-20
1.990000E+03    1.149580E-19    1.149580E-19
2.000000E+03    1.827010E-19    1.827010E-19
2.010000E+03    8.664920E-20    8.664920E-20
2.020000E+03    4.109460E-20    4.109460E-20
2.030000E+03    5.194100E-20    5.194100E-20
2.040000E+03    1.664220E-20    1.664220E-20
2.050000E+03    5.587690E-20    5.587690E-20
2.060000E+03    2.564730E-20    2.564730E-20
2.070000E+03    4.543400E-20    4.543400E-20
2.080000E+03    3.607860E-20    3.607860E-20
2.090000E+03    1.701990E-19    1.701990E-19
2.100000E+03    4.794730E-20    4.794730E-20
2.110000E+03    2.368060E-20    2.368060E-20
2.120000E+03    4.034520E-20    4.034520E-20
2.130000E+03    1.475970E-20    1.475970E-20
2.140000E+03    1.944830E-20    1.845990E-20
2.150000E+03    8.636240E-21    9.314680E-21
2.160000E+03    1.467980E-20    1.240400E-20
2.170000E+03    9.169300E-21    9.667930E-21
2.180000E+03    4.557920E-20    4.183010E-20
2.190000E+03    3.728590E-20    5.054160E-20
2.200000E+03    1.011240E-20    1.964040E-20
2.210000E+03    7.377780E-21    8.239870E-21
2.220000E+03    9.974780E-21    1.573280E-20
2.230000E+03    8.597140E-21    7.884690E-21
2.240000E+03    7.855900E-21    5.588960E-21
