C3H3 combination of Fahr et al 1997 and  https://pubs.acs.org/doi/10.1021/jp990468s  
Air:  
Temp:           300K
Angstroms       XS
2.300000E+03    4.000000E-18
2.350000E+03    8.200000E-18
2.380000E+03    1.100000E-17
2.400000E+03    1.100000E-17
2.410000E+03    1.100000E-17
2.420000E+03    1.200000E-17
2.430000E+03    1.100000E-17
2.440000E+03    7.500000E-18
2.460000E+03    6.300000E-18
2.490000E+03    3.200000E-18
2.520000E+03    2.700000E-18
2.550000E+03    1.900000E-18
2.575000E+03    1.800000E-18
2.600000E+03    1.200000E-18
2.650000E+03    1.000000E-18
2.700000E+03    6.000000E-19
2.750000E+03    6.000000E-19
2.800000E+03    3.900000E-19
3.000000E+03    1.100000E-19
3.010000E+03    2.845550E-19
3.020000E+03    4.875620E-19
3.030000E+03    8.224620E-19
3.040000E+03    1.176740E-18
3.050000E+03    1.470090E-18
3.060000E+03    1.689670E-18
3.070000E+03    1.894570E-18
3.080000E+03    1.781530E-18
3.090000E+03    2.189350E-18
3.100000E+03    2.503410E-18
3.110000E+03    2.339110E-18
3.120000E+03    3.176950E-18
3.130000E+03    2.736660E-18
3.140000E+03    2.362310E-18
3.150000E+03    2.472330E-18
3.160000E+03    2.605540E-18
3.170000E+03    2.258680E-18
3.180000E+03    2.383160E-18
3.190000E+03    2.913610E-18
3.200000E+03    2.519470E-18
3.210000E+03    2.969830E-18
3.220000E+03    3.797140E-18
3.230000E+03    2.600960E-18
3.240000E+03    2.229690E-18
3.250000E+03    2.624680E-18
3.260000E+03    2.685480E-18
3.270000E+03    2.124670E-18
3.280000E+03    2.044700E-18
3.290000E+03    2.823270E-18
3.300000E+03    2.819700E-18
3.310000E+03    2.346080E-18
3.320000E+03    3.817110E-18
3.330000E+03    2.432120E-18
3.340000E+03    1.803300E-18
3.350000E+03    2.233450E-18
3.360000E+03    2.128210E-18
3.370000E+03    1.711000E-18
3.380000E+03    1.226340E-18
3.390000E+03    1.375550E-18
3.400000E+03    1.440580E-18
3.410000E+03    1.131860E-18
3.420000E+03    1.054640E-18
3.430000E+03    1.338160E-18
3.440000E+03    9.719860E-19
3.450000E+03    9.368020E-19
3.460000E+03    8.691750E-19
3.470000E+03    8.285770E-19
3.480000E+03    0.000000E+00
