C4H4
Air:  
Temp:           100K            300K            1000K 
Angstroms       XS
1.600000E+03    4.305590E-17    3.586680E-17    3.428270E-17
1.610000E+03    3.680320E-17    2.896800E-17    2.518680E-17
1.620000E+03    4.323080E-17    3.319300E-17    2.823570E-17
1.630000E+03    6.186730E-17    4.528220E-17    3.748450E-17
1.640000E+03    4.540040E-17    3.507390E-17    2.950900E-17
1.650000E+03    3.610320E-17    2.821350E-17    2.416220E-17
1.660000E+03    4.883920E-17    3.554890E-17    2.955040E-17
1.670000E+03    6.219800E-17    4.277470E-17    3.491680E-17
1.680000E+03    6.104360E-17    4.280880E-17    3.520900E-17
1.690000E+03    4.398780E-17    3.384730E-17    2.859220E-17
1.700000E+03    3.628320E-17    2.879710E-17    2.459770E-17
1.710000E+03    3.043940E-17    2.529750E-17    2.207640E-17
1.720000E+03    2.766700E-17    2.287790E-17    1.995640E-17
1.730000E+03    1.339730E-17    1.204140E-17    1.100500E-17
1.740000E+03    8.536700E-18    7.257970E-18    6.785650E-18
1.750000E+03    7.503730E-18    6.063600E-18    5.532690E-18
1.760000E+03    7.105150E-18    5.703710E-18    5.136000E-18
1.770000E+03    6.981310E-18    5.510610E-18    4.962800E-18
1.780000E+03    6.942590E-18    5.442770E-18    4.932410E-18
1.790000E+03    6.868250E-18    5.471060E-18    4.913430E-18
1.800000E+03    6.653650E-18    5.324970E-18    4.812470E-18
1.810000E+03    6.342560E-18    5.081610E-18    4.694560E-18
1.820000E+03    6.129740E-18    4.968750E-18    4.535980E-18
1.830000E+03    6.067370E-18    4.917910E-18    4.496120E-18
1.840000E+03    6.106420E-18    4.875300E-18    4.475350E-18
1.850000E+03    6.132380E-18    4.950610E-18    4.508770E-18
1.860000E+03    6.410030E-18    5.113620E-18    4.604010E-18
1.870000E+03    6.769440E-18    5.318070E-18    4.778120E-18
1.880000E+03    7.224860E-18    5.667810E-18    5.004440E-18
1.890000E+03    8.023880E-18    6.268460E-18    5.434390E-18
1.900000E+03    8.943240E-18    6.847830E-18    5.901660E-18
1.910000E+03    9.416870E-18    7.199170E-18    6.170450E-18
1.920000E+03    1.001870E-17    7.714180E-18    6.592480E-18
1.930000E+03    1.111200E-17    8.440950E-18    7.183880E-18
1.940000E+03    1.209940E-17    9.167140E-18    7.800240E-18
1.950000E+03    1.316880E-17    1.008960E-17    8.506490E-18
1.960000E+03    1.367910E-17    1.141240E-17    9.625430E-18
1.970000E+03    1.367320E-17    1.197880E-17    1.064800E-17
1.980000E+03    1.370130E-17    1.210350E-17    1.098820E-17
1.990000E+03    1.392280E-17    1.241990E-17    1.138050E-17
2.000000E+03    1.509730E-17    1.338600E-17    1.239520E-17
2.010000E+03    1.639000E-17    1.445140E-17    1.334010E-17
2.020000E+03    1.711670E-17    1.524220E-17    1.413330E-17
2.030000E+03    1.932950E-17    1.709090E-17    1.578710E-17
2.040000E+03    2.249210E-17    1.957140E-17    1.791610E-17
2.050000E+03    2.364810E-17    2.049010E-17    1.866290E-17
2.060000E+03    2.237810E-17    1.962420E-17    1.802400E-17
2.070000E+03    2.070830E-17    1.849200E-17    1.720910E-17
2.080000E+03    2.163180E-17    1.907300E-17    1.762570E-17
2.090000E+03    2.221700E-17    1.959210E-17    1.806370E-17
2.100000E+03    2.223200E-17    1.989410E-17    1.840890E-17
2.110000E+03    2.451060E-17    2.186930E-17    2.019900E-17
2.120000E+03    2.825880E-17    2.469920E-17    2.268310E-17
2.130000E+03    3.100670E-17    2.635480E-17    2.392690E-17
2.140000E+03    2.822790E-17    2.422430E-17    2.214880E-17
2.150000E+03    2.139040E-17    1.947600E-17    1.820570E-17
2.160000E+03    1.910620E-17    1.735580E-17    1.631150E-17
2.170000E+03    1.775660E-17    1.601990E-17    1.505750E-17
2.180000E+03    1.638710E-17    1.493090E-17    1.403270E-17
2.190000E+03    1.621600E-17    1.479400E-17    1.394890E-17
2.200000E+03    1.693090E-17    1.547680E-17    1.451430E-17
2.210000E+03    1.969250E-17    1.741110E-17    1.606050E-17
2.220000E+03    2.132760E-17    1.829940E-17    1.664410E-17
2.230000E+03    1.900700E-17    1.625270E-17    1.477550E-17
2.240000E+03    1.251550E-17    1.139490E-17    1.077090E-17
2.250000E+03    7.614010E-18    7.533020E-18    7.364020E-18
2.260000E+03    4.352400E-18    4.688640E-18    4.804990E-18
2.270000E+03    2.963730E-18    3.218020E-18    3.336670E-18
2.280000E+03    2.280190E-18    2.413540E-18    2.450510E-18
2.290000E+03    1.350760E-18    1.563780E-18    1.677620E-18
2.300000E+03    1.045300E-18    1.203550E-18    1.258420E-18
2.310000E+03    9.552780E-19    1.012680E-18    1.055110E-18
2.320000E+03    7.048570E-19    7.817700E-19    8.371530E-19
2.330000E+03    5.544870E-19    6.311640E-19    6.516970E-19
2.340000E+03    6.233620E-19    6.227050E-19    6.477900E-19
2.350000E+03    4.656830E-19    5.092480E-19    5.204630E-19
2.360000E+03    3.653440E-19    3.967950E-19    4.104180E-19
2.370000E+03    4.337050E-19    4.492000E-19    4.520090E-19
2.380000E+03    3.577550E-19    3.776120E-19    3.415790E-19
2.390000E+03    1.965630E-19    2.326470E-19    2.569810E-19
