C4N2
Air:  
Temp:           100K            300K            1000K 
Angstroms       XS
1.150000E+03    2.819860E-17    2.808640E-17    2.808640E-17
1.160000E+03    2.315470E-17    2.388680E-17    2.388680E-17
1.170000E+03    2.164040E-17    2.315390E-17    2.315390E-17
1.180000E+03    4.314540E-17    4.239550E-17    4.239550E-17
1.190000E+03    2.991460E-17    3.217830E-17    3.217830E-17
1.200000E+03    1.565150E-17    1.853490E-17    1.853490E-17
1.210000E+03    3.622570E-17    3.614520E-17    3.614520E-17
1.220000E+03    4.003730E-17    3.932310E-17    3.932310E-17
1.230000E+03    1.322720E-17    1.544590E-17    1.544590E-17
1.240000E+03    7.721280E-18    1.074290E-17    1.074290E-17
1.250000E+03    4.302320E-18    7.800980E-18    7.800980E-18
1.260000E+03    3.245760E-18    6.485500E-18    6.485500E-18
1.270000E+03    5.820070E-18    7.858190E-18    7.858190E-18
1.280000E+03    5.786820E-18    6.880120E-18    6.880120E-18
1.290000E+03    5.949050E-18    7.159470E-18    7.159470E-18
1.300000E+03    4.663020E-18    6.445610E-18    6.445610E-18
1.310000E+03    6.481220E-18    8.747920E-18    8.747920E-18
1.320000E+03    8.304020E-18    9.609950E-18    9.609950E-18
1.330000E+03    7.789060E-18    9.765240E-18    9.765240E-18
1.340000E+03    5.849400E-18    7.310850E-18    7.310850E-18
1.350000E+03    6.601950E-18    7.896040E-18    7.896040E-18
1.360000E+03    8.113210E-18    9.746850E-18    9.746850E-18
1.370000E+03    1.088500E-17    1.209710E-17    1.209710E-17
1.380000E+03    1.555390E-17    1.654090E-17    1.654090E-17
1.390000E+03    1.925900E-17    2.026980E-17    2.026980E-17
1.400000E+03    2.265710E-17    2.396750E-17    2.396750E-17
1.410000E+03    2.840380E-17    2.959980E-17    2.959980E-17
1.420000E+03    3.919490E-17    4.111040E-17    4.111040E-17
1.430000E+03    5.416690E-17    5.531940E-17    5.531940E-17
1.440000E+03    6.311550E-17    6.361150E-17    6.361150E-17
1.450000E+03    7.470410E-17    7.499890E-17    7.499890E-17
1.460000E+03    8.538010E-17    8.447010E-17    8.447010E-17
1.470000E+03    1.033230E-16    1.022830E-16    1.022830E-16
1.480000E+03    1.279740E-16    1.197980E-16    1.197980E-16
1.490000E+03    1.673450E-16    1.492440E-16    1.492440E-16
1.500000E+03    2.076460E-16    1.796260E-16    1.796260E-16
1.510000E+03    1.779930E-16    1.640520E-16    1.640520E-16
1.520000E+03    1.561110E-16    1.454520E-16    1.454520E-16
1.530000E+03    1.969980E-16    1.784530E-16    1.784530E-16
1.540000E+03    3.095620E-16    2.709180E-16    2.709180E-16
1.550000E+03    4.459950E-16    3.800910E-16    3.800910E-16
1.560000E+03    3.195830E-16    3.017330E-16    3.017330E-16
1.570000E+03    2.009730E-16    2.032650E-16    2.032650E-16
1.580000E+03    1.812770E-16    1.791840E-16    1.791840E-16
1.590000E+03    3.106370E-16    2.774770E-16    2.774770E-16
1.600000E+03    5.160750E-16    4.393760E-16    4.393760E-16
1.610000E+03    4.821530E-16    4.318720E-16    4.318720E-16
1.620000E+03    1.809310E-16    2.018230E-16    2.018230E-16
1.630000E+03    6.807030E-17    8.735040E-17    8.735040E-17
1.640000E+03    4.057750E-17    5.156470E-17    5.156470E-17
1.650000E+03    3.890880E-17    4.533700E-17    4.533700E-17
1.660000E+03    3.745280E-17    4.002890E-17    4.002890E-17
1.670000E+03    2.299920E-17    2.612770E-17    2.612770E-17
1.680000E+03    1.292380E-17    1.720030E-17    1.720030E-17
1.690000E+03    9.978210E-18    1.405510E-17    1.405510E-17
1.700000E+03    1.465280E-17    1.655060E-17    1.655060E-17
1.710000E+03    2.298230E-17    2.397720E-17    2.397720E-17
1.720000E+03    2.558020E-17    2.585910E-17    2.585910E-17
1.730000E+03    1.365350E-17    1.595780E-17    1.595780E-17
1.740000E+03    6.663130E-18    8.706340E-18    8.706340E-18
1.750000E+03    3.671220E-18    5.051240E-18    5.051240E-18
1.760000E+03    2.578510E-18    3.148750E-18    3.148750E-18
1.770000E+03    1.603380E-18    1.956660E-18    1.956660E-18
1.780000E+03    1.289300E-18    1.420990E-18    1.420990E-18
1.790000E+03    8.640540E-19    1.020620E-18    1.020620E-18
1.800000E+03    8.154820E-19    9.208250E-19    9.208250E-19
1.810000E+03    7.533880E-19    8.487580E-19    8.487580E-19
1.820000E+03    7.799780E-19    7.437620E-19    7.437620E-19
1.830000E+03    6.224230E-19    5.658460E-19    5.658460E-19
1.840000E+03    4.478170E-19    4.234690E-19    4.234690E-19
1.850000E+03    5.142210E-19    4.403700E-19    4.403700E-19
1.860000E+03    4.334190E-19    3.627600E-19    3.627600E-19
1.870000E+03    4.486540E-19    3.800470E-19    3.800470E-19
1.880000E+03    3.515280E-19    2.910450E-19    2.910450E-19
1.890000E+03    3.136730E-19    2.603440E-19    2.603440E-19
1.900000E+03    2.754220E-19    2.837250E-19    2.837250E-19
1.910000E+03    2.637240E-19    2.176840E-19    2.176840E-19
1.920000E+03    2.907490E-19    1.619110E-19    1.619110E-19
1.930000E+03    2.987770E-19    1.295080E-19    1.295080E-19
1.940000E+03    3.634400E-19    1.037610E-19    1.037890E-19
1.950000E+03    4.320670E-20    6.751170E-20    7.132320E-20
1.960000E+03    2.660760E-20    4.572520E-20    5.214490E-20
1.970000E+03    2.507400E-20    4.293500E-20    4.567100E-20
1.980000E+03    1.687200E-20    3.470000E-20    3.840450E-20
