C6H6
Air:  
Temp:           100K            300K      
Angstroms       XS
7.000000E+01    8.799320E-19    8.799320E-19
8.000000E+01    1.156680E-18    1.156680E-18
9.000000E+01    1.478840E-18    1.478840E-18
1.000000E+02    1.839050E-18    1.839050E-18
1.100000E+02    2.233160E-18    2.233160E-18
1.200000E+02    2.695450E-18    2.695450E-18
1.300000E+02    3.261210E-18    3.261210E-18
1.400000E+02    3.928870E-18    3.928870E-18
1.500000E+02    4.801250E-18    4.801250E-18
1.600000E+02    5.764680E-18    5.764680E-18
1.700000E+02    6.830940E-18    6.830940E-18
1.800000E+02    7.949940E-18    7.949940E-18
1.900000E+02    9.161750E-18    9.161750E-18
2.000000E+02    1.032520E-17    1.032520E-17
2.100000E+02    1.165380E-17    1.165380E-17
2.200000E+02    1.325440E-17    1.325440E-17
2.300000E+02    1.561810E-17    1.561810E-17
2.400000E+02    1.734730E-17    1.734730E-17
2.500000E+02    1.910920E-17    1.910920E-17
2.600000E+02    2.133810E-17    2.133810E-17
2.700000E+02    2.300000E-17    2.300000E-17
2.800000E+02    2.532350E-17    2.532350E-17
2.900000E+02    2.744160E-17    2.744160E-17
3.000000E+02    2.946630E-17    2.946630E-17
3.100000E+02    3.229620E-17    3.229620E-17
3.200000E+02    3.459630E-17    3.459630E-17
3.300000E+02    3.671230E-17    3.671230E-17
3.400000E+02    4.013650E-17    4.013650E-17
3.500000E+02    4.203010E-17    4.203010E-17
3.600000E+02    4.456610E-17    4.456610E-17
3.700000E+02    4.708430E-17    4.708430E-17
3.800000E+02    4.988660E-17    4.988660E-17
3.900000E+02    5.285690E-17    5.285690E-17
4.000000E+02    5.557550E-17    5.557550E-17
4.100000E+02    5.935930E-17    5.935930E-17
4.200000E+02    6.278020E-17    6.278020E-17
4.300000E+02    6.635920E-17    6.635920E-17
4.400000E+02    7.040590E-17    7.040590E-17
4.500000E+02    7.375580E-17    7.375580E-17
4.600000E+02    7.723370E-17    7.723370E-17
4.700000E+02    8.036120E-17    8.036120E-17
4.800000E+02    8.442180E-17    8.442180E-17
4.900000E+02    8.795020E-17    8.795020E-17
5.000000E+02    9.243960E-17    9.243960E-17
5.100000E+02    9.597820E-17    9.597820E-17
5.200000E+02    9.932090E-17    9.932090E-17
5.300000E+02    1.035230E-16    1.035230E-16
5.400000E+02    1.058440E-16    1.058440E-16
5.500000E+02    1.099330E-16    1.099330E-16
5.600000E+02    1.138570E-16    1.138570E-16
5.700000E+02    1.180890E-16    1.180890E-16
5.800000E+02    1.223500E-16    1.223500E-16
5.900000E+02    1.270110E-16    1.270110E-16
6.000000E+02    1.300650E-16    1.300650E-16
6.100000E+02    1.340830E-16    1.340830E-16
6.200000E+02    1.373450E-16    1.373450E-16
6.300000E+02    1.389990E-16    1.389990E-16
6.400000E+02    1.427990E-16    1.427990E-16
6.500000E+02    1.450210E-16    1.450210E-16
6.600000E+02    1.477960E-16    1.477960E-16
6.700000E+02    1.507190E-16    1.507190E-16
6.800000E+02    1.530480E-16    1.530480E-16
6.900000E+02    1.548010E-16    1.548010E-16
7.000000E+02    1.532300E-16    1.532300E-16
7.100000E+02    1.499240E-16    1.499240E-16
7.200000E+02    1.458010E-16    1.458010E-16
7.300000E+02    1.411870E-16    1.411870E-16
7.400000E+02    1.387840E-16    1.387840E-16
7.500000E+02    1.370750E-16    1.370750E-16
7.600000E+02    1.352130E-16    1.352130E-16
7.700000E+02    1.319980E-16    1.319980E-16
7.800000E+02    1.321890E-16    1.321890E-16
7.900000E+02    1.282280E-16    1.282280E-16
8.000000E+02    1.221480E-16    1.221480E-16
8.100000E+02    1.159710E-16    1.159710E-16
8.200000E+02    1.083570E-16    1.083570E-16
8.300000E+02    1.015100E-16    1.015100E-16
8.400000E+02    9.851440E-17    9.851440E-17
8.500000E+02    9.387630E-17    9.387630E-17
8.600000E+02    8.421060E-17    8.421060E-17
8.700000E+02    8.110760E-17    8.110760E-17
8.800000E+02    7.933210E-17    7.933210E-17
8.900000E+02    7.674070E-17    7.674070E-17
9.000000E+02    7.464510E-17    7.464510E-17
9.100000E+02    7.430390E-17    7.430390E-17
9.200000E+02    7.492310E-17    7.492310E-17
9.300000E+02    7.763540E-17    7.763540E-17
9.400000E+02    8.149370E-17    8.149370E-17
9.500000E+02    8.151980E-17    8.151980E-17
9.600000E+02    7.527560E-17    7.527560E-17
9.700000E+02    7.483910E-17    7.483910E-17
9.800000E+02    7.732690E-17    7.732690E-17
9.900000E+02    7.585990E-17    7.585990E-17
1.000000E+03    7.704720E-17    7.704720E-17
1.010000E+03    8.166500E-17    8.166500E-17
1.020000E+03    8.062040E-17    8.062040E-17
1.030000E+03    7.015780E-17    7.015780E-17
1.040000E+03    6.195040E-17    6.195040E-17
1.050000E+03    6.039930E-17    6.039930E-17
