C8H2
Air:  
Temp:           100K            300K        
Angstroms       XS
1.200000E+03    1.376020E-16    1.376020E-16
1.210000E+03    1.376020E-16    1.376020E-16
1.220000E+03    1.376020E-16    1.376020E-16
1.230000E+03    1.376020E-16    1.376020E-16
1.240000E+03    1.376020E-16    1.376020E-16
1.250000E+03    1.376020E-16    1.376020E-16
1.260000E+03    1.376020E-16    1.376020E-16
1.270000E+03    1.376020E-16    1.376020E-16
1.280000E+03    1.376020E-16    1.376020E-16
1.290000E+03    1.376020E-16    1.376020E-16
1.300000E+03    1.376020E-16    1.376020E-16
1.310000E+03    1.376020E-16    1.376020E-16
1.320000E+03    1.376020E-16    1.376020E-16
1.330000E+03    1.376020E-16    1.376020E-16
1.340000E+03    1.376020E-16    1.376020E-16
1.350000E+03    1.376020E-16    1.376020E-16
1.360000E+03    1.376020E-16    1.376020E-16
1.370000E+03    1.376020E-16    1.376020E-16
1.380000E+03    1.376020E-16    1.376020E-16
1.390000E+03    1.376020E-16    1.376020E-16
1.400000E+03    1.376020E-16    1.376020E-16
1.410000E+03    1.376020E-16    1.376020E-16
1.420000E+03    1.376020E-16    1.376020E-16
1.430000E+03    1.376020E-16    1.376020E-16
1.440000E+03    1.376020E-16    1.376020E-16
1.450000E+03    1.376020E-16    1.376020E-16
1.460000E+03    1.376020E-16    1.376020E-16
1.470000E+03    1.376020E-16    1.376020E-16
1.480000E+03    1.376020E-16    1.376020E-16
1.490000E+03    1.376020E-16    1.376020E-16
1.500000E+03    1.376020E-16    1.376020E-16
1.510000E+03    1.376020E-16    1.376020E-16
1.520000E+03    1.376020E-16    1.376020E-16
1.530000E+03    1.376020E-16    1.376020E-16
1.540000E+03    1.376020E-16    1.376020E-16
1.550000E+03    1.376020E-16    1.376020E-16
1.560000E+03    1.376020E-16    1.376020E-16
1.570000E+03    1.376020E-16    1.376020E-16
1.580000E+03    1.376020E-16    1.376020E-16
1.590000E+03    1.376020E-16    1.376020E-16
1.600000E+03    1.376020E-16    1.376020E-16  
1.610000E+03    1.372960E-16    1.372960E-16  
1.620000E+03    1.398470E-16    1.398470E-16  
1.630000E+03    1.423250E-16    1.423250E-16  
1.640000E+03    1.449040E-16    1.449040E-16  
1.650000E+03    1.493900E-16    1.493900E-16  
1.660000E+03    1.400350E-16    1.400350E-16  
1.670000E+03    1.407330E-16    1.407330E-16  
1.680000E+03    1.406640E-16    1.406640E-16  
1.690000E+03    1.439490E-16    1.439490E-16  
1.700000E+03    1.657400E-16    1.657400E-16  
1.710000E+03    1.678450E-16    1.678450E-16  
1.720000E+03    1.475240E-16    1.475240E-16  
1.730000E+03    1.572450E-16    1.572450E-16  
1.740000E+03    1.491880E-16    1.491880E-16  
1.750000E+03    1.595620E-16    1.595620E-16  
1.760000E+03    1.877110E-16    1.877110E-16  
1.770000E+03    1.813740E-16    1.813740E-16  
1.780000E+03    1.673780E-16    1.673780E-16  
1.790000E+03    1.664190E-16    1.664190E-16  
1.800000E+03    1.891570E-16    1.891570E-16  
1.810000E+03    1.829770E-16    1.829770E-16  
1.820000E+03    2.258450E-16    2.258450E-16  
1.830000E+03    3.251540E-16    3.251540E-16  
1.840000E+03    2.921410E-16    2.921410E-16  
1.850000E+03    1.964990E-16    1.964990E-16  
1.860000E+03    1.903480E-16    1.903480E-16  
1.870000E+03    2.157600E-16    2.157600E-16  
1.880000E+03    2.401000E-16    2.178210E-16  
1.890000E+03    3.075250E-16    2.926530E-16  
1.900000E+03    6.457610E-16    5.777770E-16  
1.910000E+03    5.819370E-16    4.879650E-16  
1.920000E+03    2.356190E-16    2.501120E-16  
1.930000E+03    1.051060E-16    1.321170E-16  
1.940000E+03    9.992780E-17    1.550960E-16  
1.950000E+03    1.384190E-16    1.967310E-16  
1.960000E+03    2.124760E-16    2.990220E-16  
1.970000E+03    4.744790E-16    5.657260E-16  
1.980000E+03    1.437880E-15    1.243650E-15  
1.990000E+03    1.131470E-15    1.039540E-15  
2.000000E+03    3.483620E-16    4.226990E-16  
2.010000E+03    1.177110E-16    1.898410E-16  
2.020000E+03    9.584290E-17    1.502750E-16  
2.030000E+03    1.591230E-16    1.505460E-16  
2.040000E+03    2.149580E-16    1.857640E-16  
2.050000E+03    4.161090E-16    3.777110E-16  
2.060000E+03    1.260310E-15    1.131370E-15  
2.070000E+03    2.778190E-15    2.266890E-15  
2.080000E+03    1.160750E-15    1.214990E-15  
2.090000E+03    3.447870E-16    4.173370E-16  
2.100000E+03    1.506660E-16    1.633690E-16  
2.110000E+03    1.001840E-16    7.745570E-17  
2.120000E+03    9.724160E-17    6.359850E-17  
2.130000E+03    9.724160E-17    6.359850E-17 
2.140000E+03    9.724160E-17    6.359850E-17 
2.150000E+03    9.724160E-17    6.359850E-17 
2.160000E+03    9.724160E-17    6.359850E-17 
2.170000E+03    9.724160E-17    6.359850E-17 
2.180000E+03    9.724160E-17    6.359850E-17 
2.190000E+03    9.724160E-17    6.359850E-17 
2.200000E+03    9.724160E-17    6.359850E-17 
2.210000E+03    9.724160E-17    6.359850E-17 
2.220000E+03    9.724160E-17    6.359850E-17 
2.230000E+03    9.724160E-17    6.359850E-17 
2.240000E+03    9.724160E-17    6.359850E-17 
2.250000E+03    9.724160E-17    6.359850E-17 
2.260000E+03    9.724160E-17    6.359850E-17 
2.270000E+03    9.724160E-17    6.359850E-17 
2.280000E+03    9.724160E-17    6.359850E-17 
2.290000E+03    9.724160E-17    6.359850E-17 
2.300000E+03    9.724160E-17    6.359850E-17 
2.310000E+03    9.724160E-17    6.359850E-17 
2.320000E+03    9.724160E-17    6.359850E-17 
2.330000E+03    9.724160E-17    6.359850E-17 
2.340000E+03    9.724160E-17    6.359850E-17 
2.350000E+03    9.724160E-17    6.359850E-17 
2.360000E+03    9.724160E-17    6.359850E-17 
2.370000E+03    9.724160E-17    6.359850E-17 
2.380000E+03    9.724160E-17    6.359850E-17 
2.390000E+03    9.724160E-17    6.359850E-17 
2.400000E+03    9.724160E-17    6.359850E-17 
2.410000E+03    9.724160E-17    6.359850E-17 
2.420000E+03    9.724160E-17    6.359850E-17 
2.430000E+03    9.724160E-17    6.359850E-17 
2.440000E+03    9.724160E-17    6.359850E-17 
2.450000E+03    9.724160E-17    6.359850E-17 
2.460000E+03    9.724160E-17    6.359850E-17 
2.470000E+03    9.724160E-17    6.359850E-17 
2.480000E+03    9.724160E-17    6.359850E-17 
2.490000E+03    9.724160E-17    6.359850E-17 
2.500000E+03    9.724160E-17    6.359850E-17 
2.510000E+03    9.724160E-17    6.359850E-17 
2.520000E+03    9.724160E-17    6.359850E-17 
2.530000E+03    9.724160E-17    6.359850E-17 
2.540000E+03    9.724160E-17    6.359850E-17 
2.550000E+03    9.724160E-17    6.359850E-17 
2.560000E+03    9.724160E-17    6.359850E-17 
2.570000E+03    9.724160E-17    6.359850E-17 
2.580000E+03    9.724160E-17    6.359850E-17 
2.590000E+03    9.724160E-17    6.359850E-17 
2.600000E+03    9.724160E-17    6.359850E-17 
2.610000E+03    9.724160E-17    6.359850E-17 
2.620000E+03    9.724160E-17    6.359850E-17 
2.630000E+03    9.724160E-17    6.359850E-17 
2.640000E+03    9.724160E-17    6.359850E-17 
2.650000E+03    9.724160E-17    6.359850E-17 
2.660000E+03    9.724160E-17    6.359850E-17 
2.670000E+03    9.724160E-17    6.359850E-17 
2.680000E+03    9.724160E-17    6.359850E-17 
