CCL4_JPL06.abs
Air:  
Temp: 
Angstroms       XS
1.740000E+03    9.560000E-18
1.760000E+03    1.010000E-17
1.780000E+03    9.825000E-18
1.800000E+03    8.060000E-18
1.820000E+03    6.470000E-18
1.840000E+03    4.785000E-18
1.860000E+03    3.385000E-18
1.880000E+03    2.270000E-18
1.900000E+03    1.455000E-18
1.920000E+03    9.960000E-19
1.940000E+03    7.670000E-19
1.960000E+03    6.950000E-19
1.980000E+03    6.800000E-19
2.000000E+03    6.600000E-19
2.020000E+03    6.380000E-19
2.040000E+03    6.100000E-19
2.060000E+03    5.700000E-19
2.080000E+03    5.250000E-19
2.100000E+03    4.690000E-19
2.120000E+03    4.100000E-19
2.140000E+03    3.450000E-19
2.160000E+03    2.780000E-19
2.180000E+03    2.210000E-19
2.200000E+03    1.750000E-19
2.220000E+03    1.360000E-19
2.240000E+03    1.020000E-19
2.260000E+03    7.600000E-20
2.280000E+03    5.650000E-20
2.300000E+03    4.280000E-20
2.320000E+03    3.040000E-20
2.340000E+03    2.200000E-20
2.360000E+03    1.600000E-20
2.380000E+03    1.160000E-20
2.400000E+03    8.300000E-21
2.420000E+03    5.900000E-21
2.440000E+03    4.130000E-21
2.460000E+03    2.900000E-21
2.480000E+03    2.100000E-21
2.500000E+03    1.480000E-21
2.550000E+03    6.610000E-22
2.600000E+03    2.530000E-22
2.650000E+03    1.260000E-22
2.700000E+03    6.100000E-23
2.750000E+03    2.390000E-23
