CH2CCH2
Air:  
Temp:           100K            300K            1000K 
Angstroms       XS
3.500000E+02    2.166230E-17    2.166230E-17    2.166230E-17
3.600000E+02    2.302970E-17    2.302970E-17    2.302970E-17
3.700000E+02    2.421810E-17    2.421810E-17    2.421810E-17
3.800000E+02    2.548860E-17    2.548860E-17    2.548860E-17
3.900000E+02    2.670170E-17    2.670170E-17    2.670170E-17
4.000000E+02    2.851050E-17    2.851050E-17    2.851050E-17
4.100000E+02    2.991960E-17    2.991960E-17    2.991960E-17
4.200000E+02    3.216460E-17    3.216460E-17    3.216460E-17
4.300000E+02    3.393320E-17    3.393320E-17    3.393320E-17
4.400000E+02    3.563940E-17    3.563940E-17    3.563940E-17
4.500000E+02    3.734560E-17    3.734560E-17    3.734560E-17
4.600000E+02    3.856050E-17    3.856050E-17    3.856050E-17
4.700000E+02    3.989970E-17    3.989970E-17    3.989970E-17
4.800000E+02    4.150100E-17    4.150100E-17    4.150100E-17
4.900000E+02    4.283640E-17    4.283640E-17    4.283640E-17
5.000000E+02    4.478430E-17    4.478430E-17    4.478430E-17
5.100000E+02    4.686940E-17    4.686940E-17    4.686940E-17
5.200000E+02    4.918030E-17    4.918030E-17    4.918030E-17
5.300000E+02    5.163450E-17    5.163450E-17    5.163450E-17
5.400000E+02    5.423500E-17    5.423500E-17    5.423500E-17
5.500000E+02    5.698100E-17    5.698100E-17    5.698100E-17
5.600000E+02    5.978230E-17    5.978230E-17    5.978230E-17
5.700000E+02    6.256310E-17    6.256310E-17    6.256310E-17
5.800000E+02    6.583210E-17    6.583210E-17    6.583210E-17
5.900000E+02    6.807500E-17    6.807500E-17    6.807500E-17
6.000000E+02    7.007460E-17    7.007460E-17    7.007460E-17
6.100000E+02    7.106300E-17    7.106300E-17    7.106300E-17
6.200000E+02    7.177060E-17    7.177060E-17    7.177060E-17
6.300000E+02    7.189470E-17    7.189470E-17    7.189470E-17
6.400000E+02    7.240870E-17    7.240870E-17    7.240870E-17
6.500000E+02    7.195820E-17    7.195820E-17    7.195820E-17
6.600000E+02    7.117450E-17    7.117450E-17    7.117450E-17
