Nick Wogan MPI script from MPI data base, Rabalais et al 1971, Laufer and Keller 1971
Air:  
Temp:           300K
Angstroms       XS
1.940000E+03    0.000000E+00
1.951500E+03    5.870000E-19
1.956700E+03    5.990000E-19
1.961900E+03    6.120000E-19
1.966700E+03    6.450000E-19
1.971000E+03    6.900000E-19
1.974900E+03    7.370000E-19
1.978100E+03    7.940000E-19
1.980800E+03    8.590000E-19
1.983100E+03    9.270000E-19
1.985600E+03    9.890000E-19
1.988100E+03    1.050000E-18
1.990900E+03    1.110000E-18
1.993200E+03    1.160000E-18
1.994300E+03    1.170000E-18
1.998100E+03    1.160000E-18
2.002800E+03    1.130000E-18
2.008300E+03    1.150000E-18
2.013000E+03    1.180000E-18
2.017100E+03    1.230000E-18
2.018300E+03    1.260000E-18
2.020600E+03    1.330000E-18
2.022700E+03    1.410000E-18
2.023900E+03    1.490000E-18
2.025300E+03    1.560000E-18
2.026500E+03    1.650000E-18
2.027400E+03    1.720000E-18
2.028800E+03    1.820000E-18
2.030600E+03    1.930000E-18
2.032300E+03    2.030000E-18
2.034400E+03    2.120000E-18
2.035900E+03    2.160000E-18
2.037600E+03    2.110000E-18
2.039100E+03    2.010000E-18
2.040400E+03    1.930000E-18
2.041000E+03    1.800000E-18
2.042500E+03    1.680000E-18
2.043800E+03    1.570000E-18
2.045600E+03    1.470000E-18
2.048400E+03    1.370000E-18
2.051400E+03    1.310000E-18
2.055700E+03    1.250000E-18
2.060200E+03    1.260000E-18
2.063400E+03    1.320000E-18
2.065600E+03    1.390000E-18
2.066400E+03    1.420000E-18
2.068300E+03    1.490000E-18
2.069800E+03    1.560000E-18
2.071000E+03    1.640000E-18
2.072200E+03    1.740000E-18
2.073700E+03    1.840000E-18
2.073900E+03    1.930000E-18
2.074600E+03    2.010000E-18
2.075100E+03    2.150000E-18
2.075600E+03    2.300000E-18
2.076800E+03    2.410000E-18
2.078000E+03    2.530000E-18
2.079300E+03    2.570000E-18
2.082100E+03    2.610000E-18
2.084400E+03    2.540000E-18
2.086200E+03    2.470000E-18
2.088900E+03    2.360000E-18
2.091800E+03    2.190000E-18
2.093500E+03    2.010000E-18
2.095400E+03    1.840000E-18
2.099100E+03    1.720000E-18
2.103800E+03    1.830000E-18
2.106800E+03    1.980000E-18
2.109300E+03    2.130000E-18
2.111200E+03    2.400000E-18
2.112100E+03    2.670000E-18
2.112500E+03    2.880000E-18
2.114900E+03    3.140000E-18
2.117400E+03    3.370000E-18
2.120400E+03    3.590000E-18
2.122700E+03    3.760000E-18
2.125000E+03    3.890000E-18
2.127200E+03    3.830000E-18
2.129400E+03    3.710000E-18
2.131700E+03    3.540000E-18
2.134200E+03    3.340000E-18
2.136600E+03    3.080000E-18
2.138900E+03    2.840000E-18
2.140900E+03    2.620000E-18
2.143000E+03    2.380000E-18
2.144800E+03    2.100000E-18
2.145600E+03    1.790000E-18
2.146900E+03    1.470000E-18
2.149000E+03    1.170000E-18
2.153000E+03    8.710000E-19
2.157600E+03    6.770000E-19
2.160400E+03    5.830000E-19
2.163700E+03    5.180000E-19
2.165400E+03    4.890000E-19
2.168500E+03    4.270000E-19
2.173000E+03    3.750000E-19
2.177500E+03    3.190000E-19
2.182300E+03    2.720000E-19
2.184600E+03    2.550000E-19
2.189900E+03    2.200000E-19
2.195900E+03    1.790000E-19
2.201900E+03    1.450000E-19
2.208300E+03    1.160000E-19
2.214300E+03    9.280000E-20
2.220700E+03    7.290000E-20
2.223000E+03    6.160000E-20
2.226600E+03    5.030000E-20
2.229600E+03    3.900000E-20
2.231900E+03    3.630000E-20
2.233600E+03    3.430000E-20
2.235400E+03    3.140000E-20
2.237800E+03    2.890000E-20
2.241000E+03    2.630000E-20
2.244200E+03    2.390000E-20
2.247800E+03    2.100000E-20
2.251400E+03    1.850000E-20
2.254900E+03    1.620000E-20
2.259100E+03    1.410000E-20
2.264400E+03    1.200000E-20
2.268500E+03    1.070000E-20
2.274100E+03    9.130000E-21
2.277900E+03    8.190000E-21
2.281400E+03    7.550000E-21
2.288000E+03    6.380000E-21
2.293000E+03    5.820000E-21
2.298600E+03    5.390000E-21
2.304000E+03    4.890000E-21
