CH3 Leiden data base https://doi.org/10.1051/0004-6361/201628742 without Herzberg and Shoosmith, 1956
Air:  
Temp:          
Angstroms       XS
1.930000E+03    0.000000E+00
1.931000E+03    0.000000E+00
1.932000E+03    0.000000E+00
1.933000E+03    0.000000E+00
1.934000E+03    0.000000E+00
1.935000E+03    0.000000E+00
1.936000E+03    0.000000E+00
1.937000E+03    0.000000E+00
1.938000E+03    0.000000E+00
1.939000E+03    0.000000E+00
1.940000E+03    0.000000E+00
1.941000E+03    0.000000E+00
1.942000E+03    0.000000E+00
1.943000E+03    0.000000E+00
1.944000E+03    0.000000E+00
1.945000E+03    0.000000E+00
1.946000E+03    0.000000E+00
1.947000E+03    0.000000E+00
1.948000E+03    0.000000E+00
1.949000E+03    0.000000E+00
1.950000E+03    0.000000E+00
1.951000E+03    0.000000E+00
1.952000E+03    0.000000E+00
1.953000E+03    0.000000E+00
1.954000E+03    0.000000E+00
1.955000E+03    0.000000E+00
1.956000E+03    0.000000E+00
1.957000E+03    0.000000E+00
1.958000E+03    0.000000E+00
1.959000E+03    0.000000E+00
1.960000E+03    0.000000E+00
1.961000E+03    0.000000E+00
1.962000E+03    0.000000E+00
1.963000E+03    0.000000E+00
1.964000E+03    0.000000E+00
1.965000E+03    0.000000E+00
1.966000E+03    0.000000E+00
1.967000E+03    0.000000E+00
1.968000E+03    0.000000E+00
1.969000E+03    0.000000E+00
1.970000E+03    0.000000E+00
1.971000E+03    0.000000E+00
1.972000E+03    0.000000E+00
1.973000E+03    0.000000E+00
1.974000E+03    0.000000E+00
1.975000E+03    0.000000E+00
1.976000E+03    0.000000E+00
1.977000E+03    0.000000E+00
1.978000E+03    0.000000E+00
1.979000E+03    0.000000E+00
1.980000E+03    0.000000E+00
1.981000E+03    0.000000E+00
1.982000E+03    0.000000E+00
1.983000E+03    0.000000E+00
1.984000E+03    0.000000E+00
1.985000E+03    0.000000E+00
1.986000E+03    0.000000E+00
1.987000E+03    0.000000E+00
1.988000E+03    0.000000E+00
1.989000E+03    0.000000E+00
1.990000E+03    0.000000E+00
1.991000E+03    0.000000E+00
1.992000E+03    0.000000E+00
1.993000E+03    0.000000E+00
1.994000E+03    0.000000E+00
1.995000E+03    0.000000E+00
1.996000E+03    0.000000E+00
1.997000E+03    0.000000E+00
1.998000E+03    0.000000E+00
1.999000E+03    0.000000E+00
2.000000E+03    0.000000E+00
2.000210E+03    1.620000E-18
2.001500E+03    1.577000E-18
2.003430E+03    1.609000E-18
2.004280E+03    1.523000E-18
2.005140E+03    1.426000E-18
2.005570E+03    1.330000E-18
2.007070E+03    1.244000E-18
2.008990E+03    1.255000E-18
2.010490E+03    1.265000E-18
2.011350E+03    1.169000E-18
2.011990E+03    1.061000E-18
2.012630E+03    1.147000E-18
2.013280E+03    1.254000E-18
2.014130E+03    1.340000E-18
2.015200E+03    1.426000E-18
2.016060E+03    1.522000E-18
2.016920E+03    1.619000E-18
2.017770E+03    1.705000E-18
2.018840E+03    1.780000E-18
2.020340E+03    1.715000E-18
2.020990E+03    1.608000E-18
2.021840E+03    1.543000E-18
2.023130E+03    1.629000E-18
2.024200E+03    1.597000E-18
2.025480E+03    1.575000E-18
2.026340E+03    1.672000E-18
2.027620E+03    1.736000E-18
2.029760E+03    1.758000E-18
2.031260E+03    1.715000E-18
2.032760E+03    1.768000E-18
2.033620E+03    1.865000E-18
2.034050E+03    1.961000E-18
2.034480E+03    2.068000E-18
2.035120E+03    2.165000E-18
2.035550E+03    2.272000E-18
2.036400E+03    2.358000E-18
2.037470E+03    2.454000E-18
2.039400E+03    2.486000E-18
2.040470E+03    2.572000E-18
2.041540E+03    2.615000E-18
2.043040E+03    2.540000E-18
2.045180E+03    2.561000E-18
2.046470E+03    2.497000E-18
2.047320E+03    2.389000E-18
2.048820E+03    2.357000E-18
2.050960E+03    2.368000E-18
2.052030E+03    2.454000E-18
2.053320E+03    2.539000E-18
2.054390E+03    2.625000E-18
2.054820E+03    2.722000E-18
2.055460E+03    2.818000E-18
2.056530E+03    2.904000E-18
2.057820E+03    2.990000E-18
2.059100E+03    3.075000E-18
2.060170E+03    3.161000E-18
2.060810E+03    3.258000E-18
2.061670E+03    3.354000E-18
2.062100E+03    3.461000E-18
2.063170E+03    3.547000E-18
2.064030E+03    3.633000E-18
2.064880E+03    3.729000E-18
2.065740E+03    3.826000E-18
2.067020E+03    3.901000E-18
2.068520E+03    3.987000E-18
2.070450E+03    3.965000E-18
2.071090E+03    3.868000E-18
2.071950E+03    3.772000E-18
2.073020E+03    3.847000E-18
2.074090E+03    3.943000E-18
2.074950E+03    4.029000E-18
2.075800E+03    3.954000E-18
2.076450E+03    3.857000E-18
2.077520E+03    3.782000E-18
2.079440E+03    3.750000E-18
2.080510E+03    3.664000E-18
2.081370E+03    3.578000E-18
2.082230E+03    3.482000E-18
2.083730E+03    3.428000E-18
2.085440E+03    3.406000E-18
2.086300E+03    3.321000E-18
2.086940E+03    3.213000E-18
2.087370E+03    3.106000E-18
2.088010E+03    3.009000E-18
2.089290E+03    2.956000E-18
2.091220E+03    2.913000E-18
2.091860E+03    2.827000E-18
2.092510E+03    2.730000E-18
2.093150E+03    2.623000E-18
2.094860E+03    2.591000E-18
2.095720E+03    2.494000E-18
2.096570E+03    2.408000E-18
2.098500E+03    2.387000E-18
2.100000E+03    2.344000E-18
2.100860E+03    2.236000E-18
2.101710E+03    2.151000E-18
2.103000E+03    2.075000E-18
2.104500E+03    2.097000E-18
2.105350E+03    2.000000E-18
2.106000E+03    1.893000E-18
2.106850E+03    1.807000E-18
2.107710E+03    1.721000E-18
2.108350E+03    1.828000E-18
2.109210E+03    1.914000E-18
2.111350E+03    1.903000E-18
2.112850E+03    1.850000E-18
2.114560E+03    1.903000E-18
2.116060E+03    1.967000E-18
2.117770E+03    2.032000E-18
2.119270E+03    2.107000E-18
2.120990E+03    2.139000E-18
2.123130E+03    2.128000E-18
2.125270E+03    2.139000E-18
2.126770E+03    2.214000E-18
2.128050E+03    2.181000E-18
2.129760E+03    2.149000E-18
2.131480E+03    2.203000E-18
2.132760E+03    2.278000E-18
2.134260E+03    2.310000E-18
2.135550E+03    2.235000E-18
2.136400E+03    2.149000E-18
2.137900E+03    2.074000E-18
2.139400E+03    2.106000E-18
2.141110E+03    2.159000E-18
2.142830E+03    2.223000E-18
2.144110E+03    2.298000E-18
2.145180E+03    2.384000E-18
2.145820E+03    2.491000E-18
2.146250E+03    2.588000E-18
2.146680E+03    2.684000E-18
2.147110E+03    2.792000E-18
2.147750E+03    2.888000E-18
2.148180E+03    2.995000E-18
2.148610E+03    3.103000E-18
2.149040E+03    3.188000E-18
2.149460E+03    3.296000E-18
2.150110E+03    3.392000E-18
2.150320E+03    3.499000E-18
2.150540E+03    3.607000E-18
2.150960E+03    3.714000E-18
2.151180E+03    3.821000E-18
2.151610E+03    3.918000E-18
2.151820E+03    4.025000E-18
2.152030E+03    4.132000E-18
2.152250E+03    4.239000E-18
2.152680E+03    4.336000E-18
2.152890E+03    4.443000E-18
2.153100E+03    4.551000E-18
2.153320E+03    4.754000E-18
2.153530E+03    4.862000E-18
2.153750E+03    4.958000E-18
2.153960E+03    5.065000E-18
2.154180E+03    5.280000E-18
2.154390E+03    5.387000E-18
2.154600E+03    5.602000E-18
2.154820E+03    5.816000E-18
2.155030E+03    5.913000E-18
2.155250E+03    6.020000E-18
2.155460E+03    6.342000E-18
2.155670E+03    6.556000E-18
2.155890E+03    6.878000E-18
2.156100E+03    7.200000E-18
2.156320E+03    7.296000E-18
2.156530E+03    7.404000E-18
2.156750E+03    7.833000E-18
2.156960E+03    8.154000E-18
2.157170E+03    8.476000E-18
2.157390E+03    8.798000E-18
2.157600E+03    9.002000E-18
2.157820E+03    9.109000E-18
2.158030E+03    9.538000E-18
2.158240E+03    9.860000E-18
2.158460E+03    1.018000E-17
2.158670E+03    1.050000E-17
2.158890E+03    1.071000E-17
2.159100E+03    1.092000E-17
2.159310E+03    1.114000E-17
2.159530E+03    1.146000E-17
2.159740E+03    1.178000E-17
2.159960E+03    1.210000E-17
2.160170E+03    1.220000E-17
2.160390E+03    1.231000E-17
2.160600E+03    1.263000E-17
2.160810E+03    1.284000E-17
2.161030E+03    1.306000E-17
2.161240E+03    1.327000E-17
2.161460E+03    1.337000E-17
2.161670E+03    1.347000E-17
2.161880E+03    1.358000E-17
2.162100E+03    1.369000E-17
2.162530E+03    1.389000E-17
2.162960E+03    1.400000E-17
2.163380E+03    1.397000E-17
2.164030E+03    1.387000E-17
2.164450E+03    1.376000E-17
2.164670E+03    1.355000E-17
2.165100E+03    1.345000E-17
2.165310E+03    1.335000E-17
2.165520E+03    1.313000E-17
2.165740E+03    1.292000E-17
2.165950E+03    1.270000E-17
2.166170E+03    1.249000E-17
2.166380E+03    1.239000E-17
2.166600E+03    1.228000E-17
2.166810E+03    1.196000E-17
2.167020E+03    1.175000E-17
2.167240E+03    1.143000E-17
2.167450E+03    1.110000E-17
2.167670E+03    1.102000E-17
2.167880E+03    1.080000E-17
2.168090E+03    1.037000E-17
2.168310E+03    1.005000E-17
2.168520E+03    9.731000E-18
2.168740E+03    9.301000E-18
2.168950E+03    9.205000E-18
2.169160E+03    8.990000E-18
2.169380E+03    8.669000E-18
2.169590E+03    8.347000E-18
2.169810E+03    8.025000E-18
2.170020E+03    7.821000E-18
2.170240E+03    7.607000E-18
2.170450E+03    7.392000E-18
2.170660E+03    7.070000E-18
2.170880E+03    6.748000E-18
2.171090E+03    6.427000E-18
2.171310E+03    6.223000E-18
2.171520E+03    6.116000E-18
2.171730E+03    5.901000E-18
2.171950E+03    5.687000E-18
2.172160E+03    5.365000E-18
2.172380E+03    5.150000E-18
2.172590E+03    5.054000E-18
2.172810E+03    4.946000E-18
2.173020E+03    4.732000E-18
2.173230E+03    4.517000E-18
2.173450E+03    4.303000E-18
2.173660E+03    4.088000E-18
2.173880E+03    3.992000E-18
2.174090E+03    3.884000E-18
2.174300E+03    3.777000E-18
2.174520E+03    3.563000E-18
2.174730E+03    3.455000E-18
2.174950E+03    3.241000E-18
2.175370E+03    3.144000E-18
2.175590E+03    2.930000E-18
2.175800E+03    2.822000E-18
2.176020E+03    2.715000E-18
2.176230E+03    2.608000E-18
2.176450E+03    2.511000E-18
2.176660E+03    2.404000E-18
2.176870E+03    2.297000E-18
2.177090E+03    2.189000E-18
2.177300E+03    2.093000E-18
2.177520E+03    1.986000E-18
2.177940E+03    1.889000E-18
2.178370E+03    1.782000E-18
2.179010E+03    1.685000E-18
2.179440E+03    1.578000E-18
2.180300E+03    1.492000E-18
2.180940E+03    1.385000E-18
2.181800E+03    1.299000E-18
2.182230E+03    1.192000E-18
2.183080E+03    1.095000E-18
2.183730E+03    9.984000E-19
2.184800E+03    9.126000E-19
2.186080E+03    8.374000E-19
2.187790E+03    7.837000E-19
2.188650E+03    6.871000E-19
2.190150E+03    6.119000E-19
2.190790E+03    5.154000E-19
2.191650E+03    4.188000E-19
2.192510E+03    3.222000E-19
2.193790E+03    2.470000E-19
2.195720E+03    2.362000E-19
2.197860E+03    2.039000E-19
2.199790E+03    2.253000E-19
2.201500E+03    0.000000E+00
2.202780E+03    0.000000E+00
2.204710E+03    0.000000E+00
2.206000E+03    0.000000E+00
2.207280E+03    0.000000E+00
2.208570E+03    0.000000E+00
2.210060E+03    0.000000E+00
2.211990E+03    0.000000E+00
2.213280E+03    0.000000E+00
2.214350E+03    0.000000E+00
2.215420E+03    0.000000E+00
2.216700E+03    0.000000E+00
2.218200E+03    0.000000E+00
2.219490E+03    0.000000E+00
2.221200E+03    0.000000E+00
2.222910E+03    0.000000E+00
2.223770E+03    0.000000E+00
2.224840E+03    0.000000E+00
2.226550E+03    0.000000E+00
2.228480E+03    0.000000E+00
2.229760E+03    0.000000E+00
2.230620E+03    0.000000E+00
2.231690E+03    0.000000E+00
2.232330E+03    0.000000E+00
2.233400E+03    0.000000E+00
2.234690E+03    0.000000E+00
2.236620E+03    0.000000E+00
2.238330E+03    0.000000E+00
2.239610E+03    0.000000E+00
2.240900E+03    0.000000E+00
2.242610E+03    0.000000E+00
2.244110E+03    0.000000E+00
2.245180E+03    0.000000E+00
2.246470E+03    0.000000E+00
2.248390E+03    0.000000E+00
2.250110E+03    0.000000E+00
2.251820E+03    0.000000E+00
2.253320E+03    0.000000E+00
2.255250E+03    0.000000E+00
2.257170E+03    0.000000E+00
2.259100E+03    0.000000E+00
2.260810E+03    0.000000E+00
2.262310E+03    0.000000E+00
2.263600E+03    0.000000E+00
2.264450E+03    0.000000E+00
2.266170E+03    0.000000E+00
2.268090E+03    0.000000E+00
2.268950E+03    0.000000E+00
2.269810E+03    0.000000E+00
2.271730E+03    0.000000E+00
2.273230E+03    0.000000E+00
2.274730E+03    0.000000E+00
2.276450E+03    0.000000E+00
2.278370E+03    0.000000E+00
2.280090E+03    0.000000E+00
2.281800E+03    0.000000E+00
2.283730E+03    0.000000E+00
2.285650E+03    0.000000E+00
2.287370E+03    0.000000E+00
2.289080E+03    0.000000E+00
2.290790E+03    0.000000E+00
2.292290E+03    0.000000E+00
2.293360E+03    0.000000E+00
2.294860E+03    0.000000E+00
2.296150E+03    0.000000E+00
2.297220E+03    0.000000E+00
2.298500E+03    0.000000E+00
2.299790E+03    0.000000E+00
2.301280E+03    0.000000E+00
2.302570E+03    0.000000E+00
2.303640E+03    0.000000E+00
2.305350E+03    0.000000E+00
2.307280E+03    0.000000E+00
2.308990E+03    0.000000E+00
2.310490E+03    0.000000E+00
2.311780E+03    0.000000E+00
2.313280E+03    0.000000E+00
2.314350E+03    0.000000E+00
