CH3C2H
Air:  
Temp:           100K            300K            1000K 
Angstroms       XS
4.200000E+02    2.742750E-17    2.742750E-17    2.742750E-17
4.300000E+02    2.880780E-17    2.880780E-17    2.880780E-17
4.400000E+02    3.114210E-17    3.114210E-17    3.114210E-17
4.500000E+02    3.291120E-17    3.291120E-17    3.291120E-17
4.600000E+02    3.421760E-17    3.421760E-17    3.421760E-17
4.700000E+02    3.606950E-17    3.606950E-17    3.606950E-17
4.800000E+02    3.746050E-17    3.746050E-17    3.746050E-17
4.900000E+02    3.913120E-17    3.913120E-17    3.913120E-17
5.000000E+02    4.073730E-17    4.073730E-17    4.073730E-17
5.100000E+02    4.250680E-17    4.250680E-17    4.250680E-17
5.200000E+02    4.419740E-17    4.419740E-17    4.419740E-17
5.300000E+02    4.594730E-17    4.594730E-17    4.594730E-17
5.400000E+02    4.780510E-17    4.780510E-17    4.780510E-17
5.500000E+02    4.973780E-17    4.973780E-17    4.973780E-17
5.600000E+02    5.221900E-17    5.221900E-17    5.221900E-17
5.700000E+02    5.416310E-17    5.416310E-17    5.416310E-17
5.800000E+02    5.577010E-17    5.577010E-17    5.577010E-17
5.900000E+02    5.725310E-17    5.725310E-17    5.725310E-17
6.000000E+02    5.871670E-17    5.871670E-17    5.871670E-17
6.100000E+02    6.061700E-17    6.061700E-17    6.061700E-17
6.200000E+02    6.290410E-17    6.290410E-17    6.290410E-17
6.300000E+02    6.513070E-17    6.513070E-17    6.513070E-17
6.400000E+02    6.718980E-17    6.718980E-17    6.718980E-17
6.500000E+02    6.919520E-17    6.919520E-17    6.919520E-17
6.600000E+02    7.182450E-17    7.182450E-17    7.182450E-17
6.700000E+02    7.327970E-17    7.327970E-17    7.327970E-17
6.800000E+02    7.493120E-17    7.493120E-17    7.493120E-17
6.900000E+02    7.667740E-17    7.667740E-17    7.667740E-17
7.000000E+02    7.774620E-17    7.774620E-17    7.774620E-17
7.100000E+02    7.990970E-17    7.990970E-17    7.990970E-17
7.200000E+02    8.065680E-17    8.065680E-17    8.065680E-17
7.300000E+02    8.101940E-17    8.101940E-17    8.101940E-17
7.400000E+02    8.077030E-17    8.077030E-17    8.077030E-17
7.500000E+02    7.995860E-17    7.995860E-17    7.995860E-17
7.600000E+02    8.120660E-17    8.120660E-17    8.120660E-17
7.700000E+02    8.167230E-17    8.167230E-17    8.167230E-17
7.800000E+02    8.148350E-17    8.148350E-17    8.148350E-17
7.900000E+02    8.034530E-17    8.034530E-17    8.034530E-17
8.000000E+02    7.943110E-17    7.943110E-17    7.943110E-17
8.100000E+02    7.894150E-17    7.894150E-17    7.894150E-17
8.200000E+02    7.893100E-17    7.893100E-17    7.893100E-17
8.300000E+02    7.900060E-17    7.900060E-17    7.900060E-17
8.400000E+02    7.900450E-17    7.900450E-17    7.900450E-17
8.500000E+02    7.789730E-17    7.789730E-17    7.789730E-17
8.600000E+02    7.472490E-17    7.472490E-17    7.472490E-17
8.700000E+02    6.987240E-17    6.987240E-17    6.987240E-17
8.800000E+02    6.733690E-17    6.733690E-17    6.733690E-17
8.900000E+02    6.746720E-17    6.746720E-17    6.746720E-17
9.000000E+02    6.663640E-17    6.663640E-17    6.663640E-17
9.100000E+02    6.528400E-17    6.528400E-17    6.528400E-17
9.200000E+02    6.465380E-17    6.465380E-17    6.465380E-17
9.300000E+02    6.420220E-17    6.420220E-17    6.420220E-17
9.400000E+02    6.354830E-17    6.354830E-17    6.354830E-17
9.500000E+02    6.210340E-17    6.210340E-17    6.210340E-17
9.600000E+02    5.912670E-17    5.912670E-17    5.912670E-17
9.700000E+02    5.634940E-17    5.634940E-17    5.634940E-17
9.800000E+02    5.433130E-17    5.433130E-17    5.433130E-17
9.900000E+02    5.360040E-17    5.360040E-17    5.360040E-17
1.000000E+03    5.365570E-17    5.365570E-17    5.365570E-17
1.010000E+03    5.399740E-17    5.399740E-17    5.399740E-17
1.020000E+03    5.398500E-17    5.398500E-17    5.398500E-17
1.030000E+03    5.381350E-17    5.381350E-17    5.381350E-17
1.040000E+03    5.366380E-17    5.366380E-17    5.366380E-17
1.050000E+03    5.346150E-17    5.346150E-17    5.346150E-17
1.060000E+03    5.414790E-17    5.414790E-17    5.414790E-17
1.070000E+03    5.508090E-17    5.508090E-17    5.508090E-17
1.080000E+03    5.637400E-17    5.637400E-17    5.637400E-17
1.090000E+03    5.694040E-17    5.694040E-17    5.694040E-17
1.100000E+03    5.798720E-17    5.798720E-17    5.798720E-17
1.110000E+03    5.940980E-17    5.940980E-17    5.940980E-17
1.120000E+03    6.060190E-17    6.060190E-17    6.060190E-17
1.130000E+03    6.122330E-17    6.122330E-17    6.122330E-17
1.140000E+03    6.216020E-17    6.216020E-17    6.216020E-17
1.150000E+03    6.087150E-17    6.087150E-17    6.087150E-17
1.160000E+03    5.974210E-17    5.974210E-17    5.974210E-17
1.170000E+03    5.848500E-17    5.848500E-17    5.848500E-17
1.180000E+03    5.861740E-17    5.861740E-17    5.861740E-17
1.190000E+03    5.152980E-17    4.960790E-17    5.610630E-17
1.200000E+03    4.879000E-17    4.760950E-17    5.373890E-17
1.210000E+03    4.943690E-17    4.795750E-17    5.700000E-17
1.220000E+03    4.073160E-17    4.169820E-17    4.749020E-17
1.230000E+03    4.991790E-17    4.881500E-17    5.627970E-17
1.240000E+03    5.183030E-17    5.069000E-17    5.983220E-17
1.250000E+03    4.360390E-17    4.512930E-17    5.143990E-17
1.260000E+03    3.809490E-17    3.724140E-17    4.454360E-17
1.270000E+03    5.236310E-17    5.322630E-17    6.123690E-17
1.280000E+03    5.779260E-17    5.890740E-17    6.712270E-17
1.290000E+03    3.031150E-17    2.916610E-17    3.321240E-17
1.300000E+03    4.056730E-17    3.273950E-17    3.981750E-17
1.310000E+03    6.142970E-17    5.509480E-17    6.389200E-17
1.320000E+03    5.756730E-17    5.402080E-17    6.142380E-17
1.330000E+03    2.490930E-17    2.578830E-17    3.010340E-17
1.340000E+03    5.900230E-17    5.011070E-17    5.944160E-17
1.350000E+03    2.064170E-17    2.216610E-17    2.530460E-17
1.360000E+03    2.046610E-17    1.990140E-17    2.197800E-17
1.370000E+03    1.505040E-17    1.495570E-17    1.687790E-17
1.380000E+03    1.543340E-17    1.483530E-17    1.670840E-17
1.390000E+03    1.415300E-17    1.410290E-17    1.581470E-17
1.400000E+03    3.377240E-17    3.063830E-17    3.471380E-17
1.410000E+03    2.079090E-17    1.936350E-17    2.213810E-17
1.420000E+03    1.734930E-17    1.648520E-17    1.868750E-17
1.430000E+03    1.166090E-17    1.110350E-17    1.213990E-17
1.440000E+03    1.340200E-17    1.236800E-17    1.336480E-17
1.450000E+03    1.911910E-17    1.744410E-17    1.980030E-17
1.460000E+03    2.786440E-17    2.364110E-17    2.635270E-17
1.470000E+03    1.560460E-17    1.350400E-17    1.580450E-17
1.480000E+03    1.416280E-17    1.310210E-17    1.502530E-17
1.490000E+03    4.373040E-17    3.939260E-17    4.255930E-17
1.500000E+03    1.561170E-17    1.484130E-17    1.781460E-17
1.510000E+03    2.208560E-17    1.988770E-17    2.245950E-17
1.520000E+03    1.562030E-17    1.497750E-17    1.760680E-17
1.530000E+03    4.421290E-17    4.438160E-17    4.174330E-17
1.540000E+03    4.628500E-17    4.541220E-17    5.258450E-17
1.550000E+03    1.207470E-17    1.216420E-17    1.396370E-17
1.560000E+03    9.085960E-18    9.179070E-18    1.013680E-17
1.570000E+03    1.664600E-17    1.556300E-17    1.715180E-17
1.580000E+03    8.777130E-18    8.168190E-18    7.964780E-18
1.590000E+03    4.343390E-18    4.333950E-18    4.307320E-18
1.600000E+03    4.276690E-18    4.253910E-18    4.225300E-18
1.610000E+03    4.652900E-18    4.604460E-18    4.527950E-18
