CH3CHO_mpi.abs
Air:  
Temp: 
Angstroms       XS
2.020000E+03    5.600000E-22
2.060000E+03    5.300000E-22
2.100000E+03    4.900000E-22
2.140000E+03    4.800000E-22
2.180000E+03    5.200000E-22
2.220000E+03    6.500000E-22
2.260000E+03    9.600000E-22
2.300000E+03    1.510000E-21
2.340000E+03    2.410000E-21
2.380000E+03    3.750000E-21
2.420000E+03    5.640000E-21
2.460000E+03    8.180000E-21
2.500000E+03    1.128000E-20
2.540000E+03    1.524000E-20
2.580000E+03    1.994000E-20
2.620000E+03    2.440000E-20
2.660000E+03    3.050000E-20
2.700000E+03    3.420000E-20
2.740000E+03    4.030000E-20
2.780000E+03    4.190000E-20
2.800000E+03    4.500000E-20
2.810000E+03    4.690000E-20
2.820000E+03    4.720000E-20
2.830000E+03    4.750000E-20
2.840000E+03    4.610000E-20
2.850000E+03    4.490000E-20
2.860000E+03    4.440000E-20
2.870000E+03    4.590000E-20
2.880000E+03    4.720000E-20
2.890000E+03    4.770000E-20
2.900000E+03    4.890000E-20
2.910000E+03    4.780000E-20
2.920000E+03    4.680000E-20
2.930000E+03    4.530000E-20
2.940000E+03    4.330000E-20
2.950000E+03    4.270000E-20
2.960000E+03    4.240000E-20
2.970000E+03    4.380000E-20
2.980000E+03    4.410000E-20
2.990000E+03    4.260000E-20
3.000000E+03    4.160000E-20
3.010000E+03    3.990000E-20
3.020000E+03    3.860000E-20
3.030000E+03    3.720000E-20
3.040000E+03    3.480000E-20
3.050000E+03    3.420000E-20
3.060000E+03    3.420000E-20
3.070000E+03    3.360000E-20
3.080000E+03    3.330000E-20
3.090000E+03    3.140000E-20
3.100000E+03    2.930000E-20
3.110000E+03    2.760000E-20
3.120000E+03    2.530000E-20
3.130000E+03    2.470000E-20
3.140000E+03    2.440000E-20
3.150000E+03    2.200000E-20
3.160000E+03    2.040000E-20
3.170000E+03    2.070000E-20
3.180000E+03    1.979000E-20
3.190000E+03    1.874000E-20
3.200000E+03    1.723000E-20
3.210000E+03    1.484000E-20
3.220000E+03    1.402000E-20
3.230000E+03    1.244000E-20
3.240000E+03    1.091000E-20
3.250000E+03    1.136000E-20
3.260000E+03    1.074000E-20
3.270000E+03    8.580000E-21
3.280000E+03    7.470000E-21
3.290000E+03    7.070000E-21
3.300000E+03    6.880000E-21
3.310000E+03    5.880000E-21
3.320000E+03    5.300000E-21
3.330000E+03    3.980000E-21
3.340000E+03    3.630000E-21
3.350000E+03    3.500000E-21
3.360000E+03    2.380000E-21
3.370000E+03    2.220000E-21
3.380000E+03    2.050000E-21
3.390000E+03    2.190000E-21
3.400000E+03    1.500000E-21
3.410000E+03    7.400000E-22
3.420000E+03    4.200000E-22
3.430000E+03    3.100000E-22
3.440000E+03    2.600000E-22
3.450000E+03    2.100000E-22
3.460000E+03    1.900000E-22
3.470000E+03    1.500000E-22
3.480000E+03    1.600000E-22
3.490000E+03    1.000000E-22
3.500000E+03    8.000000E-23
3.510000E+03    7.000000E-23
3.520000E+03    6.000000E-23
3.530000E+03    5.000000E-23
3.540000E+03    5.000000E-23
3.550000E+03    4.000000E-23
3.560000E+03    5.000000E-23
3.570000E+03    3.000000E-23
3.580000E+03    4.000000E-23
3.590000E+03    2.000000E-23
3.600000E+03    3.000000E-23
3.610000E+03    2.000000E-23
3.620000E+03    1.000000E-23
3.630000E+03    0.000000E+00
3.640000E+03    0.000000E+00
3.650000E+03    0.000000E+00
