CH3CL_JPL06.abs
Air:  
Temp: 
Angstroms       XS
1.740000E+03    1.100000E-18
1.760000E+03    9.390000E-19
1.780000E+03    7.820000E-19
1.800000E+03    6.360000E-19
1.820000E+03    4.650000E-19
1.840000E+03    3.500000E-19
1.860000E+03    2.580000E-19
1.880000E+03    1.840000E-19
1.900000E+03    1.280000E-19
1.920000E+03    8.840000E-20
1.940000E+03    5.830000E-20
1.960000E+03    3.960000E-20
1.980000E+03    2.680000E-20
2.000000E+03    1.770000E-20
2.020000E+03    1.130000E-20
2.040000E+03    7.310000E-21
2.060000E+03    4.820000E-21
2.080000E+03    3.130000E-21
2.100000E+03    2.000000E-21
2.120000E+03    1.270000E-21
2.140000E+03    8.600000E-22
2.160000E+03    5.340000E-22
2.180000E+03    3.450000E-22
2.200000E+03    2.200000E-22
2.220000E+03    1.350000E-22
2.240000E+03    8.590000E-23
2.260000E+03    5.490000E-23
2.280000E+03    3.500000E-23
2.300000E+03    2.240000E-23
2.320000E+03    1.430000E-23
2.340000E+03    9.110000E-24
2.360000E+03    5.820000E-24
