CH3O2NO2_IUPAC2008.abs
Air:
Temp:
Angstroms       XS
2.000000E+03    5.000000e-18
2.050000E+03    3.600000e-18
2.100000E+03    2.400000e-18
2.150000E+03    1.500000e-18
2.200000E+03    1.000005e-18
2.250000E+03    8.000000e-19
2.300000E+03    6.800000e-19
2.350000E+03    6.000000e-19
2.400000E+03    5.300000e-19
2.450000E+03    4.600000e-19
2.500000E+03    3.900000e-19
2.550000E+03    3.200000e-19
2.600000E+03    2.600000e-19
2.650000E+03    2.000000e-19
2.700000E+03    1.600000e-19
2.750000E+03    1.300000e-19
2.800000E+03    1.000005e-19
2.850000E+03    6.200000e-20
2.900000E+03    3.900000e-20
2.950000E+03    2.400000e-20
3.000000E+03    1.400000e-20
3.050000E+03    8.500000e-21
3.100000E+03    5.300000e-21
3.150000E+03    3.900000e-21
3.200000E+03    2.400000e-21
3.250000E+03    1.500000e-21
