CH3OCL_IUPAC2008.abs
Air:  
Temp: 
Angstroms       XS
2.000000E+03    6.610000E-20
2.100000E+03    5.410000E-20
2.200000E+03    1.000000E-19
2.300000E+03    1.610000E-19
2.400000E+03    1.660000E-19
2.500000E+03    1.150000E-19
2.600000E+03    6.000000E-20
2.700000E+03    2.750000E-20
2.800000E+03    1.560000E-20
2.900000E+03    1.350000E-20
3.000000E+03    1.440000E-20
3.100000E+03    1.490000E-20
3.200000E+03    1.390000E-20
3.300000E+03    1.180000E-20
3.400000E+03    9.080000E-21
3.500000E+03    6.490000E-21
3.600000E+03    4.410000E-21
3.700000E+03    2.960000E-21
3.800000E+03    2.030000E-21
3.900000E+03    1.440000E-21
4.000000E+03    1.080000E-21
4.100000E+03    8.200000E-22
4.200000E+03    6.400000E-22
4.300000E+03    4.800000E-22
4.400000E+03    3.700000E-22
4.500000E+03    2.700000E-22
4.600000E+03    2.000000E-22
