CH3OOH_JPL06.abs
Air:  
Temp: 
Angstroms       XS
2.100000E+03    3.120000E-19
2.150000E+03    2.090000E-19
2.200000E+03    1.540000E-19
2.250000E+03    1.220000E-19
2.300000E+03    9.620000E-20
2.350000E+03    7.610000E-20
2.400000E+03    6.050000E-20
2.450000E+03    4.880000E-20
2.500000E+03    3.980000E-20
2.550000E+03    3.230000E-20
2.600000E+03    2.560000E-20
2.650000E+03    2.110000E-20
2.700000E+03    1.700000E-20
2.750000E+03    1.390000E-20
2.800000E+03    1.090000E-20
2.850000E+03    8.630000E-21
2.900000E+03    6.910000E-21
2.950000E+03    5.510000E-21
3.000000E+03    4.130000E-21
3.050000E+03    3.130000E-21
3.100000E+03    2.390000E-21
3.150000E+03    1.820000E-21
3.200000E+03    1.370000E-21
3.250000E+03    1.050000E-21
3.300000E+03    7.900000E-22
3.350000E+03    6.100000E-22
3.400000E+03    4.700000E-22
3.450000E+03    3.500000E-22
3.500000E+03    2.700000E-22
3.550000E+03    2.100000E-22
3.600000E+03    1.600000E-22
3.650000E+03    1.200000E-22
