CH3SH_mpi.abs
Air:  
Temp: 
Angstroms       XS
1.925000E+03    2.173000E-18
1.930000E+03    2.086000E-18
1.935000E+03    2.217000E-18
1.940000E+03    2.462000E-18
1.945000E+03    2.693000E-18
1.950000E+03    2.977000E-18
1.955000E+03    3.275000E-18
1.960000E+03    3.539000E-18
1.965000E+03    3.819000E-18
1.970000E+03    4.149000E-18
1.975000E+03    4.528000E-18
1.980000E+03    4.901000E-18
1.985000E+03    5.287000E-18
1.990000E+03    5.668000E-18
1.995000E+03    6.098000E-18
2.000000E+03    6.493000E-18
2.005000E+03    6.858000E-18
2.010000E+03    7.237000E-18
2.015000E+03    7.572000E-18
2.020000E+03    7.886000E-18
2.025000E+03    8.130000E-18
2.030000E+03    8.325000E-18
2.035000E+03    8.455000E-18
2.040000E+03    8.486000E-18
2.045000E+03    8.445000E-18
2.050000E+03    8.329000E-18
2.055000E+03    8.115000E-18
2.060000E+03    7.831000E-18
2.065000E+03    7.481000E-18
2.070000E+03    7.079000E-18
2.075000E+03    6.604000E-18
2.080000E+03    6.115000E-18
2.085000E+03    5.610000E-18
2.090000E+03    5.062000E-18
2.095000E+03    4.554000E-18
2.100000E+03    4.036000E-18
2.105000E+03    3.569000E-18
2.110000E+03    3.097000E-18
2.115000E+03    2.723000E-18
2.120000E+03    2.361000E-18
2.125000E+03    2.045000E-18
2.130000E+03    1.786000E-18
2.135000E+03    1.556000E-18
2.140000E+03    1.377000E-18
2.145000E+03    1.219000E-18
2.150000E+03    1.101000E-18
2.155000E+03    9.964000E-19
2.160000E+03    9.231000E-19
2.165000E+03    8.619000E-19
2.170000E+03    8.115000E-19
2.175000E+03    7.723000E-19
2.180000E+03    7.434000E-19
2.185000E+03    7.185000E-19
2.190000E+03    6.996000E-19
2.195000E+03    6.851000E-19
2.200000E+03    6.745000E-19
2.205000E+03    6.676000E-19
2.210000E+03    6.621000E-19
2.215000E+03    6.590000E-19
2.220000E+03    6.558000E-19
2.225000E+03    6.545000E-19
2.230000E+03    6.560000E-19
2.235000E+03    6.553000E-19
2.240000E+03    6.571000E-19
2.245000E+03    6.606000E-19
2.250000E+03    6.615000E-19
2.255000E+03    6.640000E-19
2.260000E+03    6.650000E-19
2.265000E+03    6.677000E-19
2.270000E+03    6.708000E-19
2.275000E+03    6.726000E-19
2.280000E+03    6.744000E-19
2.285000E+03    6.768000E-19
2.290000E+03    6.753000E-19
