CH4
Air:  
Temp:           100K            300K            1000K 
Angstroms       XS
6.000000E+01    1.485210E-19    1.485210E-19    1.485210E-19
7.000000E+01    1.828800E-19    1.828800E-19    1.828800E-19
8.000000E+01    2.267430E-19    2.267430E-19    2.267430E-19
9.000000E+01    2.860600E-19    2.860600E-19    2.860600E-19
1.000000E+02    3.572950E-19    3.572950E-19    3.572950E-19
1.100000E+02    4.381990E-19    4.381990E-19    4.381990E-19
1.200000E+02    5.306760E-19    5.306760E-19    5.306760E-19
1.300000E+02    6.448520E-19    6.448520E-19    6.448520E-19
1.400000E+02    7.775850E-19    7.775850E-19    7.775850E-19
1.500000E+02    9.440180E-19    9.440180E-19    9.440180E-19
1.600000E+02    1.108120E-18    1.108120E-18    1.108120E-18
1.700000E+02    1.330760E-18    1.330760E-18    1.330760E-18
1.800000E+02    1.530230E-18    1.530230E-18    1.530230E-18
1.900000E+02    1.774530E-18    1.774530E-18    1.774530E-18
2.000000E+02    2.022640E-18    2.022640E-18    2.022640E-18
2.100000E+02    2.318640E-18    2.318640E-18    2.318640E-18
2.200000E+02    2.655420E-18    2.655420E-18    2.655420E-18
2.300000E+02    3.038630E-18    3.038630E-18    3.038630E-18
2.400000E+02    3.386620E-18    3.386620E-18    3.386620E-18
2.500000E+02    3.836200E-18    3.836200E-18    3.836200E-18
2.600000E+02    4.180020E-18    4.180020E-18    4.180020E-18
2.700000E+02    4.606980E-18    4.606980E-18    4.606980E-18
2.800000E+02    5.046850E-18    5.046850E-18    5.046850E-18
2.900000E+02    5.666390E-18    5.666390E-18    5.666390E-18
3.000000E+02    6.167340E-18    6.167340E-18    6.167340E-18
3.100000E+02    6.734160E-18    6.734160E-18    6.734160E-18
3.200000E+02    7.262840E-18    7.262840E-18    7.262840E-18
3.300000E+02    7.892820E-18    7.892820E-18    7.892820E-18
3.400000E+02    8.540000E-18    8.540000E-18    8.540000E-18
3.500000E+02    9.194550E-18    9.194550E-18    9.194550E-18
3.600000E+02    1.001460E-17    1.001460E-17    1.001460E-17
3.700000E+02    1.063550E-17    1.063550E-17    1.063550E-17
3.800000E+02    1.122770E-17    1.122770E-17    1.122770E-17
3.900000E+02    1.241830E-17    1.241830E-17    1.241830E-17
4.000000E+02    1.352780E-17    1.352780E-17    1.352780E-17
4.100000E+02    1.447320E-17    1.447320E-17    1.447320E-17
4.200000E+02    1.523000E-17    1.523000E-17    1.523000E-17
4.300000E+02    1.594270E-17    1.594270E-17    1.594270E-17
4.400000E+02    1.708610E-17    1.708610E-17    1.708610E-17
4.500000E+02    1.813320E-17    1.813320E-17    1.813320E-17
4.600000E+02    1.898160E-17    1.898160E-17    1.898160E-17
4.700000E+02    2.001510E-17    2.001510E-17    2.001510E-17
4.800000E+02    2.146540E-17    2.146540E-17    2.146540E-17
4.900000E+02    2.208450E-17    2.208450E-17    2.208450E-17
5.000000E+02    2.298340E-17    2.298340E-17    2.298340E-17
5.100000E+02    2.390120E-17    2.390120E-17    2.390120E-17
5.200000E+02    2.491360E-17    2.491360E-17    2.491360E-17
5.300000E+02    2.595880E-17    2.595880E-17    2.595880E-17
5.400000E+02    2.702940E-17    2.702940E-17    2.702940E-17
5.500000E+02    2.811890E-17    2.811890E-17    2.811890E-17
5.600000E+02    2.919200E-17    2.919200E-17    2.919200E-17
5.700000E+02    3.027940E-17    3.027940E-17    3.027940E-17
5.800000E+02    3.119660E-17    3.119660E-17    3.119660E-17
5.900000E+02    3.198930E-17    3.198930E-17    3.198930E-17
6.000000E+02    3.301000E-17    3.301000E-17    3.301000E-17
6.100000E+02    3.434270E-17    3.434270E-17    3.434270E-17
6.200000E+02    3.554810E-17    3.554810E-17    3.554810E-17
6.300000E+02    3.617910E-17    3.617910E-17    3.617910E-17
6.400000E+02    3.694990E-17    3.694990E-17    3.694990E-17
6.500000E+02    3.776600E-17    3.776600E-17    3.776600E-17
6.600000E+02    3.857220E-17    3.857220E-17    3.857220E-17
6.700000E+02    3.937770E-17    3.937770E-17    3.937770E-17
6.800000E+02    4.017760E-17    4.017760E-17    4.017760E-17
6.900000E+02    4.096020E-17    4.096020E-17    4.096020E-17
7.000000E+02    4.171670E-17    4.171670E-17    4.171670E-17
7.100000E+02    4.245010E-17    4.245010E-17    4.245010E-17
7.200000E+02    4.315930E-17    4.315930E-17    4.315930E-17
7.300000E+02    4.383200E-17    4.383200E-17    4.383200E-17
7.400000E+02    4.444630E-17    4.444630E-17    4.444630E-17
7.500000E+02    4.515050E-17    4.515050E-17    4.515050E-17
7.600000E+02    4.577000E-17    4.577000E-17    4.577000E-17
7.700000E+02    4.635370E-17    4.635370E-17    4.635370E-17
7.800000E+02    4.690430E-17    4.690430E-17    4.690430E-17
7.900000E+02    4.742450E-17    4.742450E-17    4.742450E-17
8.000000E+02    4.788930E-17    4.788930E-17    4.788930E-17
8.100000E+02    4.829230E-17    4.829230E-17    4.829230E-17
8.200000E+02    4.867000E-17    4.867000E-17    4.867000E-17
8.300000E+02    4.896870E-17    4.896870E-17    4.896870E-17
8.400000E+02    4.929930E-17    4.929930E-17    4.929930E-17
8.500000E+02    4.947430E-17    4.947430E-17    4.947430E-17
8.600000E+02    4.969970E-17    4.969970E-17    4.969970E-17
8.700000E+02    4.997550E-17    4.997550E-17    4.997550E-17
8.800000E+02    4.985710E-17    4.985710E-17    4.985710E-17
8.900000E+02    5.039480E-17    5.039480E-17    5.039480E-17
9.000000E+02    5.140430E-17    5.140430E-17    5.140430E-17
9.100000E+02    5.206360E-17    5.206360E-17    5.206360E-17
9.200000E+02    5.219080E-17    5.219080E-17    5.219080E-17
9.300000E+02    5.020240E-17    5.020240E-17    5.020240E-17
9.400000E+02    4.831030E-17    4.831030E-17    4.831030E-17
9.500000E+02    4.706710E-17    4.706710E-17    4.706710E-17
9.600000E+02    4.576400E-17    4.576400E-17    4.576400E-17
9.700000E+02    4.375480E-17    4.375480E-17    4.375480E-17
9.800000E+02    4.230030E-17    4.230030E-17    4.230030E-17
9.900000E+02    3.976000E-17    3.976000E-17    3.976000E-17
1.000000E+03    3.721930E-17    3.721930E-17    3.721930E-17
1.010000E+03    3.474380E-17    3.474380E-17    3.474380E-17
1.020000E+03    3.343700E-17    3.343700E-17    3.343700E-17
1.030000E+03    3.211670E-17    3.211670E-17    3.211670E-17
1.040000E+03    3.100760E-17    3.100760E-17    3.100760E-17
1.050000E+03    3.199000E-17    3.199000E-17    3.199000E-17
1.060000E+03    3.137170E-17    3.137170E-17    3.137170E-17
1.070000E+03    3.025560E-17    3.025560E-17    3.025560E-17
1.080000E+03    2.860050E-17    2.860050E-17    2.860050E-17
1.090000E+03    2.532420E-17    2.532420E-17    2.532420E-17
1.100000E+03    2.228050E-17    2.228050E-17    2.228050E-17
1.110000E+03    1.992400E-17    1.992400E-17    1.992400E-17
1.120000E+03    1.807600E-17    1.807600E-17    1.807600E-17
1.130000E+03    1.792580E-17    1.792580E-17    1.792580E-17
1.140000E+03    1.844700E-17    1.844700E-17    1.844700E-17
1.150000E+03    1.918470E-17    1.918470E-17    1.918470E-17
1.160000E+03    1.978810E-17    1.978810E-17    1.978810E-17
1.170000E+03    2.050730E-17    2.050730E-17    2.050730E-17
1.180000E+03    2.059460E-17    2.059460E-17    2.059460E-17
1.190000E+03    1.961740E-17    1.936890E-17    1.923490E-17
1.200000E+03    1.836350E-17    1.792930E-17    1.764370E-17
1.210000E+03    1.790230E-17    1.747370E-17    1.704500E-17
1.220000E+03    1.800030E-17    1.749260E-17    1.707720E-17
1.230000E+03    1.841450E-17    1.786330E-17    1.729700E-17
1.240000E+03    1.890880E-17    1.831210E-17    1.768830E-17
1.250000E+03    1.933980E-17    1.875540E-17    1.816220E-17
1.260000E+03    1.952070E-17    1.898680E-17    1.836010E-17
1.270000E+03    1.942390E-17    1.894840E-17    1.831040E-17
1.280000E+03    1.896350E-17    1.848730E-17    1.790830E-17
1.290000E+03    1.809590E-17    1.767720E-17    1.717580E-17
1.300000E+03    1.675030E-17    1.637290E-17    1.584560E-17
1.310000E+03    1.503010E-17    1.477860E-17    1.432890E-17
1.320000E+03    1.300670E-17    1.282180E-17    1.240220E-17
1.330000E+03    1.079380E-17    1.065460E-17    1.031320E-17
1.340000E+03    8.551600E-18    8.443420E-18    8.155800E-18
1.350000E+03    6.373300E-18    6.305450E-18    6.124140E-18
1.360000E+03    4.474690E-18    4.434760E-18    4.287290E-18
1.370000E+03    2.888130E-18    2.918690E-18    2.800440E-18
1.380000E+03    1.736520E-18    1.756740E-18    1.736550E-18
1.390000E+03    9.702230E-19    9.998320E-19    1.037240E-18
1.400000E+03    4.810080E-19    5.097830E-19    5.488430E-19
1.410000E+03    2.191590E-19    2.529880E-19    2.817160E-19
1.420000E+03    1.103110E-19    1.309320E-19    1.435520E-19
1.430000E+03    3.950000E-20    3.950000E-20    3.950000E-20
1.440000E+03    1.215000E-20    1.215000E-20    1.215000E-20
1.450000E+03    4.150000E-21    4.150000E-21    4.150000E-21
1.460000E+03    1.340000E-21    1.340000E-21    1.340000E-21
1.470000E+03    4.500000E-22    4.500000E-22    4.500000E-22
1.480000E+03    1.440000E-22    1.440000E-22    1.440000E-22
1.490000E+03    4.650000E-23    4.650000E-23    4.650000E-23
1.500000E+03    1.800000E-23    1.800000E-23    1.800000E-23
1.510000E+03    7.750000E-24    7.750000E-24    7.750000E-24
