CHCLO_JPL06.abs
Air:  
Temp: 
Angstroms       XS
2.400000E+03    2.760000E-20
2.410000E+03    3.360000E-20
2.420000E+03    3.410000E-20
2.430000E+03    3.320000E-20
2.440000E+03    3.030000E-20
2.450000E+03    3.530000E-20
2.460000E+03    4.010000E-20
2.470000E+03    4.640000E-20
2.480000E+03    4.440000E-20
2.490000E+03    4.270000E-20
2.500000E+03    3.920000E-20
2.510000E+03    4.380000E-20
2.520000E+03    4.570000E-20
2.530000E+03    4.980000E-20
2.540000E+03    5.200000E-20
2.550000E+03    4.590000E-20
2.560000E+03    5.070000E-20
2.570000E+03    3.920000E-20
2.580000E+03    5.030000E-20
2.590000E+03    4.450000E-20
2.600000E+03    5.460000E-20
2.610000E+03    5.090000E-20
2.620000E+03    4.660000E-20
2.630000E+03    4.540000E-20
2.640000E+03    4.030000E-20
2.650000E+03    3.830000E-20
2.660000E+03    4.720000E-20
2.670000E+03    3.760000E-20
2.680000E+03    4.830000E-20
2.690000E+03    3.790000E-20
2.700000E+03    3.340000E-20
2.710000E+03    3.720000E-20
2.720000E+03    2.680000E-20
2.730000E+03    2.740000E-20
2.740000E+03    3.530000E-20
2.750000E+03    2.300000E-20
2.760000E+03    3.280000E-20
2.770000E+03    2.380000E-20
2.780000E+03    2.090000E-20
2.790000E+03    1.890000E-20
2.800000E+03    2.220000E-20
2.810000E+03    1.060000E-20
2.820000E+03    1.980000E-20
2.830000E+03    1.360000E-20
2.840000E+03    1.150000E-20
2.850000E+03    1.510000E-20
2.860000E+03    1.000000E-20
2.870000E+03    7.840000E-21
2.880000E+03    7.480000E-21
2.890000E+03    8.800000E-21
2.900000E+03    3.710000E-21
2.910000E+03    6.240000E-21
2.920000E+03    6.050000E-21
2.930000E+03    3.420000E-21
2.940000E+03    4.310000E-21
2.950000E+03    3.030000E-21
2.960000E+03    2.750000E-21
2.970000E+03    1.840000E-21
2.980000E+03    1.650000E-21
2.990000E+03    1.780000E-21
3.000000E+03    5.620000E-22
3.010000E+03    9.120000E-22
3.020000E+03    8.050000E-22
3.030000E+03    3.190000E-22
3.040000E+03    5.870000E-22
3.050000E+03    2.750000E-22
3.060000E+03    1.570000E-22
3.070000E+03    1.310000E-22
