CL2O_JPL06.abs
Air:  
Temp: 
Angstroms       XS
2.000000E+03    6.770000E-19
2.100000E+03    2.240000E-19
2.200000E+03    8.420000E-20
2.300000E+03    2.650000E-19
2.400000E+03    1.007000E-18
2.500000E+03    1.840000E-18
2.600000E+03    1.858000E-18
2.700000E+03    1.438000E-18
2.800000E+03    1.207000E-18
2.900000E+03    9.890000E-19
3.000000E+03    6.810000E-19
3.100000E+03    3.860000E-19
3.200000E+03    1.870000E-19
3.300000E+03    8.590000E-20
3.400000E+03    3.900000E-20
3.500000E+03    1.840000E-20
3.600000E+03    8.930000E-21
3.700000E+03    4.930000E-21
3.800000E+03    4.460000E-21
3.900000E+03    5.750000E-21
4.000000E+03    8.290000E-21
4.100000E+03    1.080000E-20
4.200000E+03    1.250000E-20
4.300000E+03    1.230000E-20
4.400000E+03    1.100000E-20
4.500000E+03    8.480000E-21
4.600000E+03    6.250000E-21
4.700000E+03    4.460000E-21
4.800000E+03    3.130000E-21
4.900000E+03    2.470000E-21
5.000000E+03    2.180000E-21
5.100000E+03    2.100000E-21
5.200000E+03    2.140000E-21
5.300000E+03    2.370000E-21
5.400000E+03    2.560000E-21
5.500000E+03    2.560000E-21
5.600000E+03    2.220000E-21
5.700000E+03    2.030000E-21
5.800000E+03    1.760000E-21
5.900000E+03    1.490000E-21
6.000000E+03    1.220000E-21
6.100000E+03    9.560000E-22
6.200000E+03    6.880000E-22
6.300000E+03    3.440000E-22
6.400000E+03    1.530000E-22
