CL2O2_JPL06.abs
Air:  
Temp: 
Angstroms       XS
1.900000E+03    5.650000E-18
1.920000E+03    5.260000E-18
1.940000E+03    4.890000E-18
1.960000E+03    4.500000E-18
1.980000E+03    4.130000E-18
2.000000E+03    3.835000E-18
2.020000E+03    3.529000E-18
2.040000E+03    3.253000E-18
2.060000E+03    2.986000E-18
2.080000E+03    2.746000E-18
2.100000E+03    2.513000E-18
2.120000E+03    2.317000E-18
2.140000E+03    2.170000E-18
2.160000E+03    2.076000E-18
2.180000E+03    2.061000E-18
2.200000E+03    2.121000E-18
2.220000E+03    2.271000E-18
2.240000E+03    2.494000E-18
2.260000E+03    2.802000E-18
2.280000E+03    3.195000E-18
2.300000E+03    3.650000E-18
2.320000E+03    4.154000E-18
2.340000E+03    4.675000E-18
2.360000E+03    5.175000E-18
2.380000E+03    5.630000E-18
2.400000E+03    6.003000E-18
2.420000E+03    6.257000E-18
2.440000E+03    6.394000E-18
2.460000E+03    6.426000E-18
2.480000E+03    6.315000E-18
2.500000E+03    6.093000E-18
2.520000E+03    5.801000E-18
2.540000E+03    5.445000E-18
2.560000E+03    5.054000E-18
2.580000E+03    4.631000E-18
2.600000E+03    4.220000E-18
2.620000E+03    3.814000E-18
2.640000E+03    3.446000E-18
2.660000E+03    3.116000E-18
2.680000E+03    2.833000E-18
2.700000E+03    2.584000E-18
2.720000E+03    2.373000E-18
2.740000E+03    2.183000E-18
2.760000E+03    2.016000E-18
2.780000E+03    1.864000E-18
2.800000E+03    1.725000E-18
2.820000E+03    1.596000E-18
2.840000E+03    1.473000E-18
2.860000E+03    1.361000E-18
2.880000E+03    1.252000E-18
2.900000E+03    1.146000E-18
2.920000E+03    1.046000E-18
2.940000E+03    9.540000E-19
2.960000E+03    8.710000E-19
2.980000E+03    7.900000E-19
3.000000E+03    7.220000E-19
3.020000E+03    6.580000E-19
3.040000E+03    5.990000E-19
3.060000E+03    5.410000E-19
3.080000E+03    4.860000E-19
3.100000E+03    4.330000E-19
3.120000E+03    3.850000E-19
3.140000E+03    3.460000E-19
3.160000E+03    3.070000E-19
3.180000E+03    2.800000E-19
3.200000E+03    2.560000E-19
3.220000E+03    2.340000E-19
3.240000E+03    2.140000E-19
3.260000E+03    1.920000E-19
3.280000E+03    1.780000E-19
3.300000E+03    1.670000E-19
3.320000E+03    1.560000E-19
3.340000E+03    1.440000E-19
3.360000E+03    1.330000E-19
3.380000E+03    1.310000E-19
3.400000E+03    1.210000E-19
3.420000E+03    1.150000E-19
3.440000E+03    1.090000E-19
3.460000E+03    1.010000E-19
3.480000E+03    9.000000E-20
3.500000E+03    8.200000E-20
3.520000E+03    7.900000E-20
3.540000E+03    6.800000E-20
3.560000E+03    6.100000E-20
3.580000E+03    5.800000E-20
3.600000E+03    5.500000E-20
3.620000E+03    4.500000E-20
3.640000E+03    4.100000E-20
3.660000E+03    3.800000E-20
3.680000E+03    3.500000E-20
3.700000E+03    3.200000E-20
3.720000E+03    2.900000E-20
3.740000E+03    2.700000E-20
3.760000E+03    2.400000E-20
3.780000E+03    2.200000E-20
3.800000E+03    2.100000E-20
3.820000E+03    1.900000E-20
3.840000E+03    1.700000E-20
3.860000E+03    1.600000E-20
3.880000E+03    1.400000E-20
3.900000E+03    1.300000E-20
3.920000E+03    1.200000E-20
3.940000E+03    1.100000E-20
3.960000E+03    1.000000E-20
3.980000E+03    9.200000E-21
4.000000E+03    8.500000E-21
4.020000E+03    7.800000E-21
4.040000E+03    7.100000E-21
4.060000E+03    6.500000E-21
4.080000E+03    6.000000E-21
4.100000E+03    5.400000E-21
4.120000E+03    5.000000E-21
4.140000E+03    4.600000E-21
4.160000E+03    4.200000E-21
4.180000E+03    3.800000E-21
4.200000E+03    3.500000E-21
4.220000E+03    3.200000E-21
4.240000E+03    2.900000E-21
4.260000E+03    2.700000E-21
4.280000E+03    2.500000E-21
4.300000E+03    2.300000E-21
4.320000E+03    2.100000E-21
4.340000E+03    1.900000E-21
4.360000E+03    1.700000E-21
4.380000E+03    1.600000E-21
4.400000E+03    1.500000E-21
4.420000E+03    1.300000E-21
4.440000E+03    1.200000E-21
4.460000E+03    1.100000E-21
4.480000E+03    1.000000E-21
4.500000E+03    9.000000E-22
