CLNO_JPL06.abs
Air:  
Temp: 
Angstroms       XS
1.900000E+03    4.320000E-17
1.920000E+03    5.340000E-17
1.940000E+03    6.150000E-17
1.960000E+03    6.480000E-17
1.980000E+03    6.310000E-17
2.000000E+03    5.860000E-17
2.020000E+03    5.250000E-17
2.040000E+03    4.540000E-17
2.060000E+03    3.840000E-17
2.080000E+03    3.210000E-17
2.100000E+03    2.690000E-17
2.120000E+03    2.180000E-17
2.140000E+03    1.760000E-17
2.160000E+03    1.400000E-17
2.180000E+03    1.110000E-17
2.200000E+03    8.960000E-18
2.220000E+03    7.070000E-18
2.240000E+03    5.520000E-18
2.260000E+03    4.360000E-18
2.280000E+03    3.390000E-18
2.300000E+03    2.660000E-18
2.320000E+03    2.120000E-18
2.340000E+03    1.640000E-18
2.360000E+03    1.280000E-18
2.380000E+03    1.010000E-18
2.400000E+03    8.260000E-19
2.420000E+03    6.720000E-19
2.440000E+03    5.510000E-19
2.460000E+03    4.520000E-19
2.480000E+03    3.770000E-19
2.500000E+03    3.170000E-19
2.520000E+03    2.740000E-19
2.540000E+03    2.370000E-19
2.560000E+03    2.130000E-19
2.580000E+03    1.900000E-19
2.600000E+03    1.750000E-19
2.620000E+03    1.650000E-19
2.640000E+03    1.530000E-19
2.660000E+03    1.440000E-19
2.680000E+03    1.360000E-19
2.700000E+03    1.290000E-19
2.720000E+03    1.230000E-19
2.740000E+03    1.180000E-19
2.760000E+03    1.130000E-19
2.780000E+03    1.070000E-19
2.800000E+03    1.060000E-19
2.820000E+03    1.020000E-19
2.840000E+03    9.990000E-20
2.860000E+03    9.840000E-20
2.880000E+03    9.710000E-20
2.900000E+03    9.640000E-20
2.920000E+03    9.630000E-20
2.940000E+03    9.690000E-20
2.960000E+03    9.710000E-20
2.980000E+03    9.690000E-20
3.000000E+03    1.000000E-19
3.020000E+03    1.030000E-19
3.040000E+03    1.050000E-19
3.060000E+03    1.080000E-19
3.080000E+03    1.110000E-19
3.100000E+03    1.150000E-19
3.120000E+03    1.190000E-19
3.140000E+03    1.220000E-19
3.160000E+03    1.250000E-19
3.180000E+03    1.300000E-19
3.200000E+03    1.340000E-19
3.220000E+03    1.360000E-19
3.240000E+03    1.400000E-19
3.260000E+03    1.430000E-19
3.280000E+03    1.460000E-19
3.300000E+03    1.470000E-19
3.320000E+03    1.490000E-19
3.340000E+03    1.510000E-19
3.360000E+03    1.530000E-19
3.380000E+03    1.530000E-19
3.400000E+03    1.520000E-19
3.420000E+03    1.530000E-19
3.440000E+03    1.510000E-19
3.460000E+03    1.510000E-19
3.480000E+03    1.490000E-19
3.500000E+03    1.420000E-19
3.550000E+03    1.360000E-19
3.600000E+03    1.290000E-19
3.650000E+03    1.200000E-19
3.700000E+03    1.100000E-19
3.750000E+03    9.950000E-20
3.800000E+03    8.860000E-20
3.850000E+03    7.820000E-20
3.900000E+03    6.880000E-20
3.950000E+03    5.970000E-20
4.000000E+03    5.130000E-20
4.050000E+03    4.400000E-20
4.100000E+03    3.830000E-20
4.150000E+03    3.380000E-20
4.200000E+03    2.890000E-20
4.250000E+03    2.450000E-20
4.300000E+03    2.210000E-20
4.350000E+03    2.200000E-20
4.400000E+03    2.200000E-20
4.450000E+03    2.070000E-20
4.500000E+03    1.870000E-20
4.550000E+03    1.790000E-20
4.600000E+03    1.950000E-20
4.650000E+03    2.250000E-20
4.700000E+03    2.500000E-20
4.750000E+03    2.610000E-20
4.800000E+03    2.530000E-20
4.850000E+03    2.330000E-20
4.900000E+03    2.070000E-20
4.950000E+03    1.780000E-20
5.000000E+03    1.500000E-20
5.050000E+03    1.240000E-20
5.100000E+03    1.010000E-20
5.150000E+03    7.880000E-21
5.200000E+03    6.250000E-21
5.250000E+03    4.880000E-21
5.300000E+03    3.890000E-21
5.350000E+03    3.270000E-21
5.400000E+03    2.980000E-21
5.450000E+03    2.490000E-21
5.500000E+03    2.570000E-21
5.550000E+03    1.990000E-21
5.600000E+03    1.520000E-21
5.650000E+03    1.400000E-21
5.700000E+03    1.090000E-21
5.750000E+03    9.960000E-22
5.800000E+03    1.200000E-21
5.850000E+03    1.740000E-21
5.900000E+03    2.120000E-21
5.950000E+03    2.390000E-21
6.000000E+03    3.190000E-21
6.050000E+03    3.250000E-21
6.100000E+03    2.670000E-21
6.150000E+03    2.620000E-21
6.200000E+03    2.310000E-21
6.250000E+03    1.670000E-21
6.300000E+03    1.180000E-21
6.350000E+03    9.840000E-22
6.400000E+03    8.040000E-22
6.450000E+03    5.870000E-22
6.500000E+03    4.520000E-22
