CLNO2_JPL06.abs
Air:  
Temp: 
Angstroms       XS
1.950000E+03    1.060000E-17
2.000000E+03    4.450000E-18
2.050000E+03    3.100000E-18
2.100000E+03    3.210000E-18
2.150000E+03    3.390000E-18
2.200000E+03    3.250000E-18
2.250000E+03    2.790000E-18
2.300000E+03    2.210000E-18
2.350000E+03    1.690000E-18
2.400000E+03    1.320000E-18
2.500000E+03    9.090000E-19
2.600000E+03    5.870000E-19
2.700000E+03    3.370000E-19
2.800000E+03    2.070000E-19
2.900000E+03    1.630000E-19
3.000000E+03    1.410000E-19
3.100000E+03    1.210000E-19
3.200000E+03    9.400000E-20
3.300000E+03    6.790000E-20
3.400000E+03    4.620000E-20
3.500000E+03    3.050000E-20
3.600000E+03    1.850000E-20
3.700000E+03    1.120000E-20
3.800000E+03    7.720000E-21
3.900000E+03    4.750000E-21
4.000000E+03    3.270000E-21
