CLO_JPL06.abs
Air:  
Temp: 
Angstroms       XS
2.450000E+03    2.597000E-18
2.460000E+03    2.786000E-18
2.470000E+03    2.972000E-18
2.480000E+03    3.148000E-18
2.490000E+03    3.334000E-18
2.500000E+03    3.515000E-18
2.510000E+03    3.708000E-18
2.520000E+03    3.884000E-18
2.530000E+03    4.069000E-18
2.540000E+03    4.247000E-18
2.550000E+03    4.420000E-18
2.560000E+03    4.569000E-18
2.570000E+03    4.731000E-18
2.580000E+03    4.860000E-18
2.590000E+03    5.004000E-18
2.600000E+03    5.110000E-18
2.610000E+03    5.202000E-18
2.620000E+03    5.288000E-18
2.630000E+03    5.359000E-18
2.640000E+03    5.400000E-18
2.650000E+03    5.406000E-18
2.660000E+03    5.487000E-18
2.670000E+03    5.456000E-18
2.680000E+03    5.294000E-18
2.690000E+03    5.291000E-18
2.700000E+03    5.745000E-18
2.710000E+03    4.889000E-18
2.720000E+03    5.323000E-18
2.730000E+03    5.149000E-18
2.740000E+03    4.699000E-18
2.750000E+03    5.073000E-18
2.760000E+03    4.563000E-18
2.770000E+03    4.182000E-18
2.780000E+03    5.008000E-18
2.790000E+03    2.829000E-18
2.800000E+03    5.378000E-18
2.810000E+03    3.285000E-18
2.820000E+03    3.108000E-18
2.830000E+03    4.445000E-18
2.840000E+03    2.446000E-18
2.850000E+03    2.923000E-18
2.860000E+03    3.615000E-18
2.870000E+03    2.004000E-18
2.880000E+03    1.965000E-18
2.890000E+03    3.369000E-18
2.900000E+03    1.647000E-18
2.910000E+03    1.110000E-18
2.920000E+03    2.698000E-18
2.930000E+03    1.606000E-18
2.940000E+03    1.021000E-18
2.950000E+03    9.445000E-19
2.960000E+03    2.061000E-18
2.970000E+03    8.313000E-19
2.980000E+03    6.514000E-19
2.990000E+03    7.480000E-19
3.000000E+03    1.333000E-18
3.010000E+03    5.655000E-19
3.020000E+03    4.522000E-19
3.030000E+03    4.494000E-19
3.040000E+03    8.781000E-19
3.050000E+03    4.548000E-19
3.060000E+03    3.315000E-19
3.070000E+03    3.305000E-19
3.080000E+03    4.765000E-19
3.090000E+03    4.191000E-19
3.100000E+03    2.872000E-19
3.110000E+03    2.730000E-19
3.120000E+03    3.306000E-19
3.130000E+03    3.247000E-19
3.140000E+03    2.886000E-19
3.150000E+03    2.778000E-19
3.160000E+03    2.680000E-19
