CLO3_Kopitzky_MC.abs
Air:  
Temp: 
Angstroms       XS
2.300000E+03    0.000000E+00
2.400000E+03    1.000000E-19
2.500000E+03    3.000000E-19
2.600000E+03    7.500000E-19
2.700000E+03    1.200000E-18
2.800000E+03    1.500000E-18
2.900000E+03    2.000000E-18
3.000000E+03    2.500000E-18
3.100000E+03    2.700000E-18
3.200000E+03    2.500000E-18
3.300000E+03    2.400000E-18
3.400000E+03    2.000000E-18
3.500000E+03    1.800000E-18
3.600000E+03    1.700000E-18
3.700000E+03    1.600000E-18
3.800000E+03    1.600000E-18
3.900000E+03    1.700000E-18
4.000000E+03    1.800000E-18
4.100000E+03    1.900000E-18
4.200000E+03    2.000000E-18
4.300000E+03    1.900000E-18
4.400000E+03    1.700000E-18
4.500000E+03    1.600000E-18
4.600000E+03    1.530000E-18
4.700000E+03    1.450000E-18
4.800000E+03    1.370000E-18
4.900000E+03    1.300000E-18
5.000000E+03    1.250000E-18
5.100000E+03    1.150000E-18
5.200000E+03    1.050000E-18
5.300000E+03    9.500000E-19
5.400000E+03    8.500000E-19
5.500000E+03    7.500000E-19
5.600000E+03    6.500000E-19
5.700000E+03    5.500000E-19
5.800000E+03    4.500000E-19
5.900000E+03    3.500000E-19
6.000000E+03    2.500000E-19
6.500000E+03    1.000000E-19
